period_end_date,period_type,statement_type,line_item,value,currency
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_beta,0.7,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_cap,4530000000.0,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_eps,-0.9962,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_pe,-9.44,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_revenue,2760000000.0,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,shares_outstanding,481914893.61702126,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_beta,0.7,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_cap,4530000000.0,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_eps,-0.9962,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_pe,-9.44,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_revenue,2760000000.0,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,shares_outstanding,481914893.61702126,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_beta,0.7,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_cap,3650000000.0,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_eps,-0.9962,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_pe,-7.55,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_revenue,2760000000.0,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,shares_outstanding,396739130.4347826,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_beta,0.7,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_cap,3650000000.0,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_eps,-0.9962,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_pe,-7.55,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_revenue,2760000000.0,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,shares_outstanding,396739130.4347826,EGP
