period_end_date,period_type,statement_type,line_item,value,currency
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_beta,0.03,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_cap,195560000000.0,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_dividend_per_share,1.85,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_dividend_yield,2.09,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_eps,7.3912,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_pe,12.37,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_revenue,296960000000.0,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,shares_outstanding,2139372059.9496775,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_beta,0.03,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_cap,195560000000.0,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_dividend_per_share,1.85,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_dividend_yield,2.09,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_eps,7.3912,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_pe,12.37,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_revenue,296960000000.0,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,shares_outstanding,2139372059.9496775,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_beta,-0.1,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_cap,166870000000.0,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_dividend_per_share,1.0,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_dividend_yield,1.28,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_eps,7.1317,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_pe,10.92,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_revenue,281050000000.0,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,shares_outstanding,1530636580.4439552,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_beta,-0.1,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_cap,166870000000.0,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_dividend_per_share,1.0,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_dividend_yield,1.28,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_eps,7.1317,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_pe,10.92,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_revenue,281050000000.0,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,shares_outstanding,1530636580.4439552,EGP
