period_end_date,period_type,statement_type,line_item,value,currency
2026-03-31,QUARTERLY,INCOME_STATEMENT,gross_profit,4630400000.0,EGP
2026-03-31,QUARTERLY,INCOME_STATEMENT,net_income,5488000000.0,EGP
2026-03-31,QUARTERLY,INCOME_STATEMENT,operating_income,7140700000.0,EGP
2026-03-31,QUARTERLY,INCOME_STATEMENT,revenue,13070900000.0,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_beta,0.33,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_cap,208440000000.0,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_dividend_per_share,0.3,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_dividend_yield,0.31,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_eps,7.2059,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_pe,14.11,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_revenue,66140000000.0,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,shares_outstanding,2060701927.8299553,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_beta,0.33,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_cap,208440000000.0,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_dividend_per_share,0.3,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_dividend_yield,0.31,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_eps,7.2059,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_pe,14.11,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_revenue,66140000000.0,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,shares_outstanding,2060701927.8299553,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_beta,-0.04,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_cap,157500000000.0,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_dividend_per_share,0.25,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_dividend_yield,0.32,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_eps,6.9803,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_pe,10.96,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_revenue,62500000000.0,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,shares_outstanding,1576576576.5765765,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_beta,-0.04,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_cap,157500000000.0,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_dividend_per_share,0.25,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_dividend_yield,0.32,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_eps,6.9803,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_pe,10.96,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_revenue,62500000000.0,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,shares_outstanding,1576576576.5765765,EGP
