period_end_date,period_type,statement_type,line_item,value,currency
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_beta,0.26,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_cap,775160000.0,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_dividend_per_share,0.05,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_dividend_yield,6.83,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_eps,0.1082,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_pe,6.1,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_revenue,683930000.0,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,shares_outstanding,1174484848.4848485,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_beta,0.26,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_cap,775160000.0,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_dividend_per_share,0.05,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_dividend_yield,6.83,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_eps,0.1082,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_pe,6.1,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_revenue,683930000.0,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,shares_outstanding,1174484848.4848485,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_beta,0.34,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_cap,830340000.0,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_dividend_per_share,0.03,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_dividend_yield,4.71,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_eps,0.1058,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_pe,6.69,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_revenue,684930000.0,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,shares_outstanding,1177787234.0425532,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_beta,0.34,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_cap,830340000.0,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_dividend_per_share,0.03,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_dividend_yield,4.71,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_eps,0.1058,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_pe,6.69,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_revenue,684930000.0,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,shares_outstanding,1177787234.0425532,EGP
