period_end_date,period_type,statement_type,line_item,value,currency
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_beta,0.26,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_cap,39180000000.0,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_dividend_per_share,2.37,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_dividend_yield,7.95,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_eps,0.1082,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_pe,6.1,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,market_revenue,683930000.0,EGP
2026-08-02,SNAPSHOT,MARKET_FUNDAMENTALS,shares_outstanding,1312562814.0703516,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_beta,0.26,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_cap,39180000000.0,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_dividend_per_share,2.37,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_dividend_yield,7.95,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_eps,0.1082,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_pe,6.1,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,market_revenue,683930000.0,EGP
2026-08-03,SNAPSHOT,MARKET_FUNDAMENTALS,shares_outstanding,1312562814.0703516,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_beta,0.34,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_cap,44760000000.0,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_dividend_per_share,1.7,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_dividend_yield,5.22,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_eps,0.1058,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_pe,6.69,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,market_revenue,684930000.0,EGP
2026-08-06,SNAPSHOT,MARKET_FUNDAMENTALS,shares_outstanding,1399187246.0143795,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_beta,0.34,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_cap,44760000000.0,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_dividend_per_share,1.7,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_dividend_yield,5.22,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_eps,0.1058,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_pe,6.69,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,market_revenue,684930000.0,EGP
2026-08-07,SNAPSHOT,MARKET_FUNDAMENTALS,shares_outstanding,1399187246.0143795,EGP
