date,value
1970-12-31,1801624657.4
1971-12-31,2049117407.7
1972-12-31,1952436870.5
1973-12-31,1991608099.4
1974-12-31,2209478866.4
1975-12-31,4835420182.0
1976-12-31,6357338118.1
1977-12-31,11733540781.4
1978-12-31,12857846527.8
1979-12-31,14905845250.8
1980-12-31,19130724407.9
1981-12-31,22077857201.7
1982-12-31,27323635750.8
1983-12-31,30213012849.9
1984-12-31,32187450012.1
1985-12-31,36124676237.8
1986-12-31,39891292452.4
1987-12-31,44151539093.1
1988-12-31,46148551466.9
1989-12-31,45676111287.4
1990-12-31,33015720171.3
1991-12-31,32604272498.3
1992-12-31,31168986021.5
1993-12-31,30651243858.9
1994-12-31,32499139580.0
1995-12-31,33475216024.7
1996-12-31,31512670142.2
1997-12-31,29952913694.8
1998-12-31,32347186890.4
1999-12-31,31121616151.4
2000-12-31,29232716500.9
2001-12-31,28331673242.3
2002-12-31,29671747582.0
2003-12-31,30467606765.2
2004-12-31,31403286339.0
2005-12-31,30575696632.4
2006-12-31,31028391832.6
2007-12-31,34604548133.8
2008-12-31,33925338196.5
2009-12-31,35417097883.9
2010-12-31,36803931990.1
2011-12-31,35208762810.6
2012-12-31,40061753451.8
2013-12-31,46534987114.9
2014-12-31,41772774970.9
2015-12-31,49873938935.6
2016-12-31,69188517055.2
2017-12-31,84587108845.3
2018-12-31,99457163486.3
2019-12-31,114910260649.9
2020-12-31,132538717154.0
2021-12-31,145998330659.9
2022-12-31,163111452414.1
2023-12-31,168182236339.6
2024-12-31,155972716013.2
2026-03-31,164776000000.0
