date,value
2019-09-30,4.3
2019-10-31,2.4
2019-11-30,2.7
2019-12-31,6.8
2020-01-31,6.8
2020-02-29,4.9
2020-03-31,4.6
2020-04-30,5.9
2020-05-31,5.0
2020-06-30,6.0
2020-07-31,4.6
2020-08-31,3.6
2020-09-30,3.3
2020-10-31,4.6
2020-11-30,6.304404246
2020-12-31,6.0
2021-01-31,4.8
2021-02-28,4.9
2021-03-31,4.8
2021-04-30,4.4
2021-05-31,4.9
2021-06-30,5.3
2021-07-31,6.1
2021-08-31,6.4
2021-09-30,8.0
2021-10-31,7.3
2021-11-30,6.2
2021-12-31,6.5
2022-01-31,8.0
2022-02-28,10.0
2022-03-31,12.1
2022-04-30,14.9
2022-05-31,15.3
2022-06-30,14.7
2022-07-31,14.6
2022-08-31,15.3
2022-09-30,15.3
2022-10-31,16.3
2022-11-30,19.2
2022-12-31,21.9
2023-01-31,26.5
2023-02-28,32.9
2023-03-31,33.9
2023-04-30,31.5
2023-05-31,33.7
2023-06-30,36.8
2023-07-31,38.2
2023-08-31,39.7
2023-09-30,40.3
2023-10-31,38.5
2023-11-30,36.4
2023-12-31,35.2
2024-01-31,31.2
2024-02-29,36.0
2024-03-31,33.1
2024-04-30,31.8
2024-05-31,27.4
2024-06-30,27.1
2024-07-31,25.2
2024-08-31,25.6
2024-09-30,26.0
2024-10-31,26.3
2024-11-30,25.0
2024-12-31,23.4
2025-01-31,23.2
2025-02-28,12.5
2025-03-31,13.1
2025-04-30,13.5
2025-05-31,16.5
2025-06-30,14.4
2025-07-31,13.1
2025-08-31,11.2
2025-09-30,10.3
2025-10-31,10.1
2025-11-30,10.0
2025-12-31,10.3
2026-01-31,10.1
2026-02-28,11.5
2026-03-31,13.5
2026-04-30,13.4
2026-05-31,13.0
2026-06-30,12.2
