date,value
2019-09-30,104.4
2019-10-31,105.404
2019-11-30,105.087
2019-12-31,104.9
2020-01-31,105.6
2020-02-29,105.6
2020-03-31,106.3
2020-04-30,107.6
2020-05-31,107.6
2020-06-30,107.7
2020-07-31,108.1
2020-08-31,107.9
2020-09-30,108.2
2020-10-31,110.2
2020-11-30,111.0731065
2020-12-31,110.6214441
2021-01-31,110.2
2021-02-28,110.3
2021-03-31,111.0
2021-04-30,112.0
2021-05-31,112.8
2021-06-30,113.0
2021-07-31,114.0
2021-08-31,114.0
2021-09-30,115.3
2021-10-31,117.1
2021-11-30,117.2
2021-12-31,117.1
2022-01-31,118.1
2022-02-28,120.0
2022-03-31,122.7
2022-04-30,126.7
2022-05-31,128.0
2022-06-30,127.8
2022-07-31,129.5
2022-08-31,130.6
2022-09-30,132.7
2022-10-31,136.1
2022-11-30,139.2
2022-12-31,142.1
2023-01-31,148.7
2023-02-28,158.4
2023-03-31,162.7
2023-04-30,165.4
2023-05-31,169.9
2023-06-30,173.5
2023-07-31,176.7
2023-08-31,179.5
2023-09-30,183.0
2023-10-31,184.9
2023-11-30,187.3
2023-12-31,189.9
2024-01-31,193.0
2024-02-29,214.9
2024-03-31,217.0
2024-04-30,219.3
2024-05-31,217.8
2024-06-30,221.2
2024-07-31,222.1
2024-08-31,226.6
2024-09-30,231.4
2024-10-31,235.1
2024-11-30,235.1
2024-12-31,235.6
2025-01-31,239.2
2025-02-28,242.5
2025-03-31,246.5
2025-04-30,249.8
2025-05-31,254.5
2025-06-30,254.1
2025-07-31,252.9
2025-08-31,253.8
2025-09-30,258.4
2025-10-31,263.2
2025-11-30,264.0
2025-12-31,264.5
2026-01-31,267.6
2026-02-28,275.1
2026-03-31,283.9
2026-04-30,287.0
2026-05-31,291.7
2026-06-30,290.5
2026-07-31,290.5
