date,value
2019-09-30,4.8
2019-10-31,3.1
2019-11-30,3.6
2019-12-31,7.1
2020-01-31,7.2
2020-02-29,5.3
2020-03-31,5.1
2020-04-30,5.9
2020-05-31,4.7
2020-06-30,5.6
2020-07-31,4.2
2020-08-31,3.4
2020-09-30,3.7
2020-10-31,4.5
2020-11-30,5.696186046
2020-12-31,5.4
2021-01-31,4.3
2021-02-28,4.5
2021-03-31,4.5
2021-04-30,4.1
2021-05-31,4.8
2021-06-30,4.9
2021-07-31,5.4
2021-08-31,5.7
2021-09-30,6.6
2021-10-31,6.3
2021-11-30,5.6
2021-12-31,5.9
2022-01-31,7.3
2022-02-28,8.8
2022-03-31,10.5
2022-04-30,13.1
2022-05-31,13.5
2022-06-30,13.2
2022-07-31,13.6
2022-08-31,14.6
2022-09-30,15.0
2022-10-31,16.2
2022-11-30,18.7
2022-12-31,21.3
2023-01-31,25.8
2023-02-28,31.9
2023-03-31,32.7
2023-04-30,30.6
2023-05-31,32.7
2023-06-30,35.7
2023-07-31,36.5
2023-08-31,37.4
2023-09-30,38.0
2023-10-31,35.8
2023-11-30,34.6
2023-12-31,33.7
2024-01-31,29.8
2024-02-29,35.7
2024-03-31,33.3
2024-04-30,32.5
2024-05-31,28.1
2024-06-30,27.5
2024-07-31,25.7
2024-08-31,26.2
2024-09-30,26.4
2024-10-31,26.5
2024-11-30,25.5
2024-12-31,24.1
2025-01-31,24.0
2025-02-28,12.8
2025-03-31,13.6
2025-04-30,13.9
2025-05-31,16.8
2025-06-30,14.9
2025-07-31,13.9
2025-08-31,12.0
2025-09-30,11.7
2025-10-31,12.5
2025-11-30,12.3
2025-12-31,12.3
2026-01-31,11.9
2026-02-28,13.4
2026-03-31,15.2
2026-04-30,14.9
2026-05-31,14.6
2026-06-30,14.3
2026-07-31,14.9
