date,open,high,low,close,volume
2025-03-10,53.7364,53.8253,52.8926,53.2479,345021
2025-03-11,53.2479,53.2035,52.5374,52.6706,192706
2025-03-12,52.6706,53.6654,52.6706,52.866,513214
2025-03-13,52.866,53.6476,52.1377,52.1643,363174
2025-03-16,52.1643,52.9193,51.96,52.5818,193221
2025-03-17,52.5818,52.5818,51.6936,51.7025,228896
2025-03-18,51.7025,51.9512,50.9475,51.0097,342490
2025-03-19,51.0097,51.2495,49.7662,49.7839,506371
2025-03-20,49.7839,50.8498,49.7839,50.6988,462581
2025-03-23,50.6988,51.0718,50.2103,50.6277,254505
2025-03-24,50.6277,51.0452,49.402,49.5086,380735
2025-03-25,49.5086,49.7395,48.8957,49.0822,255158
2025-03-26,49.0822,51.4182,48.6737,49.7395,476692
2025-03-27,49.7395,50.8054,49.8106,50.5034,270521
2025-04-03,50.5034,50.4945,49.7395,49.8728,242683
2025-04-06,49.8728,49.2066,47.3947,48.2296,522887
2025-04-07,48.2296,47.7855,45.9824,46.8529,1028305
2025-04-08,46.8529,47.9631,46.2311,46.3643,1378884
2025-04-09,46.3643,46.7196,45.485,45.485,470078
2025-04-10,45.485,47.2792,46.1956,46.2222,540330
2025-04-13,46.2222,46.9772,46.4087,46.7907,354603
2025-04-14,46.7907,47.0127,46.5242,46.9061,225085
2025-04-15,46.9061,47.1637,46.8084,46.9417,272190
2025-04-16,46.9417,47.0483,46.2311,46.24,291338
2025-04-17,46.24,46.6574,46.2311,46.2844,334985
2025-04-22,46.2844,46.7374,45.8669,45.8758,570969
2025-04-23,45.8758,46.7196,45.9202,46.7196,654763
2025-04-27,46.7196,47.5457,46.8973,47.2792,339165
2025-04-28,47.2792,47.519,46.6308,46.995,679698
2025-04-29,46.995,48.0875,46.995,47.9631,814802
2025-04-30,47.9631,48.1496,47.6078,47.9365,686493
2025-05-04,47.9365,48.8513,47.67,48.8424,1330977
2025-05-05,48.8424,48.8513,48.0608,48.8424,724671
2025-05-06,48.8424,49.8905,48.798,49.029,1146000
2025-05-07,49.029,49.553,47.8121,47.8476,847112
2025-05-08,47.8476,48.4072,47.3058,47.4302,232222
2025-05-11,47.4302,47.9631,47.0749,47.4124,372619
2025-05-12,47.4124,48.1407,47.3414,47.972,426010
2025-05-13,47.972,48.4516,47.5634,47.5634,685760
2025-05-14,47.5634,47.9187,46.2933,46.462,740650
2025-05-15,46.462,46.8973,46.4532,46.8973,272345
2025-05-18,46.8973,47.1637,45.7959,46.1423,675429
2025-05-19,46.1423,46.3555,44.9876,45.2985,594871
2025-05-20,45.2985,45.6449,45.1386,45.334,239969
2025-05-21,45.334,45.3873,44.1172,44.2415,1368089
2025-05-22,44.2415,44.3481,42.8648,43.5221,1657663
2025-05-25,43.5221,43.7974,42.6339,43.078,1643499
2025-05-26,43.078,43.682,42.8648,43.5221,699847
2025-05-27,43.5221,44.055,43.6287,43.8774,618671
2025-05-28,43.8774,44.3126,43.451,43.5221,1105472
2025-05-29,43.5221,43.7619,42.7227,42.9181,971406
2025-06-01,42.9181,43.38,42.8026,42.9892,583557
2025-06-02,42.9892,43.9218,43.078,43.5221,648049
