date,open,high,low,close,volume
2026-01-28,2.68,2.69,2.62,2.63,5350943
2026-02-01,2.63,2.67,2.63,2.67,2914798
2026-02-02,2.67,2.69,2.63,2.65,2737347
2026-02-03,2.65,2.73,2.65,2.7,5474650
2026-02-04,2.7,2.74,2.7,2.71,5104203
2026-02-05,2.71,2.72,2.67,2.67,4240039
2026-02-08,2.67,2.73,2.68,2.72,4229523
2026-02-09,2.72,2.8,2.69,2.77,14784050
2026-02-10,2.77,2.84,2.78,2.78,11253540
2026-02-11,2.78,2.8,2.73,2.73,3430534
2026-02-12,2.73,2.77,2.73,2.74,3167974
2026-02-15,2.74,2.77,2.74,2.75,2389266
2026-02-16,2.75,2.79,2.72,2.72,8374694
2026-02-17,2.72,2.75,2.71,2.74,3098266
2026-02-18,2.74,2.86,2.73,2.84,22533150
2026-02-19,2.84,2.86,2.74,2.76,7940316
2026-02-22,2.76,2.81,2.69,2.69,4054221
2026-02-23,2.69,2.74,2.69,2.73,1556027
2026-02-24,2.73,2.75,2.71,2.72,1456366
2026-02-25,2.72,2.73,2.67,2.67,3875595
2026-02-26,2.67,2.7,2.65,2.69,2800554
2026-03-01,2.69,2.65,2.54,2.64,3911267
2026-03-02,2.64,2.67,2.62,2.62,2143969
2026-03-03,2.62,2.63,2.6,2.62,2122686
2026-03-04,2.62,2.65,2.59,2.65,6696511
2026-03-05,2.65,2.69,2.63,2.64,6342678
2026-03-08,2.64,2.66,2.61,2.63,6985663
2026-03-09,2.63,2.66,2.62,2.66,6883003
2026-03-10,2.66,2.71,2.67,2.69,6282335
2026-03-11,2.69,2.71,2.68,2.69,1702969
2026-03-12,2.69,2.7,2.65,2.66,2200712
2026-03-15,2.66,2.67,2.62,2.63,5667001
2026-03-16,2.63,2.65,2.6,2.61,4382865
2026-03-17,2.61,2.66,2.62,2.64,2043441
2026-03-18,2.64,2.68,2.65,2.66,3488185
2026-03-24,2.66,2.68,2.65,2.66,2401368
2026-03-25,2.66,2.68,2.65,2.68,2084067
2026-03-26,2.68,2.68,2.64,2.66,2525885
2026-03-29,2.66,2.66,2.63,2.63,1502987
2026-03-30,2.63,2.65,2.59,2.6,4528163
2026-03-31,2.6,2.63,2.6,2.61,925818
2026-04-01,2.61,2.71,2.61,2.71,10031500
2026-04-02,2.71,2.71,2.64,2.65,10869990
2026-04-05,2.65,2.68,2.65,2.65,3412983
2026-04-06,2.65,2.69,2.65,2.67,7830391
2026-04-07,2.67,2.69,2.64,2.64,3407793
2026-04-08,2.64,2.72,2.66,2.67,6242004
2026-04-09,2.67,2.69,2.66,2.66,2563808
2026-04-14,2.66,2.72,2.66,2.7,6846637
2026-04-15,2.7,2.72,2.68,2.69,12574750
2026-04-16,2.69,2.73,2.68,2.69,14084200
2026-04-19,2.69,2.77,2.69,2.73,18299840
2026-04-20,2.73,2.78,2.72,2.76,19077450
2026-04-21,2.76,2.87,2.77,2.8,25133400
2026-04-22,2.8,2.85,2.77,2.79,11267830
2026-04-23,2.79,2.9,2.79,2.8,21012690
2026-04-26,2.8,2.85,2.8,2.8,8835814
2026-04-27,2.8,2.83,2.79,2.81,6003974
2026-04-28,2.81,2.82,2.79,2.79,4421440
2026-04-29,2.79,2.87,2.76,2.81,11989310
2026-04-30,2.81,2.86,2.8,2.84,9694711
2026-05-03,2.84,2.88,2.83,2.84,17530510
2026-05-04,2.84,2.86,2.78,2.79,24778100
2026-05-05,2.79,2.82,2.78,2.81,7499751
2026-05-06,2.81,2.85,2.79,2.79,13645830
2026-05-10,2.79,2.83,2.79,2.81,8311989
2026-05-11,2.81,2.92,2.8,2.89,38900850
2026-05-12,2.89,2.93,2.87,2.9,19891630
2026-05-13,2.9,2.93,2.87,2.89,8875624
2026-05-14,2.89,2.89,2.86,2.88,7154924
2026-05-17,2.88,2.9,2.83,2.83,8135033
2026-05-18,2.83,2.84,2.78,2.78,17866720
2026-05-19,2.78,2.81,2.78,2.79,5943026
2026-05-20,2.79,2.82,2.73,2.73,8784321
2026-05-21,2.73,2.76,2.73,2.74,3538083
2026-05-24,2.74,2.78,2.74,2.77,2930902
2026-05-25,2.77,2.79,2.75,2.75,2294567
2026-06-01,2.75,2.81,2.75,2.8,8723125
2026-06-02,2.8,2.8,2.77,2.78,5401284
2026-06-03,2.78,2.79,2.75,2.76,7782028
2026-06-04,2.76,2.81,2.76,2.76,16237260
2026-06-07,2.76,2.78,2.75,2.75,4713650
2026-06-08,2.75,2.75,2.73,2.74,5683674
2026-06-09,2.74,2.76,2.73,2.75,13716877
2026-06-10,2.75,2.78,2.73,2.73,13128430
2026-06-11,2.73,2.73,2.7,2.7,4345406
2026-06-14,2.7,2.75,2.71,2.72,3618501
2026-06-15,2.72,2.75,2.71,2.71,4103487
2026-06-16,2.71,2.74,2.71,2.72,1887396
2026-06-17,2.72,2.73,2.71,2.73,2744392
2026-06-21,2.73,2.81,2.72,2.78,12533057
2026-06-22,2.78,2.79,2.74,2.74,4712153
2026-06-23,2.74,2.76,2.69,2.7,9437906
2026-06-24,2.7,2.72,2.69,2.69,5199535
2026-06-25,2.69,2.72,2.68,2.68,6259883
2026-06-28,2.68,2.69,2.5,2.55,59040531
2026-06-29,2.55,2.7,2.56,2.66,23090369
2026-06-30,2.66,2.72,2.63,2.66,12222100
2026-07-01,2.66,2.69,2.65,2.66,3608790
2026-07-05,2.66,2.68,2.64,2.67,6079663
2026-07-06,2.67,2.78,2.66,2.77,19282935
2026-07-07,2.77,2.85,2.76,2.85,45273105
2026-07-08,2.85,2.86,2.78,2.79,30025010
2026-07-09,2.79,2.91,2.77,2.88,21559558
2026-07-12,2.88,2.9,2.78,2.79,29672965
2026-07-13,2.79,2.81,2.77,2.77,7919216
2026-07-14,2.77,2.83,2.69,2.79,46046790
2026-07-15,2.79,2.81,2.76,2.77,7087957
2026-07-16,2.77,2.81,2.74,2.75,14049880
2026-07-19,2.75,2.78,2.73,2.75,12676580
2026-07-20,2.75,2.77,2.73,2.77,6951555
2026-07-21,2.77,2.81,2.76,2.79,30663689
2026-07-22,2.79,2.8,2.73,2.77,23016836
2026-07-26,2.77,2.8,2.76,2.76,7240022
2026-07-27,2.76,2.82,2.76,2.79,11375821
2026-07-28,2.79,2.81,2.77,2.77,22381770
2026-07-29,2.77,2.79,2.75,2.78,5945778
2026-07-30,2.78,2.78,2.72,2.76,7106116
2026-08-02,2.76,2.78,2.76,2.78,5805685
2026-08-03,2.78,2.8,2.76,2.76,8686973
2026-08-04,2.76,2.8,2.75,2.77,12725898
2026-08-05,2.63,2.65,2.63,2.64,299182
2026-08-06,2.77,2.81,2.76,2.76,13539559
