date,open,high,low,close,volume
2025-03-10,41.5,41.82,40.92,41.15,459461
2025-03-11,41.15,41.3,40.9,40.99,466669
2025-03-12,40.99,41.64,41.0,41.5,361343
2025-03-13,41.5,42.75,41.5,42.57,954655
2025-03-16,42.57,43.27,42.61,43.2,1358073
2025-03-17,43.2,43.31,42.91,43.0,353934
2025-03-18,43.0,43.16,42.4,43.01,526450
2025-03-19,43.01,43.46,42.72,43.15,534346
2025-03-20,43.15,43.43,42.9,43.25,392308
2025-03-23,43.25,44.04,43.25,43.72,646418
2025-03-24,43.72,43.97,43.48,43.6,473560
2025-03-25,43.6,43.9,43.15,43.78,262349
2025-03-26,43.78,43.89,43.31,43.89,179533
2025-03-27,43.89,43.89,42.82,42.98,808674
2025-04-03,42.98,43.0,42.5,42.67,144172
2025-04-06,42.67,42.0,40.01,41.0,433632
2025-04-07,41.0,40.91,39.55,40.45,543014
2025-04-08,40.45,41.2,40.57,40.68,281306
2025-04-09,40.68,41.08,39.56,39.8,224762
2025-04-10,39.8,41.0,40.45,40.52,87311
2025-04-13,40.52,40.83,40.5,40.74,66840
2025-04-14,40.74,41.5,40.75,40.98,229959
2025-04-15,40.98,42.4,40.95,42.25,410687
2025-04-16,42.25,42.05,41.37,41.64,292279
2025-04-17,41.64,41.65,40.72,41.25,399707
2025-04-22,41.25,41.39,40.55,40.87,85236
2025-04-23,40.87,41.4,40.99,41.39,170255
2025-04-27,41.39,41.97,41.4,41.67,150083
2025-04-28,41.67,41.95,41.63,41.75,403032
2025-04-29,41.75,42.25,41.61,41.94,168908
2025-04-30,41.94,42.01,41.32,41.42,171510
2025-05-04,41.42,41.85,40.5,40.78,330990
2025-05-05,40.78,40.97,40.0,40.1,1835347
2025-05-06,40.1,40.39,40.0,40.12,251457
2025-05-07,40.12,40.39,38.71,38.87,900273
2025-05-08,38.87,39.28,38.55,39.12,495921
2025-05-11,39.12,39.72,38.85,39.11,451778
2025-05-12,39.11,41.1,39.16,40.5,1392850
2025-05-13,40.5,41.25,40.42,40.8,1475831
2025-05-14,40.8,40.99,39.95,40.26,431833
2025-05-15,40.26,40.79,39.98,40.7,508422
2025-05-18,40.7,40.72,39.81,40.07,533991
2025-05-19,40.07,40.27,39.32,39.37,190469
2025-05-20,39.37,39.7,39.15,39.41,103888
2025-05-21,39.41,41.35,40.0,41.25,1466956
2025-05-22,41.25,42.04,41.39,41.7,899706
2025-05-25,41.7,41.92,41.4,41.45,276031
2025-05-26,20.725,21.12,20.725,20.945,985440
2025-05-27,20.945,21.12,20.88,21.115,1165298
2025-05-28,21.115,21.55,21.0,21.355,2660624
2025-05-29,21.355,21.8,21.225,21.575,1985806
2025-06-01,21.575,21.9,21.55,21.86,962904
2025-06-02,21.86,22.965,21.86,22.62,4955122
2025-06-03,22.62,23.125,22.515,22.75,1599866
2025-06-04,22.75,22.94,22.35,22.68,2175200
2025-06-10,22.68,24.49,22.33,23.95,4076505
2025-06-11,23.95,25.0,23.95,24.05,5382589
2025-06-12,24.05,24.04,22.9,23.02,3892271
2025-06-15,23.02,22.6,21.0,22.21,2794480
2025-06-16,22.21,22.8,21.93,22.2,2972144
2025-06-17,22.2,22.39,21.2,21.2,1676842
2025-06-18,21.2,21.75,20.91,21.5,1317164
2025-06-19,21.5,21.69,21.01,21.5,848558
