date,open,high,low,close,volume
2025-03-10,28.0,28.63,28.05,28.18,214386
2025-03-11,28.18,28.48,27.5,28.31,117796
2025-03-12,28.31,29.55,28.25,29.08,401786
2025-03-13,29.08,29.35,28.73,28.77,148561
2025-03-16,28.77,29.26,28.5,28.52,88217
2025-03-17,28.52,28.6,28.1,28.18,57270
2025-03-18,28.18,28.74,27.86,28.33,62011
2025-03-19,28.33,29.2,28.04,28.25,137880
2025-03-20,28.25,29.97,28.26,28.79,438683
2025-03-23,28.79,29.24,28.54,28.73,126832
2025-03-24,28.73,28.58,28.15,28.27,43528
2025-03-25,28.27,28.74,28.28,28.35,19641
2025-03-26,28.35,28.73,28.06,28.1,44867
2025-03-27,28.1,28.9,28.17,28.43,87207
2025-04-03,28.43,28.7,28.03,28.52,62353
2025-04-06,28.52,27.38,25.71,26.26,291848
2025-04-07,26.26,26.49,25.8,26.31,84883
2025-04-08,26.31,26.82,26.5,26.7,129493
2025-04-09,26.7,26.9,25.75,25.83,97037
2025-04-10,25.83,26.98,26.17,26.22,62147
2025-04-13,26.22,27.1,26.3,26.74,249233
2025-04-14,26.74,27.3,26.8,26.84,137338
2025-04-15,26.84,27.7,26.82,27.0,121699
2025-04-16,27.0,27.34,26.89,26.98,69605
2025-04-17,26.98,27.23,26.7,26.97,95987
2025-04-22,26.97,27.69,26.9,27.36,336241
2025-04-23,27.36,28.09,27.37,27.71,313541
2025-04-27,27.71,28.68,27.87,28.21,368657
2025-04-28,28.21,28.4,27.83,27.86,147211
2025-04-29,27.86,29.0,27.81,28.39,373498
2025-04-30,28.39,28.53,28.21,28.39,85312
2025-05-04,28.39,28.7,28.35,28.48,77795
2025-05-05,28.48,29.4,28.5,28.9,305208
2025-05-06,28.9,29.77,28.63,28.82,454311
2025-05-07,28.82,29.27,28.5,28.52,156599
2025-05-08,28.52,28.93,28.23,28.53,85124
2025-05-11,28.53,28.97,28.35,28.39,96698
2025-05-12,28.39,28.65,27.92,28.14,83301
2025-05-13,28.14,28.8,27.94,27.98,67824
2025-05-14,27.98,28.5,27.95,28.0,120842
2025-05-15,28.0,28.69,28.15,28.3,145827
2025-05-18,28.3,28.8,27.9,27.94,100159
2025-05-19,27.94,28.39,27.15,27.66,99636
2025-05-20,27.66,28.09,27.67,27.84,56827
2025-05-21,27.84,28.46,27.86,27.93,52587
2025-05-22,27.93,28.34,27.46,27.69,64409
2025-05-25,27.69,28.29,27.75,27.8,131889
2025-05-26,27.8,28.0,27.74,27.76,48040
2025-05-27,27.76,28.4,27.76,28.14,134934
