date,open,high,low,close,volume
2026-01-28,0.379,0.385,0.366,0.368,16296209
2026-02-01,0.368,0.388,0.365,0.388,18759160
2026-02-02,0.388,0.413,0.381,0.408,57425730
2026-02-03,0.408,0.412,0.397,0.411,20220420
2026-02-04,0.411,0.423,0.402,0.412,37070380
2026-02-05,0.412,0.418,0.402,0.414,11193670
2026-02-08,0.414,0.421,0.407,0.408,10246020
2026-02-09,0.408,0.415,0.403,0.404,8529226
2026-02-10,0.404,0.418,0.396,0.403,15502940
2026-02-11,0.403,0.415,0.398,0.399,11017870
2026-02-12,0.399,0.407,0.4,0.403,3507209
2026-02-15,0.403,0.42,0.399,0.41,28875830
2026-02-16,0.41,0.416,0.4,0.4,19050460
2026-02-17,0.4,0.42,0.4,0.42,23179650
2026-02-18,0.42,0.44,0.421,0.429,36115770
2026-02-19,0.429,0.433,0.41,0.411,8066708
2026-02-22,0.411,0.415,0.405,0.408,21921460
2026-02-23,0.408,0.42,0.405,0.413,9198911
2026-02-24,0.413,0.434,0.422,0.422,28541800
2026-02-25,0.422,0.429,0.403,0.429,30483980
2026-02-26,0.429,0.44,0.409,0.436,27919370
2026-03-01,0.436,0.426,0.401,0.415,16515440
2026-03-02,0.415,0.428,0.413,0.414,29011580
2026-03-03,0.414,0.424,0.413,0.42,22554750
2026-03-04,0.42,0.435,0.418,0.428,22414860
2026-03-05,0.428,0.445,0.43,0.437,24420500
2026-03-08,0.437,0.442,0.431,0.432,11469050
2026-03-09,0.432,0.45,0.429,0.45,40550730
2026-03-10,0.45,0.469,0.45,0.464,39893180
2026-03-11,0.464,0.471,0.457,0.46,24578020
2026-03-12,0.46,0.478,0.46,0.469,27352670
2026-03-15,0.469,0.472,0.465,0.466,15625650
2026-03-16,0.466,0.468,0.457,0.458,8327811
2026-03-17,0.458,0.468,0.46,0.463,4971932
2026-03-18,0.463,0.474,0.463,0.468,13705410
2026-03-24,0.468,0.492,0.471,0.486,44704190
2026-03-25,0.486,0.499,0.478,0.481,48295720
2026-03-26,0.481,0.485,0.461,0.465,29258610
2026-03-29,0.465,0.47,0.454,0.462,12863450
2026-03-30,0.462,0.468,0.444,0.449,22101550
2026-03-31,0.449,0.455,0.438,0.449,18388380
2026-04-01,0.449,0.458,0.449,0.451,6213033
2026-04-02,0.451,0.455,0.442,0.447,7805405
2026-04-05,0.447,0.452,0.445,0.447,8352968
2026-04-06,0.447,0.453,0.442,0.453,12349290
2026-04-07,0.453,0.456,0.443,0.445,8143967
2026-04-08,0.445,0.461,0.452,0.455,9345346
2026-04-09,0.455,0.457,0.449,0.451,4866637
2026-04-14,0.451,0.458,0.446,0.454,8688744
2026-04-15,0.454,0.455,0.448,0.448,9536091
2026-04-16,0.448,0.453,0.444,0.444,11797420
2026-04-19,0.444,0.449,0.43,0.439,13895830
2026-04-20,0.439,0.452,0.435,0.447,26267660
2026-04-21,0.447,0.458,0.446,0.456,21836760
2026-04-22,0.456,0.475,0.456,0.475,61778010
2026-04-23,0.475,0.478,0.461,0.462,35429600
2026-04-26,0.462,0.469,0.46,0.462,14964890
2026-04-27,0.462,0.465,0.458,0.459,12101310
2026-04-28,0.459,0.462,0.456,0.458,10986770
2026-04-29,0.458,0.477,0.465,0.475,42175900
2026-04-30,0.475,0.481,0.468,0.47,32976509
2026-05-03,0.47,0.477,0.468,0.469,14925850
2026-05-04,0.469,0.483,0.466,0.479,40994010
2026-05-05,0.479,0.494,0.479,0.49,48220220
2026-05-06,0.49,0.508,0.492,0.495,52244560
2026-05-10,0.495,0.548,0.497,0.537,91549190
2026-05-11,0.537,0.552,0.535,0.541,65047420
2026-05-12,0.541,0.597,0.542,0.59,77349840
2026-05-13,0.59,0.6,0.581,0.593,35516980
2026-05-14,0.593,0.62,0.593,0.612,32052700
2026-05-17,0.612,0.63,0.603,0.608,27221960
2026-05-18,0.608,0.631,0.607,0.612,32273060
2026-05-19,0.612,0.637,0.612,0.62,44095360
2026-05-20,0.62,0.635,0.611,0.612,19001330
2026-05-21,0.612,0.638,0.612,0.631,31203590
2026-05-24,0.631,0.641,0.624,0.632,23253920
2026-05-25,0.632,0.636,0.612,0.615,16008410
2026-06-01,0.615,0.627,0.616,0.616,11316190
2026-06-02,0.616,0.626,0.617,0.62,10213770
2026-06-03,0.62,0.645,0.622,0.635,38798640
2026-06-04,0.635,0.7,0.635,0.66,72584810
2026-06-07,0.66,0.668,0.65,0.651,23490658
2026-06-08,0.651,0.662,0.643,0.653,14672058
2026-06-09,0.653,0.68,0.65,0.672,44078470
2026-06-10,0.672,0.724,0.661,0.664,113175600
2026-06-11,0.664,0.67,0.635,0.644,37276220
2026-06-14,0.644,0.67,0.655,0.662,15509240
2026-06-15,0.662,0.697,0.668,0.677,30317850
2026-06-16,0.677,0.686,0.654,0.66,13410500
2026-06-17,0.66,0.667,0.641,0.643,19056790
2026-06-21,0.643,0.645,0.625,0.639,19807848
2026-06-22,0.639,0.68,0.639,0.65,18412964
2026-06-23,0.65,0.665,0.627,0.627,11666684
2026-06-24,0.627,0.638,0.628,0.636,7367222
2026-06-25,0.636,0.644,0.611,0.624,8581212
2026-06-28,0.624,0.623,0.596,0.598,13756233
2026-06-29,0.598,0.615,0.587,0.597,20297995
2026-06-30,0.597,0.7,0.597,0.671,108147865
2026-07-01,0.671,0.688,0.659,0.667,31229358
2026-07-05,0.667,0.673,0.652,0.662,10662452
2026-07-06,0.662,0.677,0.657,0.67,9590187
2026-07-07,0.67,0.682,0.663,0.679,13874956
2026-07-08,0.679,0.694,0.65,0.66,14322232
2026-07-09,0.66,0.692,0.656,0.681,16293755
2026-07-12,0.681,0.721,0.682,0.71,33122036
2026-07-13,0.71,0.727,0.712,0.727,12580140
2026-07-14,0.727,0.74,0.72,0.729,26995225
2026-07-15,0.729,0.735,0.68,0.68,17737946
2026-07-16,0.68,0.75,0.701,0.734,33215746
2026-07-19,0.734,0.747,0.72,0.741,13289458
2026-07-20,0.741,0.741,0.726,0.74,11387975
2026-07-21,0.74,0.744,0.721,0.735,9298995
2026-07-22,0.735,0.74,0.718,0.737,10716552
2026-07-26,0.737,0.777,0.733,0.742,89443389
2026-07-27,0.742,0.759,0.68,0.7,117278300
2026-07-28,0.7,0.745,0.7,0.74,163039300
2026-07-29,0.74,0.745,0.715,0.718,30058688
2026-07-30,0.718,0.72,0.68,0.71,54885080
2026-08-02,0.71,0.716,0.68,0.702,45417673
2026-08-03,0.702,0.712,0.692,0.692,39976124
2026-08-04,0.692,0.716,0.694,0.71,31709656
2026-08-05,0.71,0.72,0.705,0.71,14752763
2026-08-06,0.71,0.724,0.706,0.715,17979979
2026-08-09,0.715,0.722,0.708,0.708,16766691
2026-08-10,0.708,0.714,0.7,0.71,12082890
2026-08-11,0.71,0.715,0.689,0.706,20182150
2026-08-12,0.706,0.714,0.7,0.709,12132935
2026-08-13,0.709,0.711,0.697,0.704,14067826
2026-08-16,0.704,0.709,0.691,0.695,11321774
2026-08-17,0.695,0.709,0.69,0.694,15862550
