date,open,high,low,close,volume
2026-01-28,0.302,0.304,0.27,0.279,63994910
2026-02-01,0.279,0.308,0.279,0.307,51553680
2026-02-02,0.307,0.312,0.295,0.308,35577750
2026-02-03,0.308,0.315,0.31,0.312,18308910
2026-02-04,0.312,0.339,0.312,0.32,91145920
2026-02-05,0.32,0.33,0.315,0.325,19580570
2026-02-08,0.325,0.329,0.32,0.323,16278240
2026-02-09,0.323,0.326,0.317,0.318,10362750
2026-02-10,0.318,0.338,0.318,0.327,43041900
2026-02-11,0.327,0.333,0.324,0.325,23827900
2026-02-12,0.325,0.328,0.321,0.322,8700307
2026-02-15,0.322,0.329,0.32,0.32,15284820
2026-02-16,0.32,0.324,0.314,0.314,11925340
2026-02-17,0.314,0.32,0.308,0.319,15731200
2026-02-18,0.319,0.327,0.315,0.322,42254430
2026-02-19,0.322,0.325,0.313,0.314,17282350
2026-02-22,0.314,0.323,0.276,0.294,84139970
2026-02-23,0.294,0.302,0.295,0.3,11195370
2026-02-24,0.3,0.303,0.297,0.299,18356260
2026-02-25,0.299,0.301,0.286,0.29,18563920
2026-02-26,0.29,0.295,0.286,0.293,20674590
2026-03-01,0.293,0.287,0.271,0.283,18543180
2026-03-02,0.283,0.292,0.284,0.285,7535094
2026-03-03,0.285,0.301,0.285,0.293,44775830
2026-03-04,0.293,0.3,0.29,0.3,16219310
2026-03-05,0.3,0.315,0.297,0.309,34802290
2026-03-08,0.309,0.312,0.302,0.305,14145090
2026-03-09,0.305,0.312,0.304,0.309,14748330
2026-03-10,0.309,0.323,0.309,0.318,38605610
2026-03-11,0.318,0.321,0.313,0.317,11169230
2026-03-12,0.317,0.322,0.314,0.32,21056870
2026-03-15,0.32,0.326,0.318,0.32,17352870
2026-03-16,0.32,0.325,0.316,0.322,20820720
2026-03-17,0.322,0.331,0.322,0.326,22770250
2026-03-18,0.326,0.334,0.326,0.333,27073900
2026-03-24,0.333,0.341,0.33,0.333,87657450
2026-03-25,0.333,0.337,0.33,0.331,27247800
2026-03-26,0.331,0.333,0.317,0.319,20754750
2026-03-29,0.319,0.321,0.309,0.31,15146870
2026-03-30,0.31,0.313,0.304,0.307,12340380
2026-03-31,0.307,0.311,0.303,0.307,7266084
2026-04-01,0.307,0.316,0.309,0.312,5937608
2026-04-02,0.312,0.315,0.308,0.311,6407344
2026-04-05,0.311,0.313,0.309,0.31,8252497
2026-04-06,0.31,0.317,0.311,0.313,13267580
2026-04-07,0.313,0.316,0.307,0.309,12827920
2026-04-08,0.309,0.324,0.312,0.324,25162920
2026-04-09,0.324,0.324,0.316,0.32,14108660
2026-04-14,0.32,0.321,0.316,0.316,6538642
2026-04-15,0.316,0.322,0.317,0.319,12563260
2026-04-16,0.319,0.322,0.319,0.32,9274074
2026-04-19,0.32,0.322,0.317,0.318,17037280
2026-04-20,0.318,0.321,0.317,0.319,10323360
2026-04-21,0.319,0.347,0.317,0.344,94822330
2026-04-22,0.344,0.352,0.337,0.339,80494580
2026-04-23,0.339,0.344,0.337,0.338,27843930
2026-04-26,0.338,0.342,0.336,0.337,21660780
2026-04-27,0.337,0.346,0.337,0.343,34864800
2026-04-28,0.343,0.353,0.341,0.342,60031520
2026-04-29,0.342,0.344,0.34,0.341,21043280
2026-04-30,0.341,0.343,0.335,0.338,28205450
2026-05-03,0.338,0.34,0.337,0.339,11831990
2026-05-04,0.339,0.342,0.336,0.341,29201180
2026-05-05,0.341,0.358,0.339,0.353,110825900
2026-05-06,0.353,0.356,0.344,0.35,30887980
2026-05-10,0.35,0.362,0.348,0.358,85107110
2026-05-11,0.358,0.36,0.349,0.353,30582870
2026-05-12,0.353,0.361,0.35,0.36,54391410
2026-05-13,0.36,0.368,0.357,0.36,47868150
2026-05-14,0.36,0.365,0.356,0.357,28076670
2026-05-17,0.357,0.36,0.35,0.357,28649950
2026-05-18,0.357,0.356,0.343,0.344,13814720
2026-05-19,0.344,0.353,0.341,0.35,32151829
2026-05-20,0.35,0.352,0.34,0.34,24895430
2026-05-21,0.34,0.344,0.338,0.34,16213970
2026-05-24,0.34,0.345,0.339,0.339,9459495
2026-05-25,0.339,0.344,0.337,0.341,11373230
2026-06-01,0.341,0.347,0.342,0.346,7726033
2026-06-02,0.346,0.351,0.346,0.35,28163860
2026-06-03,0.35,0.358,0.35,0.352,37575790
2026-06-04,0.352,0.373,0.353,0.37,78008940
2026-06-07,0.37,0.373,0.358,0.368,38886018
2026-06-08,0.368,0.388,0.362,0.383,45169737
2026-06-09,0.383,0.458,0.384,0.458,291965282
2026-06-10,0.458,0.539,0.445,0.456,504551200
2026-06-11,0.456,0.472,0.436,0.457,111532200
2026-06-14,0.457,0.49,0.467,0.479,91331790
