date,open,high,low,close,volume
2025-03-10,22.1768,22.4767,21.9568,21.9968,171158
2025-03-11,21.9968,22.0468,21.7968,21.8868,118670
2025-03-12,21.8868,22.1868,21.6768,21.7768,331019
2025-03-13,21.7768,22.1868,21.7868,21.8468,444160
2025-03-16,21.8468,22.1168,21.5969,21.6169,564464
2025-03-17,21.6169,21.8568,21.5369,21.5969,314929
2025-03-18,21.5969,21.6868,21.1169,21.1869,840806
2025-03-19,21.1869,21.2969,20.837,20.877,803071
2025-03-20,20.877,21.1969,20.867,20.9969,884084
2025-03-23,20.9969,21.2969,21.0269,21.1069,268344
2025-03-24,21.1069,21.3369,20.9569,20.9669,723300
2025-03-25,20.9669,21.1469,20.897,20.9769,238324
2025-03-26,20.9769,21.2769,20.907,20.907,780668
2025-03-27,20.907,21.1869,20.9769,21.1269,223298
2025-04-03,21.1269,21.1769,20.9469,21.1069,224902
2025-04-06,21.1069,20.777,19.9971,20.0771,763416
2025-04-07,20.0771,20.9969,19.5472,20.9869,885647
2025-04-08,20.9869,21.6268,20.917,21.4669,1350918
2025-04-09,21.4669,21.4969,20.327,20.427,474572
2025-04-10,20.427,21.4869,20.597,20.647,364152
2025-04-13,20.647,21.7168,20.657,21.4869,1516188
2025-04-14,21.4869,22.0368,21.6568,21.7368,897610
2025-04-15,21.7368,21.7968,21.4669,21.6169,341013
2025-04-16,21.6169,21.8368,21.3969,21.4169,278069
2025-04-17,21.4169,21.5769,21.3569,21.3769,118348
2025-04-22,21.3769,21.4969,21.0369,21.0469,438171
2025-04-23,21.0469,21.8568,21.1069,21.8068,254239
2025-04-27,21.8068,21.6968,21.2869,21.5969,375107
2025-04-28,21.5969,21.6868,21.2869,21.3969,306869
2025-04-29,21.3969,21.5369,21.3069,21.3369,148553
2025-04-30,21.3369,21.7068,21.3069,21.6169,423134
2025-05-04,21.6169,21.8768,21.7068,21.7768,280926
2025-05-05,21.7768,22.4367,21.8068,22.2168,2129918
2025-05-06,22.2168,22.6067,22.1568,22.3068,1004353
2025-05-07,22.3068,22.8767,22.1568,22.1968,909062
2025-05-08,22.1968,22.3967,21.8168,22.0568,321660
2025-05-11,22.0568,22.4667,22.0168,22.4567,265324
2025-05-12,22.4567,22.7267,22.0968,22.7067,532569
2025-05-13,22.7067,22.7667,22.4867,22.6867,561590
2025-05-14,22.6867,22.7367,22.2268,22.3367,117810
2025-05-15,22.3367,22.6967,22.3367,22.4167,173787
2025-05-18,22.4167,22.4967,22.2368,22.4167,307626
2025-05-19,22.4167,22.4167,22.0568,22.0668,146151
2025-05-20,22.0668,22.1968,22.0368,22.1268,106638
2025-05-21,22.1268,22.3967,22.1268,22.3567,840513
2025-05-22,22.3567,22.9967,22.3068,22.9967,1119188
2025-05-25,22.9967,23.0466,22.5367,22.5967,346423
2025-05-26,22.5967,23.2966,22.5367,22.8867,874013
2025-05-27,22.8867,23.2366,22.8867,23.1566,377633
2025-05-28,23.1566,23.5666,22.9967,23.0466,362860
2025-05-29,23.0466,23.0366,22.6167,22.7967,416926
2025-06-01,22.7967,23.4466,22.7267,23.1966,492986
