date,open,high,low,close,volume
2025-03-10,2.3177,2.3463,2.2891,2.2891,1291549
2025-03-11,2.2891,2.3273,2.27,2.3273,963893
2025-03-12,2.3273,2.4513,2.3177,2.394,3983357
2025-03-13,2.394,2.5371,2.3845,2.5276,5208464
2025-03-16,2.5276,2.6229,2.5085,2.5276,2982863
2025-03-17,2.5276,2.5657,2.4608,2.4703,1430193
2025-03-18,2.4703,2.6229,2.4226,2.6039,3439703
2025-03-19,2.6039,2.6611,2.5466,2.5466,6782096
2025-03-20,2.5466,2.5752,2.4989,2.5085,917118
2025-03-23,2.5085,2.6134,2.4989,2.518,2218484
2025-03-24,2.518,2.7755,2.5371,2.766,18176706
2025-03-25,2.766,2.7755,2.6134,2.6325,6339697
2025-03-26,2.6325,2.6897,2.5848,2.6229,2673391
2025-03-27,2.6229,2.6897,2.6039,2.6229,2073161
2025-04-03,2.6229,2.6897,2.5752,2.6706,2396591
2025-04-06,2.6706,2.5657,2.4799,2.518,2921804
2025-04-07,2.518,2.5562,2.3845,2.5276,3720888
2025-04-08,2.5276,2.7565,2.5371,2.7469,12655584
2025-04-09,2.7469,2.9854,2.6039,2.6325,18344576
2025-04-10,2.6325,2.8423,2.6802,2.7183,6793627
2025-04-13,2.7183,2.8423,2.7374,2.7469,3401176
2025-04-14,2.7469,2.7755,2.6992,2.7088,4772876
2025-04-15,2.7088,2.8232,2.6992,2.7279,3916300
2025-04-16,2.7279,2.7851,2.6992,2.7088,2320689
2025-04-17,2.7088,2.7279,2.6706,2.6802,2087332
2025-04-22,2.6802,2.7183,2.6706,2.6897,1835216
2025-04-23,2.6897,2.7469,2.6992,2.7183,1390656
2025-04-27,2.7183,2.8328,2.7374,2.7374,3030894
2025-04-28,2.7374,2.9568,2.7183,2.8995,11405559
2025-04-29,2.8995,2.9377,2.7946,2.8805,4316309
2025-04-30,2.8805,3.0617,2.8614,2.9663,14063697
2025-05-04,2.9663,3.014,2.9186,2.9186,3456106
2025-05-05,2.9186,2.9472,2.8709,2.89,5209077
2025-05-06,3.03,2.97,2.92,2.93,7238189
2025-05-07,2.93,2.96,2.82,2.85,4993737
2025-05-08,2.85,2.89,2.82,2.87,2128669
2025-05-11,2.87,2.93,2.84,2.85,3414036
2025-05-12,2.85,2.88,2.83,2.83,2066634
2025-05-13,2.83,2.94,2.83,2.87,4515965
2025-05-14,2.87,2.89,2.83,2.84,1642995
2025-05-15,2.84,2.87,2.79,2.79,2444793
2025-05-18,2.79,2.82,2.72,2.73,2063018
2025-05-19,2.73,2.75,2.66,2.69,3348790
2025-05-20,2.69,2.74,2.69,2.73,1867217
2025-05-21,2.73,2.75,2.69,2.7,969731
2025-05-22,2.7,2.75,2.69,2.73,2800616
2025-05-25,2.73,2.77,2.71,2.71,1356588
2025-05-26,2.71,2.85,2.7,2.78,10544832
2025-05-27,2.78,2.82,2.75,2.77,4217195
2025-05-28,2.77,2.92,2.74,2.86,11638552
2025-05-29,2.86,2.9,2.81,2.84,3299187
2025-06-01,2.84,2.89,2.81,2.82,2816775
2025-06-02,2.82,2.85,2.78,2.82,1869757
2025-06-03,2.82,2.86,2.81,2.82,1062401
2025-06-04,2.82,2.88,2.82,2.84,2003921
2025-06-10,2.84,2.89,2.84,2.84,1314181
2025-06-11,2.84,2.87,2.81,2.82,1201980
2025-06-12,2.82,2.81,2.68,2.69,2835280
2025-06-15,2.69,2.55,2.4,2.51,1436897
2025-06-16,2.51,2.59,2.5,2.51,1269209
2025-06-17,2.51,2.54,2.35,2.39,1305354
2025-06-18,2.39,2.45,2.36,2.43,671495
2025-06-19,2.43,2.44,2.33,2.36,1512557
2025-06-22,2.36,2.48,2.23,2.48,2046207
