date,open,high,low,close,volume
2025-03-10,21.3526,22.5676,21.362,22.5676,1305391
2025-03-11,22.5676,23.2646,22.1343,22.3415,2307274
2025-03-12,22.3415,22.6053,21.2866,21.2866,1035930
2025-03-13,21.2866,21.5692,21.0982,21.4656,584806
2025-03-16,21.4656,22.1061,21.4844,21.5221,465205
2025-03-17,21.5221,21.9459,21.1924,21.2772,377583
2025-03-18,21.2772,21.654,20.9099,20.9852,207841
2025-03-19,20.9852,22.1061,20.7403,22.0495,448788
2025-03-20,22.0495,22.059,21.296,21.3243,190424
2025-03-23,21.3243,21.8517,21.1642,21.183,598710
2025-03-24,21.183,21.6634,17.4249,21.2018,622541
2025-03-25,21.2018,21.5503,20.957,21.1548,280242
2025-03-26,21.1548,21.2395,20.7497,21.1924,133909
2025-03-27,21.1924,21.6634,21.0135,21.3526,241126
2025-04-03,21.3526,21.5221,21.1453,21.2866,59994
2025-04-06,21.2866,21.1924,19.1203,19.7796,882006
2025-04-07,19.7796,19.968,18.2726,19.9115,742153
2025-04-08,19.9115,20.7026,19.7796,20.3918,165358
2025-04-09,20.3918,20.4389,18.4233,18.8377,260378
2025-04-10,18.8377,20.0622,19.3087,19.4217,238862
2025-04-13,19.4217,20.4389,19.4594,20.3165,832790
2025-04-14,20.3165,21.3714,20.3259,21.3431,581928
2025-04-15,21.3431,22.059,21.0135,21.296,2308198
2025-04-16,21.296,21.296,20.7309,20.8251,92331
2025-04-17,20.8251,20.957,20.5331,20.6085,131804
2025-04-22,20.6085,21.1736,20.5331,20.7686,21323
2025-04-23,20.7686,21.6634,20.7215,21.6445,154394
2025-04-27,21.6445,21.8329,21.0982,21.7387,210735
2025-04-28,21.7387,22.6994,21.6634,22.6053,552715
2025-04-29,22.6053,22.8031,22.4169,22.6994,271302
2025-04-30,22.6994,22.7842,22.2379,22.5487,130885
2025-05-04,22.5487,22.7936,22.5676,22.6429,91590
2025-05-05,22.6429,23.0762,22.6053,23.0762,278430
2025-05-06,23.0762,23.2552,22.7654,23.0291,59511
2025-05-07,23.0291,23.9239,22.6806,23.5471,1508600
2025-05-08,23.5471,25.9019,23.4059,25.2237,892298
2025-05-11,25.2237,25.4309,24.3948,24.8658,3156745
2025-05-12,24.8658,24.8658,23.8297,24.0463,2080070
2025-05-13,24.0463,24.5832,24.1123,24.2912,60625
2025-05-14,24.2912,24.6209,23.9427,24.5738,491612
2025-05-15,24.5738,24.6586,24.1311,24.3572,50247
2025-05-18,24.3572,24.6021,24.3477,24.3572,50979
2025-05-19,24.3572,24.489,24.2065,24.3195,72578
2025-05-20,24.3195,24.96,24.3101,24.7433,94239
2025-05-21,24.7433,25.1013,24.6115,24.9506,500229
2025-05-22,24.9506,25.9019,24.96,24.96,453792
2025-05-25,24.96,25.4215,24.8658,24.9694,146915
2025-05-26,24.9694,25.2143,24.96,24.9882,310775
2025-05-27,24.9882,25.3085,24.96,25.2049,69500
2025-05-28,25.2049,25.4309,24.96,24.9694,92867
2025-05-29,24.9694,28.7275,25.1954,27.3147,943483
2025-06-01,27.3147,29.6694,28.1624,29.2079,504337
