date,open,high,low,close,volume
2025-03-10,6.39,6.59,6.34,6.59,16754561
2025-03-11,6.59,7.74,6.55,7.46,50765835
2025-03-12,7.46,7.65,7.17,7.5,27697523
2025-03-13,7.5,8.22,7.56,8.2,35884403
2025-03-16,8.2,9.84,8.26,9.5,48241213
2025-03-17,9.5,10.2,8.96,9.76,81624010
2025-03-18,9.76,10.0,9.0,9.0,36465356
2025-03-19,9.0,9.47,8.75,8.75,24183960
2025-03-20,8.75,9.25,8.62,9.06,22000124
2025-03-23,9.06,9.53,9.08,9.18,17635955
2025-03-24,9.18,9.27,8.82,8.83,9786895
2025-03-25,8.83,8.92,8.66,8.7,5203204
2025-03-26,8.7,8.9,8.66,8.85,6398378
2025-03-27,8.85,9.83,8.92,9.54,28758048
2025-04-03,9.54,10.04,9.5,9.97,16242558
2025-04-06,9.97,9.79,9.35,9.5,18596413
2025-04-07,9.5,9.76,9.25,9.65,15272809
2025-04-08,9.65,10.24,9.81,10.05,36062089
2025-04-09,10.05,10.05,9.32,9.32,16089909
2025-04-10,9.32,9.94,9.57,9.62,19586636
2025-04-13,9.62,9.77,9.52,9.57,7577778
2025-04-14,9.57,9.72,9.54,9.57,5987774
2025-04-15,9.57,9.65,9.25,9.27,6514386
2025-04-16,9.27,9.63,9.15,9.53,8599298
2025-04-17,9.53,9.61,9.28,9.4,4848512
2025-04-22,9.4,9.52,9.35,9.45,2770556
2025-04-23,9.45,9.51,9.35,9.37,4578084
2025-04-27,9.37,9.49,9.26,9.27,3542894
2025-04-28,9.27,9.34,9.15,9.15,4151738
2025-04-29,9.15,9.55,9.19,9.51,12449132
2025-04-30,9.51,9.76,9.4,9.41,12294663
2025-05-04,9.41,9.59,9.42,9.47,6801287
2025-05-05,9.47,9.59,9.33,9.36,5910297
2025-05-06,9.36,9.42,9.25,9.25,5786499
2025-05-07,9.25,9.44,9.13,9.18,4781969
2025-05-08,9.18,9.28,9.11,9.17,3068971
2025-05-11,9.17,9.25,8.85,8.94,3348165
2025-05-12,8.94,9.1,8.83,8.91,3318251
2025-05-13,8.91,9.07,8.86,8.92,3678134
2025-05-14,8.92,8.94,8.73,8.74,2810881
2025-05-15,8.74,8.88,8.72,8.88,2251858
2025-05-18,8.88,9.04,8.74,8.8,3032662
2025-05-19,8.8,8.85,8.7,8.7,2026060
2025-05-20,8.7,8.95,8.7,8.92,5786349
2025-05-21,8.92,9.1,8.82,9.05,4572252
2025-05-22,9.05,9.35,9.05,9.35,8473586
2025-05-25,9.35,10.27,9.4,10.09,39422224
2025-05-26,10.09,10.16,9.8,9.81,13475475
2025-05-27,9.81,10.85,9.82,10.8,43914112
2025-05-28,10.8,11.6,10.82,11.6,26584297
2025-05-29,11.6,11.6,10.9,11.24,25730164
2025-06-01,11.24,11.51,11.01,11.4,15800548
2025-06-02,11.4,11.95,11.26,11.45,23522071
2025-06-03,11.45,11.54,11.01,11.01,20135531
2025-06-04,11.01,11.25,10.97,11.08,9935378
2025-06-10,11.08,11.64,11.17,11.55,14859420
2025-06-11,11.55,12.38,11.59,12.01,35754255
2025-06-12,12.01,11.99,10.04,10.76,60569646
2025-06-15,10.76,10.46,9.7,10.25,12288611
2025-06-16,10.25,10.65,10.13,10.15,9743042
2025-06-17,10.15,10.38,9.55,9.55,15546504
2025-06-18,9.55,9.65,9.2,9.31,10146891
2025-06-19,9.31,9.48,8.81,8.85,12830871
2025-06-22,8.85,9.42,8.51,9.42,11910327
2025-06-23,9.42,9.7,9.43,9.51,12013171
2025-06-24,9.51,10.35,9.8,10.35,18101829
2025-06-25,10.35,10.64,10.22,10.52,14952904
2025-06-29,10.52,10.73,10.46,10.46,12931281
2025-06-30,10.46,10.51,10.0,10.06,11531132
2025-07-01,10.06,10.25,9.84,10.05,6253498
2025-07-02,10.05,10.18,9.9,10.0,8727795
2025-07-06,10.0,11.0,10.53,10.7,17233632
2025-07-07,10.7,10.82,10.45,10.51,15880521
2025-07-09,10.51,10.58,10.25,10.34,3940098
2025-07-10,10.34,10.7,10.28,10.43,6600921
2025-07-13,10.43,10.64,10.3,10.36,2989292
2025-07-14,10.36,10.47,10.29,10.41,3661542
2025-07-15,10.41,10.52,10.28,10.38,9310097
2025-07-16,10.38,10.43,10.2,10.21,4451527
2025-07-17,10.21,10.34,10.12,10.14,5259377
2025-07-20,10.14,10.26,10.03,10.1,3681503
2025-07-21,10.1,10.57,10.15,10.4,10683842
2025-07-22,10.4,10.6,10.28,10.29,6080861
2025-07-23,10.29,10.29,10.29,10.29,0
2025-07-27,10.35,10.54,10.37,10.41,3603197
2025-07-28,10.41,10.5,10.19,10.25,4220319
2025-07-29,10.25,10.3,10.11,10.18,2475352
2025-07-30,10.18,10.79,10.17,10.7,26440702
2025-07-31,10.7,11.09,10.64,10.75,19631121
2025-08-03,10.75,10.75,10.75,10.75,0
2025-08-04,10.75,10.75,10.75,10.75,0
2025-08-05,10.75,10.75,10.75,10.75,0
2025-08-06,10.75,10.75,10.75,10.75,0
2025-08-07,10.75,10.75,10.75,10.75,0
2025-08-10,11.99,12.2,11.8,11.97,21157413
2025-08-11,11.97,11.95,11.55,11.56,12537678
2025-08-12,11.56,12.0,11.55,11.85,19150748
2025-08-13,11.85,11.93,11.59,11.66,10366782
2025-08-14,11.66,11.74,11.44,11.6,6379579
2025-08-17,11.6,11.71,11.48,11.65,12441292
2025-08-18,11.65,11.75,11.49,11.5,9110007
2025-08-19,11.5,11.77,11.48,11.77,11311055
2025-08-20,11.77,11.87,11.6,11.65,13195537
2025-08-21,11.65,12.0,11.55,11.9,21485081
2025-08-24,11.9,12.23,11.8,11.91,24902371
2025-08-25,11.91,11.99,11.7,11.73,12031445
2025-08-26,11.73,11.75,11.5,11.5,8322220
2025-08-27,11.5,11.79,11.39,11.79,8404264
2025-08-28,11.79,11.9,11.65,11.65,10314484
2025-08-31,11.65,11.87,11.58,11.64,7523946
2025-09-01,11.64,11.75,11.55,11.7,3350149
2025-09-02,11.7,11.95,11.59,11.65,11261693
2025-09-03,11.65,11.7,11.41,11.41,5379936
2025-09-07,11.41,11.42,11.02,11.02,8379484
2025-09-08,11.02,11.18,10.86,11.12,5388398
