date,open,high,low,close,volume
2025-03-10,2.25,2.28,2.16,2.17,44422420
2025-03-11,2.17,2.2,2.15,2.16,11742362
2025-03-12,2.16,2.21,2.17,2.17,27723426
2025-03-13,2.17,2.2,2.11,2.14,28544496
2025-03-16,2.14,2.27,2.13,2.22,69057255
2025-03-17,2.22,2.25,2.18,2.19,35600967
2025-03-18,2.19,2.29,2.2,2.24,114829758
2025-03-19,2.24,2.28,2.18,2.21,69650933
2025-03-20,2.21,2.23,2.15,2.19,27136335
2025-03-23,2.19,2.2,2.16,2.18,20372471
2025-03-24,2.18,2.21,2.14,2.14,23100310
2025-03-25,2.14,2.16,2.1,2.1,32793771
2025-03-26,2.1,2.16,2.06,2.12,48519898
2025-03-27,2.12,2.13,2.07,2.09,27710787
2025-04-03,2.09,2.13,2.08,2.12,16273150
2025-04-06,2.12,2.07,1.95,2.03,88199228
2025-04-07,2.03,2.05,1.99,2.03,57770470
2025-04-08,2.03,2.08,2.03,2.04,22276488
2025-04-09,2.04,2.05,2.0,2.0,53389412
2025-04-10,2.0,2.05,2.02,2.02,20052361
2025-04-13,2.02,2.06,2.02,2.04,21548609
2025-04-14,2.04,2.06,2.02,2.02,24280981
2025-04-15,2.02,2.08,2.0,2.05,37676743
2025-04-16,2.05,2.07,2.02,2.05,47431484
2025-04-17,2.05,2.06,2.03,2.03,30823341
2025-04-22,2.03,2.09,2.03,2.05,41767290
2025-04-23,2.05,2.19,2.06,2.17,93055014
2025-04-27,2.17,2.28,2.17,2.22,99363802
2025-04-28,2.22,2.25,2.19,2.2,31466454
2025-04-29,2.2,2.21,2.17,2.17,26734903
2025-04-30,2.17,2.21,2.17,2.18,23393021
2025-05-04,2.18,2.24,2.18,2.23,30303797
2025-05-05,2.23,2.27,2.22,2.24,38990495
2025-05-06,2.24,2.25,2.21,2.25,20505754
2025-05-07,2.25,2.38,2.23,2.33,149812747
2025-05-08,2.33,2.38,2.31,2.38,45198395
2025-05-11,2.38,2.41,2.31,2.32,45939998
2025-05-12,2.32,2.34,2.3,2.31,13424752
2025-05-13,2.31,2.35,2.31,2.33,20812748
2025-05-14,2.33,2.43,2.34,2.4,95184469
2025-05-15,2.4,2.42,2.37,2.37,15372601
2025-05-18,2.37,2.41,2.37,2.37,20967394
2025-05-19,2.37,2.38,2.34,2.36,18165768
2025-05-20,2.36,2.56,2.36,2.55,201841834
2025-05-21,2.55,2.66,2.51,2.66,115223876
