date,open,high,low,close,volume
2025-03-10,2.89,2.91,2.85,2.86,3204788
2025-03-11,2.86,2.87,2.82,2.84,5052381
2025-03-12,2.84,2.86,2.79,2.81,8374528
2025-03-13,2.81,2.98,2.82,2.94,28230963
2025-03-16,2.94,3.08,2.91,3.08,34608200
2025-03-17,3.08,3.1,3.0,3.0,28542307
2025-03-18,3.0,3.06,3.0,3.01,13962584
2025-03-19,3.01,3.02,2.92,2.93,11849149
2025-03-20,2.93,3.08,2.92,3.01,20503166
2025-03-23,3.01,3.07,3.0,3.04,9419313
2025-03-24,3.04,3.09,2.98,3.0,9678516
2025-03-25,3.0,3.02,2.93,2.96,4970636
2025-03-26,2.96,2.97,2.9,2.92,8185479
2025-03-27,2.92,2.98,2.93,2.97,5064941
2025-04-03,2.97,3.0,2.93,2.99,6392234
2025-04-06,2.99,2.89,2.77,2.8,14954138
2025-04-07,2.8,2.8,2.72,2.79,8593625
2025-04-08,2.79,2.86,2.73,2.78,13133225
2025-04-09,2.78,2.79,2.61,2.63,7920732
2025-04-10,2.63,2.77,2.69,2.71,12664588
2025-04-13,2.71,2.76,2.72,2.75,5612434
2025-04-14,2.75,2.87,2.76,2.85,55367484
2025-04-15,2.85,2.91,2.85,2.86,26503718
2025-04-16,2.86,2.87,2.82,2.84,6531437
2025-04-17,2.84,2.87,2.79,2.82,11667540
2025-04-22,2.82,2.87,2.8,2.82,4299478
2025-04-23,2.82,2.86,2.81,2.86,13373756
2025-04-27,2.86,2.94,2.87,2.91,28692100
2025-04-28,2.91,2.97,2.89,2.95,42666830
2025-04-29,2.95,3.0,2.92,2.92,24426522
2025-04-30,2.92,2.94,2.83,2.84,26855451
2025-05-04,2.84,3.0,2.84,2.98,56175219
2025-05-05,2.98,3.04,2.94,2.94,36289414
2025-05-06,2.94,2.96,2.89,2.89,14435604
2025-05-07,2.89,2.92,2.82,2.83,10782608
2025-05-08,2.83,2.92,2.84,2.86,22099653
2025-05-11,2.86,2.89,2.8,2.81,11958159
2025-05-12,2.81,2.84,2.7,2.73,31696567
2025-05-13,2.73,2.76,2.67,2.72,12378188
2025-05-14,2.72,2.73,2.7,2.72,6065574
2025-05-15,2.72,2.74,2.69,2.69,7335189
2025-05-18,2.69,2.72,2.62,2.63,5387991
2025-05-19,2.63,2.67,2.61,2.67,5446248
2025-05-20,2.67,2.78,2.67,2.78,12793681
2025-05-21,2.78,2.83,2.75,2.83,10348382
2025-05-22,2.83,2.85,2.79,2.79,8495528
2025-05-25,2.79,2.81,2.76,2.77,7843613
2025-05-26,2.77,2.8,2.75,2.75,5465800
2025-05-27,2.75,2.83,2.74,2.81,6288453
2025-05-28,2.81,2.88,2.77,2.77,14096150
2025-05-29,2.77,2.81,2.75,2.81,6464662
2025-06-01,2.81,2.86,2.79,2.84,10765515
2025-06-02,2.84,2.86,2.81,2.82,7270696
2025-06-03,2.82,2.85,2.81,2.82,5343945
2025-06-04,2.82,2.93,2.82,2.92,39435027
2025-06-10,2.92,3.0,2.94,2.95,19294847
2025-06-11,2.95,2.97,2.86,2.86,15564170
2025-06-12,2.86,2.9,2.77,2.79,13617303
2025-06-15,2.79,2.68,2.5,2.59,29572172
2025-06-16,2.59,2.65,2.59,2.59,11156461
2025-06-17,2.59,2.62,2.51,2.51,10549180
2025-06-18,2.51,2.56,2.49,2.55,19878510
2025-06-19,2.55,2.57,2.43,2.46,18453963
2025-06-22,2.46,2.6,2.35,2.59,13463307
2025-06-23,2.59,2.7,2.58,2.69,18411731
2025-06-24,2.69,2.75,2.68,2.71,21758227
2025-06-25,2.71,2.84,2.69,2.82,30653805
2025-06-29,2.82,2.9,2.84,2.89,16673902
2025-06-30,2.89,2.94,2.85,2.86,21371852
2025-07-01,2.86,2.88,2.79,2.85,6503708
2025-07-02,2.85,2.89,2.8,2.89,18836225
2025-07-06,2.89,2.97,2.88,2.91,16276206
2025-07-07,2.91,3.05,2.87,3.02,112337343
2025-07-09,3.02,3.25,3.0,3.19,71741535
2025-07-10,3.19,3.37,3.2,3.26,73367420
2025-07-13,3.26,3.3,3.16,3.16,32850579
2025-07-14,3.16,3.29,3.16,3.28,29644441
2025-07-15,3.28,3.33,3.23,3.23,36966049
2025-07-16,3.23,3.3,3.16,3.17,26395889
2025-07-17,3.17,3.24,3.16,3.21,23540288
2025-07-20,3.21,3.27,3.2,3.22,18365117
2025-07-21,3.22,3.26,3.09,3.09,33220272
2025-07-22,3.09,3.13,3.06,3.1,13200893
2025-07-23,3.1,3.1,3.1,3.1,0
2025-07-27,3.09,3.15,3.08,3.09,12747514
2025-07-28,3.09,3.11,2.96,2.99,11719395
2025-07-29,2.99,3.03,2.96,3.03,7576066
2025-07-30,3.03,3.12,2.95,3.02,15139376
2025-07-31,3.02,3.1,2.99,3.06,15745869
2025-08-03,3.06,3.06,3.06,3.06,0
2025-08-04,3.06,3.06,3.06,3.06,0
2025-08-05,3.06,3.06,3.06,3.06,0
2025-08-06,3.06,3.06,3.06,3.06,0
2025-08-07,3.06,3.06,3.06,3.06,0
2025-08-10,3.15,3.19,3.12,3.17,9434056
2025-08-11,3.17,3.2,3.1,3.1,10612014
2025-08-12,3.1,3.12,3.05,3.05,15797769
2025-08-13,3.05,3.08,2.8,2.86,42316348
2025-08-14,2.86,2.89,2.78,2.78,20482658
2025-08-17,2.78,2.81,2.66,2.7,22711243
2025-08-18,2.7,2.76,2.68,2.69,11176429
2025-08-19,2.69,2.77,2.68,2.76,11948443
2025-08-20,2.76,2.86,2.74,2.75,21327855
2025-08-21,2.75,2.8,2.74,2.76,7512211
2025-08-24,2.76,2.81,2.74,2.76,9391092
2025-08-25,2.76,2.82,2.75,2.8,10264406
2025-08-26,2.8,2.87,2.8,2.84,9186402
2025-08-27,2.84,2.87,2.81,2.84,34477948
2025-08-28,2.84,2.85,2.78,2.8,6145874
2025-08-31,2.8,2.82,2.68,2.72,7703009
2025-09-01,2.72,2.74,2.69,2.73,5905290
2025-09-02,2.73,2.8,2.7,2.7,11714944
2025-09-03,2.7,2.73,2.63,2.63,11093810
2025-09-07,2.63,2.66,2.61,2.63,6651937
2025-09-08,2.63,2.65,2.42,2.46,24790449
2025-09-09,2.46,2.54,2.46,2.46,15145852
2025-09-10,2.46,2.53,2.47,2.52,8582248
2025-09-11,2.52,2.55,2.45,2.45,10670377
2025-09-14,2.45,2.51,2.4,2.41,14429470
2025-09-15,2.41,2.44,2.37,2.39,10517307
2025-09-16,2.39,2.59,2.39,2.5,36914691
2025-09-17,2.5,2.63,2.49,2.63,29466997
2025-09-18,2.63,2.67,2.58,2.59,11606987
2025-09-21,2.59,2.67,2.54,2.55,11706971
2025-09-22,2.55,2.59,2.5,2.55,8911580
2025-09-23,2.55,2.57,2.46,2.5,8685047
2025-09-24,2.5,2.55,2.48,2.55,6204244
2025-09-25,2.55,2.58,2.51,2.52,5793048
2025-09-28,2.52,2.54,2.47,2.48,6155484
2025-09-29,2.48,2.51,2.47,2.47,10662583
2025-09-30,2.47,2.51,2.47,2.47,11231211
2025-10-01,2.47,2.56,2.48,2.53,11441922
2025-10-02,2.53,2.61,2.53,2.54,13593352
2025-10-05,2.54,2.58,2.52,2.54,5044202
2025-10-06,2.54,2.55,2.48,2.48,13600712
2025-10-07,2.48,2.5,2.46,2.46,8310583
2025-10-08,2.46,2.52,2.45,2.5,11617283
2025-10-12,2.5,2.77,2.5,2.76,52038963
2025-10-13,2.76,2.79,2.64,2.67,20747920
2025-10-14,2.67,2.74,2.66,2.7,9818924
2025-10-15,2.7,2.72,2.65,2.67,7797789
2025-10-16,2.67,2.7,2.63,2.64,15156460
2025-10-19,2.64,2.71,2.64,2.69,14034801
2025-10-20,2.69,2.81,2.69,2.77,37121502
2025-10-21,2.77,2.86,2.79,2.81,20703516
2025-10-22,2.81,2.83,2.66,2.74,46378198
2025-10-23,2.74,2.77,2.69,2.69,12689843
2025-10-26,2.69,2.8,2.71,2.79,27169579
2025-10-27,2.79,2.88,2.78,2.8,27463643
2025-10-28,2.8,2.93,2.81,2.87,44105346
2025-10-29,2.87,2.95,2.86,2.93,30340209
