date,open,high,low,close,volume
2025-03-10,17.9049,17.9735,17.8193,17.9049,1315402
2025-03-11,17.9049,17.9049,17.7422,17.9049,506826
2025-03-12,17.9049,17.9049,17.7764,17.8364,879370
2025-03-13,17.8364,18.8473,17.8364,18.7959,2304236
2025-03-16,18.7959,19.0957,18.676,18.676,502290
2025-03-17,18.676,18.7959,18.4446,18.7017,134876
2025-03-18,18.7017,19.1043,18.4789,19.0358,667103
2025-03-19,19.0358,18.9415,18.4789,18.6845,152326
2025-03-20,18.6845,18.7959,18.5903,18.6845,602078
2025-03-23,18.6845,18.8473,18.5646,18.6931,393937
2025-03-24,18.6931,18.9073,18.6074,18.7531,384915
2025-03-25,18.7531,19.2756,18.7616,19.19,1963520
2025-03-26,19.19,19.4727,19.2242,19.3613,637525
2025-03-27,19.3613,19.4555,19.0615,19.1129,643165
2025-04-03,19.1129,19.2756,19.1129,19.2756,517400
2025-04-06,19.2756,18.9244,18.3333,18.4703,1184868
2025-04-07,18.4703,18.5046,18.1619,18.3675,1277308
2025-04-08,18.3675,18.813,18.5046,18.7959,603738
2025-04-09,18.7959,18.8901,18.3761,18.3761,693413
2025-04-10,18.3761,19.0015,18.6503,18.8644,543778
2025-04-13,18.8644,19.6183,18.8901,19.5926,1168823
2025-04-14,19.5926,19.704,19.13,19.13,2741485
2025-04-15,22.33,19.39,19.0,19.1,967833
2025-04-16,19.1,19.2,18.74,18.75,1019217
2025-04-17,18.75,18.86,18.6,18.6,482773
2025-04-22,18.6,18.77,18.51,18.65,2544568
2025-04-23,18.65,18.95,18.67,18.9,522774
2025-04-27,18.9,19.07,18.75,18.85,943153
2025-04-28,18.85,18.99,18.71,18.8,720699
2025-04-29,18.8,18.93,18.78,18.8,558637
2025-04-30,18.8,18.9,18.61,18.66,851715
2025-05-04,18.66,18.79,18.3,18.33,1931913
2025-05-05,18.33,18.5,18.1,18.2,2172017
2025-05-06,18.2,18.34,18.01,18.02,558523
2025-05-07,18.02,18.2,17.6,17.64,1956203
2025-05-08,17.64,17.86,17.55,17.73,582854
2025-05-11,17.73,17.92,17.44,17.49,653474
2025-05-12,17.49,17.64,17.47,17.5,1131979
2025-05-13,17.5,17.65,17.36,17.43,537604
2025-05-14,17.43,17.55,17.3,17.47,720795
2025-05-15,17.47,18.2,17.47,18.03,1050001
2025-05-18,18.03,18.14,17.9,18.0,379763
2025-05-19,18.0,18.0,17.53,17.59,210945
2025-05-20,17.59,18.0,17.53,17.73,198820
2025-05-21,17.73,17.84,17.61,17.75,142556
2025-05-22,17.75,17.85,17.6,17.6,421350
2025-05-25,17.6,17.85,17.61,17.67,77659
2025-05-26,17.67,17.97,17.63,17.65,301422
2025-05-27,17.65,17.79,17.63,17.68,193142
2025-05-28,17.68,17.83,17.66,17.69,527764
2025-05-29,17.69,17.84,17.51,17.75,887254
2025-06-01,17.75,17.84,17.66,17.75,311400
2025-06-02,17.75,17.77,17.6,17.72,467241
2025-06-03,17.72,17.77,17.6,17.69,819759
2025-06-04,17.69,17.8,17.66,17.69,343500
2025-06-10,17.69,17.96,17.72,17.78,377973
2025-06-11,17.78,18.3,17.8,18.0,1216634
2025-06-12,18.0,18.09,17.8,17.91,618002
2025-06-15,17.91,17.66,16.0,17.09,1085845
2025-06-16,17.09,17.42,16.83,17.37,408292
2025-06-17,17.37,17.35,16.9,17.01,492193
2025-06-18,17.01,17.1,16.75,17.0,294186
2025-06-19,17.0,17.25,16.8,17.01,367622
2025-06-22,17.01,17.33,16.58,17.28,269892
2025-06-23,17.28,17.6,17.1,17.5,835457
2025-06-24,17.5,17.88,17.51,17.7,1665004
2025-06-25,17.7,17.83,17.64,17.7,1135822
2025-06-29,17.7,18.0,17.73,17.88,470069
2025-06-30,17.88,17.99,17.6,17.6,564473
2025-07-01,17.6,17.85,17.47,17.5,347477
2025-07-02,17.5,17.7,17.5,17.59,569038
2025-07-06,17.59,17.8,17.5,17.56,352046
2025-07-07,17.56,17.84,17.53,17.6,234274
2025-07-09,17.6,17.7,17.54,17.55,191440
2025-07-10,17.55,17.71,17.55,17.61,569209
2025-07-13,17.61,18.1,17.52,18.01,1319900
2025-07-14,18.01,18.45,18.0,18.35,1142384
