date,open,high,low,close,volume
2025-03-10,2.51,2.56,2.52,2.54,8198615
2025-03-11,2.54,2.54,2.49,2.52,12335972
2025-03-12,2.52,2.71,2.53,2.66,63142727
2025-03-13,2.66,2.8,2.66,2.7,54266068
2025-03-16,2.7,2.86,2.69,2.83,39585219
2025-03-17,2.83,2.92,2.77,2.77,58800530
2025-03-18,2.77,2.8,2.72,2.74,9075378
2025-03-19,2.74,2.9,2.74,2.8,30464919
2025-03-20,2.8,2.81,2.67,2.7,32919117
2025-03-23,2.7,2.94,2.67,2.68,12939637
2025-03-24,2.68,2.69,2.49,2.51,49143817
2025-03-25,2.51,2.55,2.46,2.46,28193282
2025-03-26,2.46,2.55,2.47,2.54,16803154
2025-03-27,2.54,2.56,2.51,2.53,10448470
2025-04-03,2.53,2.58,2.47,2.58,14772030
2025-04-06,2.58,2.67,2.46,2.61,34324483
2025-04-07,2.61,2.58,2.49,2.55,27026417
2025-04-08,2.55,2.63,2.57,2.57,11419309
2025-04-09,2.57,2.61,2.52,2.52,12865862
2025-04-10,2.52,2.65,2.53,2.58,20350772
2025-04-13,2.58,2.7,2.59,2.64,31197990
2025-04-14,2.64,2.74,2.64,2.72,26804576
2025-04-15,2.72,2.8,2.7,2.75,35896766
2025-04-16,2.75,2.79,2.67,2.69,13094273
2025-04-17,2.69,2.7,2.64,2.7,7569168
2025-04-22,2.7,2.76,2.68,2.69,12477795
2025-04-23,2.69,2.73,2.67,2.68,9446272
2025-04-27,2.68,2.71,2.66,2.66,17561929
2025-04-28,2.66,2.69,2.62,2.62,15693221
2025-04-29,2.62,2.67,2.59,2.66,22656395
2025-04-30,2.66,2.7,2.6,2.64,31299689
2025-05-04,2.64,2.67,2.62,2.63,5900151
2025-05-05,2.63,2.65,2.6,2.61,14076328
2025-05-06,2.61,2.63,2.59,2.6,6634971
2025-05-07,2.6,2.69,2.52,2.55,30193081
2025-05-08,2.55,2.58,2.53,2.57,7500027
2025-05-11,2.57,2.58,2.51,2.51,9804923
2025-05-12,2.51,2.54,2.46,2.46,12218996
2025-05-13,2.46,2.57,2.47,2.53,13892452
2025-05-14,2.53,2.55,2.47,2.5,11114450
2025-05-15,2.5,2.52,2.46,2.48,6651491
2025-05-18,2.48,2.5,2.45,2.47,8987325
2025-05-19,2.47,2.48,2.42,2.45,10249001
2025-05-20,2.45,2.5,2.43,2.5,8852822
2025-05-21,2.5,2.51,2.45,2.45,9659405
2025-05-22,2.45,2.46,2.42,2.44,8237318
2025-05-25,2.44,2.47,2.44,2.45,5342660
2025-05-26,2.45,2.47,2.41,2.42,7595712
2025-05-27,2.42,2.59,2.39,2.57,40403306
2025-05-28,2.57,2.6,2.49,2.52,44365199
2025-05-29,2.52,2.54,2.43,2.45,21242150
2025-06-01,2.45,2.47,2.4,2.4,23309566
2025-06-02,2.4,2.41,2.33,2.38,21015025
2025-06-03,2.38,2.45,2.37,2.43,15645105
2025-06-04,2.43,2.52,2.43,2.46,31757131
2025-06-10,2.46,2.55,2.47,2.49,30428923
2025-06-11,2.49,2.58,2.49,2.56,35584069
2025-06-12,2.56,2.63,2.51,2.61,62415452
2025-06-15,2.61,2.59,2.36,2.56,33164408
2025-06-16,2.56,2.59,2.49,2.53,14814315
2025-06-17,2.53,2.68,2.52,2.61,80904520
2025-06-18,2.61,2.66,2.57,2.58,38636033
2025-06-19,2.58,2.62,2.52,2.52,17141083
2025-06-22,2.52,2.7,2.45,2.68,49364423
2025-06-23,2.68,2.82,2.67,2.8,65769565
2025-06-24,2.8,2.84,2.73,2.77,54188701
2025-06-25,2.77,2.85,2.76,2.84,26130171
2025-06-29,2.84,2.93,2.82,2.87,38858195
2025-06-30,2.87,2.92,2.82,2.88,23835977
2025-07-01,2.88,3.1,2.9,3.04,75341110
2025-07-02,3.04,3.1,3.03,3.04,27845259
2025-07-06,3.04,3.29,3.07,3.25,61281774
2025-07-07,3.25,3.27,3.16,3.24,26276976
2025-07-09,3.24,3.23,3.15,3.21,12756734
2025-07-10,3.21,3.22,3.17,3.18,7170356
2025-07-13,3.18,3.21,3.1,3.11,5462214
2025-07-14,3.11,3.19,3.02,3.14,12084823
2025-07-15,3.14,3.17,3.11,3.13,10359218
2025-07-16,3.13,3.17,3.02,3.03,18532666
2025-07-17,3.03,3.11,3.04,3.1,16655923
2025-07-20,3.1,3.23,3.11,3.23,25450153
2025-07-21,3.23,3.3,3.17,3.17,19421948
2025-07-22,3.17,3.19,3.09,3.15,7879966
2025-07-23,3.15,3.15,3.15,3.15,0
2025-07-27,3.13,3.16,3.11,3.15,3765558
2025-07-28,3.15,3.34,3.15,3.24,67087051
2025-07-29,3.24,3.31,3.23,3.23,10936156
