date,open,high,low,close,volume
2025-03-10,24.14,24.49,24.04,24.08,118167
2025-03-11,24.08,24.39,23.91,24.15,151289
2025-03-12,24.15,24.39,23.9,23.95,172877
2025-03-13,23.95,24.32,23.88,24.22,159898
2025-03-16,24.22,24.5,24.06,24.12,169453
2025-03-17,24.12,24.96,24.2,24.8,599608
2025-03-18,24.8,26.25,24.82,25.46,1323414
2025-03-19,25.46,25.77,25.14,25.15,216331
2025-03-20,25.15,25.42,24.78,24.93,285086
2025-03-23,24.93,25.3,24.81,24.84,174170
2025-03-24,24.84,25.0,24.7,24.73,149195
2025-03-25,24.73,24.99,24.52,24.57,119608
2025-03-26,24.57,24.7,24.3,24.32,90322
2025-03-27,24.32,24.68,24.2,24.5,122102
2025-04-03,24.5,24.5,24.12,24.27,48985
2025-04-06,24.27,23.9,22.5,22.86,143520
2025-04-07,22.86,22.82,21.67,22.19,501368
2025-04-08,22.19,22.67,22.3,22.4,344739
2025-04-09,22.4,23.33,21.91,21.98,559342
2025-04-10,21.98,22.96,22.1,22.19,788415
2025-04-13,22.19,23.55,22.22,23.0,1030921
2025-04-14,23.0,23.39,22.92,22.94,330275
2025-04-15,22.94,23.29,22.75,22.91,159538
2025-04-16,22.91,23.13,22.8,22.88,179907
2025-04-17,22.88,23.7,22.75,23.38,381320
2025-04-22,23.38,23.88,23.4,23.55,227828
2025-04-23,23.55,23.96,23.56,23.85,303315
2025-04-27,23.85,24.16,23.71,23.72,357029
2025-04-28,23.72,23.98,23.5,23.58,166895
2025-04-29,23.58,23.71,23.43,23.49,134023
2025-04-30,23.49,23.62,23.25,23.5,135833
2025-05-04,23.5,23.94,23.56,23.89,308134
2025-05-05,23.89,24.58,23.9,23.99,774969
2025-05-06,23.99,24.25,23.81,23.81,240611
2025-05-07,23.81,24.43,23.55,23.59,353769
2025-05-08,23.59,23.75,23.16,23.51,246847
2025-05-11,23.51,23.78,23.3,23.31,156669
2025-05-12,23.31,23.6,23.15,23.25,106232
2025-05-13,23.25,23.55,22.8,22.82,251963
2025-05-14,22.82,22.9,22.24,22.6,131460
2025-05-15,22.6,22.86,22.4,22.44,108978
2025-05-18,22.44,22.8,22.33,22.55,121148
2025-05-19,22.55,22.58,22.25,22.32,99852
2025-05-20,22.32,22.66,22.25,22.38,75187
2025-05-21,22.38,22.5,22.29,22.41,88197
2025-05-22,22.41,22.82,22.41,22.6,133147
2025-05-25,22.6,23.48,22.55,23.44,621672
2025-05-26,23.44,24.37,23.45,24.19,1116536
2025-05-27,24.19,24.35,24.02,24.13,215859
2025-05-28,24.13,24.2,23.5,23.62,313939
2025-05-29,23.62,24.13,23.5,24.0,394300
2025-06-01,24.0,24.94,24.0,24.85,1067328
2025-06-02,24.85,26.09,24.86,26.08,1668314
2025-06-03,26.08,31.29,26.04,30.0,6725442
2025-06-04,30.0,30.0,28.5,30.0,2065467
2025-06-10,30.0,31.3,29.0,29.6,1299469
2025-06-11,29.6,30.0,29.11,29.35,309010
2025-06-12,29.35,29.35,27.73,27.87,530361
2025-06-15,27.87,26.89,24.01,25.6,222693
2025-06-16,25.6,26.55,25.56,25.59,200482
2025-06-17,25.59,26.2,25.08,25.18,164624
2025-06-18,25.18,25.43,24.4,25.41,277879
2025-06-19,25.41,25.77,24.36,24.45,153495
2025-06-22,24.45,25.7,23.06,25.43,230407
2025-06-23,25.43,26.0,25.43,25.69,157058
2025-06-24,25.69,27.25,25.95,26.96,312360
2025-06-25,26.96,27.48,26.85,27.23,608115
2025-06-29,27.23,27.76,27.0,27.0,288420
2025-06-30,27.0,29.9,26.41,28.13,1274151
2025-07-01,28.13,30.02,28.25,28.6,838109
2025-07-02,28.6,33.9,29.05,32.8,3810246
2025-07-06,32.8,35.68,33.38,33.89,2754449
2025-07-07,33.89,34.43,31.8,32.01,2079805
2025-07-09,32.01,33.3,31.0,31.96,871631
2025-07-10,31.96,32.76,31.56,31.6,450692
2025-07-13,31.6,32.39,31.6,31.6,343357
2025-07-14,31.6,32.6,31.65,32.45,665904
2025-07-15,32.45,32.64,31.0,31.99,695966
2025-07-16,31.99,37.0,30.6,37.0,1465001
2025-07-17,37.0,35.9,33.51,33.79,1820191
2025-07-20,33.79,34.45,33.0,33.84,707259
2025-07-21,33.84,34.1,33.03,33.05,490481
2025-07-22,33.05,33.9,33.0,33.01,471825
2025-07-23,33.01,33.01,33.01,33.01,0
2025-07-27,32.7,33.5,32.4,33.02,487059
2025-07-28,33.02,33.25,31.74,31.74,499742
2025-07-29,31.74,32.72,31.41,32.0,341786
2025-07-30,32.0,32.28,30.9,31.08,269918
2025-07-31,31.08,31.52,30.81,30.99,442504
2025-08-03,30.99,30.99,30.99,30.99,0
2025-08-04,30.99,30.99,30.99,30.99,0
2025-08-05,30.99,30.99,30.99,30.99,0
2025-08-06,30.99,30.99,30.99,30.99,0
2025-08-07,30.99,30.99,30.99,30.99,0
2025-08-10,31.81,32.0,31.63,31.9,267953
2025-08-11,31.9,31.92,30.91,31.12,422120
2025-08-12,31.12,32.1,31.14,31.42,589423
2025-08-13,31.42,31.99,31.3,31.47,350931
2025-08-14,31.47,31.77,31.0,31.3,399964
2025-08-17,31.3,31.67,31.0,31.03,304880
2025-08-18,31.03,31.7,30.85,31.0,529659
2025-08-19,31.0,31.5,31.03,31.21,269565
2025-08-20,31.21,31.45,30.6,30.61,242406
2025-08-21,30.61,30.88,30.22,30.26,231942
2025-08-24,30.26,31.4,30.32,31.3,750245
2025-08-25,31.3,32.5,31.31,31.84,1147273
2025-08-26,31.84,32.5,31.3,31.5,486111
2025-08-27,31.5,31.5,31.06,31.12,217676
2025-08-28,31.12,32.9,31.15,32.17,899475
2025-08-31,32.17,32.95,31.1,31.1,656069
2025-09-01,31.1,32.18,31.18,31.53,339277
2025-09-02,31.53,32.6,31.5,31.97,317906
2025-09-03,31.97,32.5,31.65,31.8,177338
2025-09-07,31.8,32.19,31.67,31.86,321900
2025-09-08,31.86,32.35,31.73,31.73,370667
2025-09-09,31.73,31.97,31.3,31.36,173495
2025-09-10,31.36,31.67,31.23,31.39,143934
2025-09-11,31.39,31.86,31.34,31.6,158596
2025-09-14,31.6,31.96,31.4,31.58,289071
2025-09-15,31.58,31.88,30.5,30.52,439572
2025-09-16,30.52,30.89,29.12,29.6,377140
2025-09-17,29.6,29.99,29.4,29.55,146724
2025-09-18,29.55,29.8,28.94,28.99,212437
2025-09-21,28.99,29.48,28.26,28.31,221859
2025-09-22,28.31,28.96,28.31,28.35,128301
2025-09-23,28.35,28.8,28.0,28.39,208269
2025-09-24,28.39,28.89,28.22,28.44,141792
2025-09-25,28.44,28.88,28.3,28.41,117632
2025-09-28,28.41,29.45,28.42,29.01,147077
2025-09-29,29.01,30.25,29.01,29.43,478633
2025-09-30,29.43,30.18,29.48,29.69,224269
2025-10-01,29.69,30.61,29.43,29.86,301671
2025-10-02,29.86,30.2,29.65,29.83,254764
2025-10-05,29.83,31.86,29.85,31.1,896165
2025-10-06,31.1,31.48,30.71,30.79,297804
2025-10-07,30.79,31.1,30.58,30.66,126009
2025-10-08,30.66,30.95,30.2,30.52,155147
2025-10-12,30.52,31.4,30.42,31.08,270971
2025-10-13,31.08,32.24,31.34,31.84,690888
2025-10-14,31.84,34.16,31.86,33.18,2434266
2025-10-15,33.18,33.75,32.81,32.81,542635
2025-10-16,32.81,33.56,32.8,32.84,459950
2025-10-19,32.84,33.4,32.67,32.72,214730
2025-10-20,32.72,33.07,31.66,32.4,146897
2025-10-21,32.4,32.73,31.8,31.9,425172
2025-10-22,31.9,32.75,31.92,32.02,253351
2025-10-23,32.02,32.34,30.2,31.52,363497
2025-10-26,31.52,32.5,31.11,32.15,680769
2025-10-27,32.15,32.99,32.5,32.72,761240
2025-10-28,32.72,33.8,32.8,33.2,1444181
2025-10-29,33.2,33.28,32.61,32.91,217717
2025-10-30,32.91,33.16,32.03,32.23,325981
2025-11-02,32.23,32.59,31.52,31.94,214964
2025-11-03,31.94,32.4,31.85,32.07,186134
2025-11-04,32.07,33.2,32.01,33.04,527495
2025-11-05,33.04,33.42,32.4,32.73,764930
2025-11-06,32.73,33.06,32.34,32.4,437094
2025-11-09,32.4,32.79,32.25,32.32,217410
2025-11-10,32.32,33.18,32.1,33.0,718846
2025-11-11,33.0,34.7,33.4,34.11,2203317
2025-11-12,34.11,34.8,34.15,34.69,1162967
2025-11-13,34.69,35.4,33.85,34.33,714821
2025-11-16,34.33,34.8,32.6,33.94,871750
2025-11-17,33.94,34.0,33.1,33.98,673416
2025-11-18,33.98,33.9,33.0,33.4,334333
2025-11-19,33.4,33.69,33.06,33.6,354226
2025-11-20,33.6,33.79,33.11,33.14,235543
2025-11-23,33.14,33.32,32.77,33.0,200330
2025-11-24,33.0,33.45,33.0,33.0,726424
2025-11-25,33.0,33.06,32.0,32.11,116542
2025-11-26,32.11,32.97,32.1,32.6,262549
2025-11-27,32.6,32.98,32.12,32.65,129302
2025-11-30,32.65,32.98,32.01,32.13,132885
2025-12-01,32.13,32.65,31.5,31.5,1076585
2025-12-02,31.5,32.35,31.51,31.69,239722
2025-12-03,31.69,32.15,31.33,31.4,227598
2025-12-04,31.4,32.0,31.3,31.53,229534
2025-12-07,31.53,31.88,31.3,31.61,126252
2025-12-08,31.61,31.88,31.0,31.17,237838
2025-12-09,31.17,32.23,31.39,31.57,403039
2025-12-10,31.57,32.88,31.75,32.76,462074
2025-12-11,32.76,32.91,31.66,31.83,156160
2025-12-14,31.83,32.08,31.5,31.7,63901
2025-12-15,31.7,32.4,31.5,31.82,296230
2025-12-16,31.82,32.48,31.6,32.25,328899
2025-12-17,32.25,32.6,31.77,31.78,224612
2025-12-18,31.78,32.25,31.54,31.54,113402
2025-12-21,31.54,31.9,31.03,31.11,331427
2025-12-22,31.11,31.9,31.25,31.31,379580
2025-12-23,31.31,31.6,30.96,31.08,274942
2025-12-24,31.08,31.46,30.94,30.99,173994
2025-12-25,30.99,31.1,30.8,30.93,133659
2025-12-28,30.93,31.39,30.5,31.01,298153
2025-12-29,31.01,31.76,30.82,31.57,454020
2025-12-30,31.57,31.74,31.02,31.23,240468
2025-12-31,31.23,31.55,30.72,31.49,404521
2026-01-04,31.49,31.5,30.36,30.46,231434
2026-01-05,30.46,30.75,29.5,29.67,265801
2026-01-06,29.67,30.56,29.83,30.03,198090
2026-01-08,30.03,30.5,29.88,30.0,124846
2026-01-11,30.0,30.42,29.89,30.0,246542
2026-01-12,30.0,30.2,29.7,29.77,101841
2026-01-13,29.77,30.0,28.5,28.83,116118
2026-01-14,28.83,29.47,28.4,28.68,189863
2026-01-15,28.68,29.0,27.52,27.84,153371
2026-01-18,27.84,29.0,28.0,28.92,99571
2026-01-19,28.92,28.98,28.56,28.76,70473
2026-01-20,28.76,29.17,28.14,28.27,136612
2026-01-21,28.27,28.74,28.01,28.11,47460
2026-01-22,28.11,29.25,28.3,28.75,146737
2026-01-25,28.75,29.43,28.7,28.73,100979
2026-01-26,28.73,29.1,28.41,28.46,91315
2026-01-27,28.46,28.83,28.05,28.23,84884
2026-01-28,28.23,28.74,27.27,28.34,104885
2026-02-01,28.34,28.49,27.41,28.24,42266
2026-02-02,28.24,28.4,28.07,28.32,52747
2026-02-03,28.32,29.5,28.35,29.31,370270
2026-02-04,29.31,29.93,29.31,29.45,123113
2026-02-05,29.45,29.7,28.4,29.41,74355
2026-02-08,29.41,30.3,29.4,29.71,477836
2026-02-09,29.71,29.9,29.13,29.22,258238
2026-02-10,29.22,30.21,28.83,29.12,1446344
2026-02-11,29.12,29.5,28.8,28.83,385007
2026-02-12,28.83,29.39,28.6,29.21,157843
2026-02-15,29.21,29.87,29.07,29.7,452906
2026-02-16,29.7,29.96,29.49,29.51,365594
2026-02-17,29.51,29.7,29.03,29.19,98666
2026-02-18,29.19,29.6,29.07,29.27,93044
2026-02-19,29.27,29.35,28.19,28.22,102339
2026-02-22,28.22,28.8,27.5,27.5,192128
2026-02-23,27.5,28.24,27.53,27.88,68710
2026-02-24,27.88,28.18,27.55,27.85,98250
2026-02-25,27.85,27.76,26.5,26.5,395857
2026-02-26,26.5,26.9,26.09,26.09,259698
2026-03-01,26.09,25.39,23.51,24.92,143761
2026-03-02,24.92,25.9,24.84,24.99,88480
2026-03-03,24.99,25.85,24.61,25.06,80069
2026-03-04,25.06,26.29,25.06,25.83,91166
2026-03-05,25.83,26.7,26.0,26.12,86737
2026-03-08,26.12,26.9,26.12,26.7,73612
2026-03-09,26.7,27.24,26.15,26.33,111471
2026-03-10,26.33,26.7,25.5,26.11,133684
2026-03-11,26.11,26.93,26.14,26.38,84277
2026-03-12,26.38,26.87,26.0,26.02,86057
2026-03-15,26.02,26.37,25.85,25.92,78457
2026-03-16,25.92,26.2,25.15,25.43,58049
2026-03-17,25.43,26.16,25.36,25.57,32143
2026-03-18,25.57,26.35,25.6,25.95,73084
2026-03-19,25.95,25.95,25.95,25.95,0
2026-03-24,25.95,26.46,26.0,26.02,74378
2026-03-25,26.02,26.7,26.0,26.38,216751
2026-03-26,26.38,26.85,26.01,26.01,171992
2026-03-29,26.01,26.02,25.71,25.73,60096
2026-03-30,25.73,26.0,25.0,25.12,96674
2026-03-31,25.12,25.7,24.9,25.01,92840
2026-04-01,25.01,25.6,25.05,25.13,73508
2026-04-02,25.13,26.6,25.07,26.59,296846
2026-04-05,26.59,28.0,26.41,27.11,604613
2026-04-06,27.11,27.6,26.81,27.0,187708
2026-04-07,27.0,27.37,26.3,26.31,190509
2026-04-08,26.31,27.39,26.75,26.91,182698
2026-04-09,26.91,27.1,26.55,26.6,128205
2026-04-14,26.6,26.95,26.5,26.59,110277
2026-04-15,26.59,27.04,26.52,26.58,165984
2026-04-16,26.58,27.1,26.57,26.62,304227
2026-04-19,26.62,27.48,26.7,27.37,354233
2026-04-20,27.37,28.19,27.37,28.02,843257
2026-04-21,28.02,29.3,28.2,28.26,699407
2026-04-22,28.26,28.89,28.27,28.35,100534
2026-04-23,28.35,28.57,28.3,28.47,154486
2026-04-26,28.47,28.99,28.31,28.45,127389
2026-04-27,28.45,28.64,28.13,28.36,125460
2026-04-28,28.36,28.45,28.15,28.23,88622
2026-04-29,28.23,28.33,27.6,27.89,169048
2026-04-30,27.89,28.69,27.82,28.5,466197
2026-05-03,28.5,29.25,28.54,29.0,327655
2026-05-04,29.0,29.69,28.55,29.69,384105
2026-05-05,29.69,29.8,29.1,29.37,159287
2026-05-06,29.37,29.8,29.16,29.8,209761
2026-05-10,29.8,30.8,29.8,30.5,369985
2026-05-11,30.5,30.79,30.1,30.64,167358
2026-05-12,30.64,31.05,30.64,30.88,189361
2026-05-13,30.88,31.33,30.64,31.14,233129
2026-05-14,31.14,31.29,30.35,30.92,149764
2026-05-17,30.92,30.92,30.01,30.3,80997
2026-05-18,30.3,30.3,29.0,29.0,142760
2026-05-19,29.0,29.9,28.7,29.12,78637
2026-05-20,29.12,29.45,28.89,29.02,142497
2026-05-21,29.02,29.68,29.02,29.23,55521
2026-05-24,29.23,29.6,29.13,29.32,36822
2026-05-25,29.32,30.5,29.36,30.36,165520
2026-06-01,30.36,30.89,30.0,30.33,126407
2026-06-02,30.33,30.55,30.1,30.18,63226
2026-06-03,30.18,30.5,29.8,30.48,162889
