date,open,high,low,close,volume
2025-03-10,16.2799,16.5641,16.2211,16.4661,1350828
2025-03-11,16.4661,16.4563,16.0838,16.172,862956
2025-03-12,16.172,16.1819,15.7702,15.8192,4308651
2025-03-13,15.8192,16.2505,15.829,16.0446,3194363
2025-03-16,16.0446,17.015,16.123,16.9365,4541476
2025-03-17,16.9365,17.0542,16.6719,16.8581,3597099
2025-03-18,16.8581,16.9071,16.4171,16.6131,2639357
2025-03-19,16.6131,16.7209,16.172,16.2995,2144630
2025-03-20,16.2995,16.5837,16.2897,16.4367,1201147
2025-03-23,16.4367,16.6425,16.3681,16.4465,910270
2025-03-24,16.4465,16.9071,16.4465,16.9071,3956913
2025-03-25,16.9071,17.1326,16.7797,16.7797,2426753
2025-03-26,16.7797,16.9365,16.5151,16.6229,1316086
2025-03-27,16.6229,16.8091,16.5249,16.7111,975670
2025-04-03,16.7111,16.7993,16.5151,16.6131,859924
2025-04-06,16.6131,16.2211,15.682,15.8878,2770094
2025-04-07,15.8878,16.5151,15.7114,16.0348,6821749
2025-04-08,16.0348,16.5543,16.1034,16.1818,1690355
2025-04-09,16.1818,16.3093,15.7408,15.78,2130519
2025-04-10,15.78,16.5641,15.878,16.4661,5000886
2025-04-13,16.4661,16.7405,16.4171,16.5347,3504719
2025-04-14,16.5347,17.015,16.4857,16.9659,5277656
2025-04-15,16.9659,17.7402,16.9758,17.6912,10298392
2025-04-16,17.6912,18.0245,17.505,17.505,3948898
2025-04-17,17.505,17.6422,17.3482,17.5148,1796865
2025-04-22,17.5148,17.603,17.2992,17.3384,1736516
2025-04-23,17.3384,17.9755,17.3678,17.9265,3052865
2025-04-27,17.9265,18.4263,17.9755,18.4263,4660726
2025-04-28,18.4263,18.5047,18.1911,18.3381,1183399
2025-04-29,18.3381,18.4263,18.1911,18.4263,2340083
2025-04-30,18.4263,18.5243,18.3381,18.4263,1428986
2025-05-04,18.4263,19.0144,18.4067,18.9066,3106787
2025-05-05,18.9066,18.8674,18.544,18.5734,909592
2025-05-06,18.5734,18.9066,18.4949,18.593,1319620
2025-05-07,18.593,18.6714,18.0343,18.2107,2315684
2025-05-08,18.2107,18.2793,17.9657,18.0833,961729
2025-05-11,18.0833,18.2793,17.8383,17.9657,775788
2025-05-12,17.9657,18.3773,17.9853,18.1715,1221110
2025-05-13,18.1715,18.4263,18.2401,18.4165,1090344
2025-05-14,18.4165,18.4753,18.2401,18.3773,920258
2025-05-15,18.3773,18.5341,18.2989,18.4851,1250539
2025-05-18,18.4851,18.7792,18.4459,18.5734,1528355
2025-05-19,18.5734,18.6224,18.0049,18.0833,1393537
2025-05-20,18.0833,18.4263,18.0441,18.2303,963862
2025-05-21,18.2303,18.7106,18.2597,18.6224,2575515
2025-05-22,18.6224,18.936,18.5341,18.7694,2725389
2025-05-25,12.5129,12.9246,12.5456,12.918,5117344
2025-05-26,12.918,13.0553,12.82,12.8266,3005367
2025-05-27,12.8266,12.9311,12.4149,12.6763,1342153
2025-05-28,12.6763,12.7939,12.5391,12.5521,1328844
2025-05-29,12.5521,12.6109,12.4868,12.5783,1282552
2025-06-01,12.5783,12.6763,12.3104,12.3169,1033938
2025-06-02,12.3172,12.4378,11.7713,12.0751,1769450
2025-06-03,12.0751,12.1731,11.9869,12.1045,1044408
2025-06-04,12.1045,12.428,12.0359,12.3496,1942234
2025-06-10,12.3496,12.4182,12.2516,12.379,1030453
2025-06-11,12.379,12.428,12.1535,12.1927,1306183
2025-06-12,12.1927,12.1927,11.9477,12.0947,1083659
2025-06-15,12.0947,11.7517,10.7912,11.3596,1801777
2025-06-16,11.3596,11.6243,11.1734,11.1832,1485793
2025-06-17,11.1832,11.3302,10.85,10.85,1013130
2025-06-18,10.85,11.1734,10.7226,10.9872,1182097
2025-06-19,10.9872,11.1048,10.7422,10.9774,1518337
2025-06-22,10.9774,11.1734,10.6834,11.0754,1067438
2025-06-23,11.1888,11.466,11.2383,11.4264,2716552
2025-06-24,11.4264,12.4661,11.5056,12.3473,3218269
2025-06-25,12.3473,12.6641,11.9809,12.5552,1705394
2025-06-29,12.5552,12.773,12.3572,12.773,2197420
2025-06-30,12.773,12.9612,12.476,12.674,2300579
2025-07-01,12.674,12.8126,12.0205,12.3374,1729430
2025-07-02,12.3374,12.377,12.1195,12.2779,539880
2025-07-06,12.2779,12.7532,12.2878,12.4859,2406463
2025-07-07,12.4859,12.6245,12.2878,12.2978,805393
2025-07-09,12.2978,12.476,12.1789,12.377,620068
2025-07-10,12.377,12.4661,12.3077,12.4166,363512
2025-07-13,12.4166,12.476,12.0304,12.07,758491
2025-07-14,12.07,12.2779,12.0205,12.169,609166
2025-07-15,12.169,12.2779,12.0898,12.1096,1024392
2025-07-16,12.1096,12.4265,11.9314,12.0106,4149976
2025-07-17,12.0106,12.1789,12.0106,12.0106,625259
2025-07-20,12.0106,12.1591,11.9314,11.9908,1144389
2025-07-21,11.9908,12.3374,11.9908,12.3374,2291499
2025-07-22,12.3374,12.4265,12.1393,12.1492,734385
2025-07-23,12.1492,12.1492,12.1492,12.1492,0
2025-07-27,12.1789,12.268,12.0601,12.268,1346852
2025-07-28,12.268,12.3572,11.9017,11.9215,1187268
2025-07-29,11.9215,12.1789,11.9512,12.1789,925985
2025-07-30,12.1789,12.268,11.7532,11.7829,899606
2025-07-31,11.7829,12.0799,11.7928,12.0799,755516
2025-08-03,12.0799,12.0799,12.0799,12.0799,0
2025-08-04,12.0799,12.0799,12.0799,12.0799,0
2025-08-05,12.0799,12.0799,12.0799,12.0799,0
2025-08-06,12.0799,12.0799,12.0799,12.0799,0
2025-08-07,12.0799,12.0799,12.0799,12.0799,0
2025-08-10,13.684,14.1592,13.7434,13.8127,6569186
2025-08-11,13.8127,14.0899,13.5751,14.08,4862852
2025-08-12,14.08,14.1097,13.8127,13.9711,2681969
