date,open,high,low,close,volume
2025-03-10,8.52,8.69,8.55,8.55,1706607
2025-03-11,8.55,8.6,8.48,8.54,964759
2025-03-12,8.54,8.62,8.53,8.56,894404
2025-03-13,8.56,8.61,8.45,8.55,1773806
2025-03-16,8.55,8.57,8.47,8.5,1046425
2025-03-17,8.5,8.5,8.36,8.37,1630818
2025-03-18,8.37,8.44,8.24,8.3,1340486
2025-03-19,8.3,8.34,8.03,8.07,2813758
2025-03-20,8.07,8.22,8.08,8.13,1133413
2025-03-23,8.13,8.33,8.15,8.2,876927
2025-03-24,8.2,8.26,7.97,8.07,1478500
2025-03-25,8.07,8.14,7.95,8.0,988638
2025-03-26,8.0,8.1,7.93,8.05,1897361
2025-03-27,8.05,8.15,8.03,8.05,1304792
2025-04-03,8.05,8.09,7.98,8.07,1149147
2025-04-06,8.07,7.9,7.71,7.72,1475991
2025-04-07,7.72,7.78,7.52,7.77,1582668
2025-04-08,7.77,7.85,7.78,7.84,1453782
2025-04-09,7.84,7.84,7.36,7.36,1615096
2025-04-10,7.36,7.75,7.61,7.66,1042409
2025-04-13,7.66,7.8,7.69,7.75,1290569
2025-04-14,7.75,8.07,7.8,8.05,3139376
2025-04-15,8.05,8.18,8.01,8.02,2522960
2025-04-16,8.02,8.07,7.95,7.96,688557
2025-04-17,7.96,8.12,7.93,8.0,1334527
2025-04-22,8.0,8.12,7.95,7.97,1448944
2025-04-23,7.97,8.1,7.96,8.08,1747169
2025-04-27,8.08,8.3,8.09,8.3,5483528
2025-04-28,8.3,8.36,8.22,8.25,1952591
2025-04-29,8.25,8.36,8.2,8.27,4072194
2025-04-30,8.27,8.39,8.22,8.39,2001860
2025-05-04,8.39,8.48,8.4,8.42,2576219
2025-05-05,8.42,8.47,8.3,8.3,1631119
2025-05-06,8.3,8.4,8.29,8.31,1554448
2025-05-07,8.31,8.38,8.1,8.15,2552987
2025-05-08,8.15,8.25,8.07,8.17,1328634
2025-05-11,8.17,8.28,8.04,8.04,850351
2025-05-12,8.04,8.19,7.97,8.0,1298636
2025-05-13,8.0,8.11,7.98,8.0,944210
2025-05-14,8.0,8.07,7.95,7.96,470221
2025-05-15,7.96,8.02,7.88,7.92,1302116
2025-05-18,7.92,8.12,7.92,8.03,5145628
2025-05-19,8.03,8.1,7.85,7.85,3147201
2025-05-20,7.85,7.98,7.78,7.78,1824259
2025-05-21,7.78,7.81,7.6,7.63,4315217
2025-05-22,7.63,7.74,7.6,7.7,2189272
2025-05-25,7.7,7.77,7.63,7.67,1250730
2025-05-26,7.67,7.71,7.62,7.63,1362926
2025-05-27,7.63,7.7,7.59,7.65,1773895
2025-05-28,7.65,7.72,7.6,7.6,1495545
2025-05-29,7.6,7.67,7.55,7.58,1200580
2025-06-01,7.58,7.63,7.55,7.57,687631
2025-06-02,7.57,7.71,7.53,7.58,1421398
2025-06-03,7.58,7.9,7.61,7.83,3629155
2025-06-04,7.83,8.05,7.86,7.89,2892976
2025-06-10,7.89,8.13,7.93,7.97,1409173
2025-06-11,7.97,8.05,7.91,7.91,1448928
2025-06-12,7.91,7.9,7.65,7.68,1763350
2025-06-15,7.68,7.3,6.75,7.27,1552874
2025-06-16,7.27,7.4,7.25,7.34,948692
2025-06-17,7.34,7.39,7.05,7.08,1091145
2025-06-18,7.08,7.1,6.99,7.04,1253255
2025-06-19,7.04,7.13,6.92,6.92,1439592
2025-06-22,6.92,7.1,6.77,7.09,1756793
2025-06-23,7.09,7.3,7.05,7.23,2664964
2025-06-24,7.23,7.45,7.29,7.45,2761287
2025-06-25,7.45,7.59,7.35,7.59,1622689
2025-06-29,7.59,7.77,7.61,7.62,1618768
2025-06-30,7.62,7.71,7.55,7.55,1217029
2025-07-01,7.55,7.61,7.5,7.5,669841
2025-07-02,7.5,7.56,7.45,7.45,1135949
2025-07-06,7.45,7.68,7.5,7.59,1259049
2025-07-07,7.59,8.78,7.55,8.44,18447202
2025-07-09,8.44,8.6,8.3,8.37,5084838
2025-07-10,8.37,8.42,8.23,8.32,2964267
2025-07-13,8.32,8.63,8.32,8.4,3900762
2025-07-14,8.4,9.5,8.32,9.2,23509334
2025-07-15,9.2,9.85,9.2,9.62,15098143
2025-07-16,9.62,10.7,9.45,10.2,23272124
2025-07-17,10.2,10.6,10.06,10.52,17376384
2025-07-20,10.52,10.7,10.33,10.5,4607701
2025-07-21,10.5,10.51,10.0,10.03,4290473
2025-07-22,10.03,10.24,9.72,9.72,5183900
2025-07-23,9.72,9.72,9.72,9.72,0
2025-07-27,9.79,10.28,9.76,9.94,6939780
2025-07-28,9.94,10.11,9.6,9.61,3387399
2025-07-29,9.61,10.07,9.5,9.93,7822178
2025-07-30,9.93,10.25,9.75,9.95,7456520
2025-07-31,9.95,10.26,9.96,10.15,5832668
2025-08-03,10.15,10.15,10.15,10.15,0
2025-08-04,10.15,10.15,10.15,10.15,0
2025-08-05,10.15,10.15,10.15,10.15,0
2025-08-06,10.15,10.15,10.15,10.15,0
2025-08-07,10.15,10.15,10.15,10.15,0
2025-08-10,10.9,11.1,10.9,10.9,3152876
2025-08-11,10.9,11.45,10.93,11.4,10096041
2025-08-12,11.4,11.65,11.33,11.59,6236964
2025-08-13,11.59,11.8,11.37,11.41,4502049
2025-08-14,11.41,11.52,11.1,11.51,3406612
2025-08-17,11.51,11.65,11.41,11.41,2611740
2025-08-18,11.41,12.3,11.41,12.03,16125334
2025-08-19,12.03,12.57,12.02,12.1,4486670
2025-08-20,12.1,12.18,11.64,11.66,6019268
2025-08-21,11.66,11.97,11.67,11.75,2625045
2025-08-24,11.75,11.94,11.6,11.6,1763263
2025-08-25,11.6,11.75,10.84,11.06,9993594
2025-08-26,11.06,11.17,10.76,11.0,4063837
2025-08-27,11.0,11.2,10.87,10.87,2103444
2025-08-28,10.87,11.2,10.9,11.2,3457715
2025-08-31,11.2,11.27,10.86,11.01,2592726
2025-09-01,11.01,11.15,10.91,11.05,1107358
2025-09-02,11.05,11.2,11.0,11.06,1230062
2025-09-03,11.06,11.15,11.0,11.0,1236885
2025-09-07,11.0,11.55,10.91,11.24,4434583
2025-09-08,11.24,11.38,11.1,11.21,1828697
2025-09-09,11.21,11.55,11.13,11.2,2457148
2025-09-10,11.2,11.44,11.18,11.23,2009710
2025-09-11,11.23,11.57,11.24,11.5,3616739
2025-09-14,11.5,11.77,11.5,11.7,2941991
2025-09-15,11.7,11.91,11.5,11.5,3988657
2025-09-16,11.5,11.55,11.03,11.25,2339803
2025-09-17,11.25,11.4,11.2,11.31,1094522
2025-09-18,11.31,11.44,11.17,11.22,2474586
2025-09-21,11.22,11.5,11.25,11.26,1118794
2025-09-22,11.26,11.34,11.02,11.2,858396
2025-09-23,11.2,11.22,10.98,11.03,1095753
2025-09-24,11.03,11.33,11.0,11.19,1205868
2025-09-25,11.19,11.3,11.05,11.22,1543810
2025-09-28,11.22,11.5,11.22,11.46,3795714
2025-09-29,11.46,11.75,11.46,11.75,3951019
2025-09-30,11.75,12.35,11.76,12.26,14542822
2025-10-01,12.26,12.3,11.81,11.85,4432487
2025-10-02,11.85,12.16,11.75,11.87,6178441
2025-10-05,11.87,12.17,11.9,12.17,2597516
2025-10-06,12.17,12.2,11.97,12.05,2025316
2025-10-07,12.05,12.19,11.93,11.95,1615470
2025-10-08,11.95,12.1,11.83,11.91,1388440
2025-10-12,11.91,11.9,11.54,11.6,2051693
2025-10-13,11.6,11.68,11.33,11.41,3136018
2025-10-14,11.41,11.7,11.35,11.5,2006873
2025-10-15,11.5,11.61,11.37,11.38,929805
2025-10-16,11.38,11.6,11.4,11.57,1333036
2025-10-19,11.57,11.81,11.62,11.68,1913880
2025-10-20,11.68,11.8,11.49,11.5,1043771
2025-10-21,11.5,11.59,11.48,11.53,723522
2025-10-22,11.53,11.72,11.43,11.44,601475
2025-10-23,11.44,11.57,11.2,11.3,1946035
2025-10-26,11.3,11.4,11.23,11.33,1287060
2025-10-27,11.33,11.41,11.25,11.27,2038887
2025-10-28,11.27,11.56,11.27,11.43,4036851
2025-10-29,11.43,11.54,11.33,11.4,2222545
2025-10-30,11.4,11.42,11.26,11.3,771811
2025-11-02,11.3,11.4,11.23,11.3,906546
2025-11-03,11.3,11.34,11.16,11.2,826852
2025-11-04,11.2,11.2,11.06,11.06,1016345
2025-11-05,11.06,11.17,10.66,10.81,2207775
2025-11-06,10.81,10.88,10.59,10.65,1369587
2025-11-09,10.65,10.83,10.55,10.56,1332995
2025-11-10,10.56,10.7,10.44,10.6,885879
2025-11-11,10.6,10.79,10.36,10.44,1848118
2025-11-12,10.44,10.55,10.31,10.38,625974
2025-11-13,10.38,10.53,10.37,10.42,1042976
2025-11-16,10.42,10.51,10.3,10.3,748731
2025-11-17,10.3,10.36,9.93,10.0,2130724
2025-11-18,10.0,10.64,10.0,10.42,3756303
2025-11-19,10.42,10.58,10.34,10.44,823273
2025-11-20,10.44,10.61,10.3,10.37,1977491
2025-11-23,10.37,10.54,10.31,10.31,868696
2025-11-24,10.31,10.41,10.21,10.22,596289
2025-11-25,10.22,10.32,10.0,10.01,864087
2025-11-26,10.01,10.18,9.88,9.96,1246263
2025-11-27,9.96,10.23,9.8,10.06,1391092
2025-11-30,10.06,10.8,10.25,10.8,6049508
2025-12-01,10.8,10.93,10.6,10.66,2582929
2025-12-02,10.66,10.75,10.45,10.5,1424272
2025-12-03,10.5,11.04,10.51,10.75,9031417
2025-12-04,10.75,10.9,10.61,10.61,2497231
2025-12-07,10.61,11.24,10.61,10.93,6564426
2025-12-08,10.93,11.12,10.67,10.86,3066202
2025-12-09,10.86,11.0,10.73,10.84,2642585
2025-12-10,10.84,10.98,10.79,10.88,1453695
2025-12-11,10.88,10.9,10.7,10.7,1764688
2025-12-14,10.7,11.79,10.77,11.63,18081942
2025-12-15,11.63,11.85,11.53,11.54,4907312
2025-12-16,11.54,12.0,11.45,11.75,6867901
2025-12-17,11.75,11.95,11.61,11.77,3531916
2025-12-18,11.77,12.03,11.74,11.76,7479536
2025-12-21,11.76,12.24,11.75,12.21,12608641
2025-12-22,12.21,12.95,12.3,12.5,20540565
2025-12-23,12.5,12.66,12.2,12.4,8269344
2025-12-24,12.4,12.66,12.33,12.41,3601977
2025-12-25,12.41,12.52,12.13,12.15,2717779
2025-12-28,12.15,12.49,12.03,12.49,3563763
2025-12-29,12.49,12.59,12.34,12.34,3592151
2025-12-30,12.34,12.5,12.22,12.37,2124644
2025-12-31,12.37,12.6,12.07,12.49,2745586
2026-01-04,12.49,12.49,12.0,12.0,1429887
2026-01-05,12.0,12.1,11.46,11.7,1673864
2026-01-06,11.7,11.89,11.57,11.62,1596601
2026-01-08,11.62,11.89,11.51,11.52,1061820
2026-01-11,11.52,11.87,11.6,11.71,915684
2026-01-12,11.71,11.92,11.46,11.5,2606067
2026-01-13,11.5,11.6,11.14,11.15,1343814
2026-01-14,11.15,11.24,9.77,10.8,2135786
2026-01-15,10.8,11.0,10.47,10.5,944525
2026-01-18,10.5,10.9,10.61,10.68,485950
2026-01-19,10.68,10.92,10.7,10.72,2408461
2026-01-20,10.72,10.88,10.4,10.55,3392272
2026-01-21,10.55,11.05,10.5,10.99,3604457
2026-01-22,10.99,11.33,10.95,10.95,4627060
2026-01-25,10.95,11.2,10.8,10.8,2730595
2026-01-26,10.8,10.95,10.67,10.85,2476209
2026-01-27,10.85,11.44,10.85,11.38,7700380
2026-01-28,11.38,11.68,10.9,11.11,6605208
2026-02-01,11.11,11.3,11.0,11.25,1279822
2026-02-02,11.25,11.8,11.12,11.65,6097771
2026-02-03,11.65,11.95,11.61,11.72,5304963
2026-02-04,11.72,12.32,11.73,12.3,15879434
2026-02-05,12.3,12.37,12.07,12.14,6040935
2026-02-08,12.14,12.47,12.13,12.42,7673665
2026-02-09,12.42,12.49,12.19,12.33,3191377
2026-02-10,12.33,12.48,12.22,12.3,3811720
2026-02-11,12.3,12.71,12.3,12.6,8748210
2026-02-12,12.6,12.79,12.46,12.46,4481211
2026-02-15,12.46,13.39,12.59,13.28,19691993
2026-02-16,13.28,13.43,13.01,13.01,6335885
2026-02-17,13.01,13.16,12.85,13.03,3961878
2026-02-18,13.03,13.41,13.13,13.15,7201138
2026-02-19,13.15,13.2,12.8,12.83,2929040
2026-02-22,12.83,13.02,12.65,12.88,3036615
2026-02-23,12.88,13.16,12.75,13.01,4107775
2026-02-24,13.01,13.26,12.96,13.0,5771997
2026-02-25,13.0,13.35,12.93,13.04,16019306
2026-02-26,13.04,13.4,12.91,13.09,6268578
2026-03-01,13.09,12.57,12.02,12.42,5455005
2026-03-02,12.42,12.59,12.1,12.22,1623100
2026-03-03,12.22,13.4,11.9,13.2,11886571
2026-03-04,13.2,13.97,12.4,12.55,38283391
2026-03-05,12.55,12.65,11.71,12.13,31200383
