date,open,high,low,close,volume
2025-03-10,5.11,5.15,5.07,5.11,52349
2025-03-11,5.11,5.16,5.06,5.12,103306
2025-03-12,5.12,6.14,5.15,6.14,2760648
2025-03-13,6.14,6.5,5.82,5.89,2720203
2025-03-16,5.89,6.66,5.9,6.21,2444904
2025-03-17,6.21,6.39,6.1,6.14,674497
2025-03-18,6.14,6.59,6.2,6.39,1622120
2025-03-19,6.39,6.49,6.1,6.21,364120
2025-03-20,6.21,6.35,6.11,6.2,55103
2025-03-23,6.2,6.21,6.07,6.11,196736
2025-03-24,6.11,6.34,6.1,6.18,129529
2025-03-25,6.18,6.2,6.0,6.0,366105
2025-03-26,6.0,6.0,5.63,5.85,201955
2025-03-27,5.85,6.15,5.87,6.12,129411
2025-04-03,6.12,6.27,5.97,6.22,141058
2025-04-06,6.22,6.08,5.81,5.92,215715
2025-04-07,5.92,5.99,5.61,5.94,102808
2025-04-08,5.94,6.09,5.81,5.97,66906
2025-04-09,5.97,6.0,5.6,5.86,96631
2025-04-10,5.86,6.1,5.72,5.91,80361
2025-04-13,5.91,6.04,5.88,5.92,68898
2025-04-14,5.92,6.47,5.88,6.34,535958
2025-04-15,6.34,6.53,6.26,6.42,710256
2025-04-16,6.42,6.58,6.3,6.31,403747
2025-04-17,6.31,7.57,6.31,7.57,6161564
2025-04-22,7.57,8.57,7.65,7.72,4833360
2025-04-23,7.72,7.96,7.5,7.64,834022
2025-04-27,7.64,8.45,7.53,7.73,1662501
2025-04-28,7.73,7.94,7.57,7.9,976387
2025-04-29,7.9,8.08,7.7,7.87,410541
2025-04-30,7.87,9.44,7.8,9.44,11913298
2025-05-04,9.44,11.32,9.31,11.32,9555367
2025-05-05,11.32,12.9,10.51,10.76,3983980
2025-05-06,10.76,11.25,10.3,10.38,2699719
2025-05-07,10.38,10.73,9.72,9.72,2911361
2025-05-08,9.72,10.39,9.61,9.88,3901074
2025-05-11,9.88,10.15,9.53,9.6,1771236
2025-05-12,9.6,9.75,9.14,9.3,2263003
2025-05-13,9.3,9.4,7.71,8.4,77031137
2025-05-14,8.4,8.58,8.25,8.26,11595676
2025-05-15,8.26,8.5,8.19,8.36,51916019
2025-05-18,8.36,8.63,8.38,8.42,44299241
2025-05-19,8.42,9.18,8.45,9.0,18398527
2025-05-20,9.0,9.35,9.0,9.05,13568668
2025-05-21,9.05,9.18,8.66,8.72,7420106
2025-05-22,8.72,9.0,8.72,8.82,4306684
2025-05-25,8.82,9.02,8.77,8.78,5951171
2025-05-26,8.78,8.86,8.36,8.52,3254998
2025-05-27,8.52,8.71,8.44,8.5,2933404
2025-05-28,8.5,8.6,8.25,8.25,2762268
2025-05-29,8.25,8.35,8.11,8.16,1113456
2025-06-01,8.16,8.34,8.0,8.02,2476881
2025-06-02,8.02,8.14,7.88,8.08,1813978
2025-06-03,8.08,8.33,8.08,8.11,1558593
2025-06-04,8.11,8.25,8.05,8.09,721847
2025-06-10,8.09,8.2,7.99,8.02,1662650
2025-06-11,8.02,8.7,8.07,8.55,8323456
2025-06-12,8.55,9.01,8.55,8.78,20856625
2025-06-15,8.78,8.4,7.99,8.2,13888623
2025-06-16,8.2,8.59,8.23,8.4,3203387
2025-06-17,8.4,8.71,8.11,8.15,5043591
2025-06-18,8.15,8.39,8.07,8.3,1967607
2025-06-19,8.3,8.38,7.83,7.9,1885168
2025-06-22,7.9,8.18,7.23,8.12,1913872
2025-06-23,8.12,8.46,7.93,8.32,3359797
2025-06-24,8.32,8.65,8.41,8.46,3795247
2025-06-25,8.46,8.6,8.41,8.47,2333549
2025-06-29,8.47,8.55,8.25,8.48,4320744
2025-06-30,8.48,8.8,8.48,8.53,4970871
2025-07-01,8.53,8.89,8.48,8.68,5219516
2025-07-02,8.68,8.87,8.51,8.55,4763012
2025-07-06,8.55,8.73,8.52,8.61,2168934
2025-07-07,8.61,8.67,8.38,8.4,1463024
2025-07-09,8.4,8.53,7.31,8.4,682348
2025-07-10,8.4,8.6,8.4,8.45,1132599
2025-07-13,8.45,8.59,8.38,8.4,1467308
2025-07-14,8.4,8.5,8.22,8.38,855166
2025-07-15,8.38,8.46,8.21,8.3,2267846
2025-07-16,8.3,8.35,8.15,8.29,988863
2025-07-17,8.29,8.5,8.27,8.28,2510190
2025-07-20,8.28,8.4,8.26,8.27,447598
2025-07-21,8.27,8.35,8.09,8.23,1425995
2025-07-22,8.23,8.29,8.13,8.13,638137
2025-07-23,8.13,8.13,8.13,8.13,0
2025-07-27,8.17,8.23,8.04,8.1,317380
2025-07-28,8.1,8.1,8.0,8.0,577526
2025-07-29,8.0,8.0,7.81,7.85,431346
2025-07-30,7.85,7.98,7.8,7.9,5601373
2025-07-31,7.9,8.19,7.94,7.97,5564437
2025-08-03,7.97,7.97,7.97,7.97,0
