date,open,high,low,close,volume
2025-03-10,5.9334,6.0716,5.963,6.0321,934069
2025-03-11,6.0321,6.0223,5.963,6.0124,670403
2025-03-12,6.0124,6.0223,5.9729,5.9828,296420
2025-03-13,5.9828,6.0618,5.9729,5.9828,465201
2025-03-16,5.9828,6.0321,5.9532,6.0025,630771
2025-03-17,6.0025,6.3481,6.0321,6.1506,4605120
2025-03-18,6.1506,6.2789,6.1407,6.1802,2814873
2025-03-19,6.1802,6.6047,6.2592,6.3974,7893071
2025-03-20,6.3974,6.5159,6.2888,6.3184,2832506
2025-03-23,6.3184,6.4468,6.3283,6.4172,1842702
2025-03-24,6.4172,6.6541,6.427,6.4468,4035355
2025-03-25,6.4468,6.5159,6.2888,6.3184,1893053
2025-03-26,6.3184,6.3875,6.2395,6.2888,1035853
2025-03-27,6.2888,6.3481,6.2789,6.2987,689543
2025-04-03,6.2987,6.3678,6.2395,6.2888,1054393
2025-04-06,6.2888,6.1407,5.9828,6.0321,1878830
2025-04-07,6.0321,6.0519,5.9137,6.0519,925600
2025-04-08,6.0519,6.8713,6.0716,6.7528,20219457
2025-04-09,6.7528,6.7133,6.1704,6.1704,6339272
2025-04-10,6.1703,6.5949,6.3184,6.3184,2990251
2025-04-13,6.3184,6.506,6.3283,6.4961,1649317
2025-04-14,6.4961,6.6344,6.4073,6.4073,3962826
2025-04-15,6.4073,6.5356,6.3678,6.3875,1869332
2025-04-16,6.3875,6.4764,6.3382,6.3579,982733
2025-04-17,6.3579,6.5159,6.3678,6.4567,1820468
2025-04-22,6.4567,6.7035,6.4764,6.6541,5248694
2025-04-23,6.6541,6.7726,6.6146,6.6936,2562814
2025-04-27,6.6936,6.7627,6.6146,6.6442,2548222
2025-04-28,6.6442,6.6739,6.5751,6.5949,1005478
2025-04-29,6.5949,6.664,6.5356,6.5356,746307
2025-04-30,6.5356,6.6146,6.5159,6.5356,774037
2025-05-04,6.5356,7.0984,6.5751,7.0293,10366183
2025-05-05,7.0293,7.0589,6.8614,6.9503,4020933
2025-05-06,6.9503,7.1181,6.9108,6.9503,4405665
2025-05-07,6.9503,7.2958,6.9799,7.0293,9101966
2025-05-08,7.0293,7.1675,6.9207,7.0095,2698751
2025-05-11,7.0095,7.1477,6.97,6.9996,2022067
2025-05-12,6.9996,7.1576,6.8812,7.0095,1862899
2025-05-13,7.0095,7.049,6.8318,6.8713,1871938
2025-05-14,6.8713,6.97,6.7923,6.8219,1006606
2025-05-15,6.8219,7.0589,6.8121,7.0194,4167900
2025-05-18,7.0194,7.2563,7.0293,7.2563,5577187
2025-05-19,7.2563,7.3057,7.1576,7.2859,4963228
2025-05-20,7.2859,7.3551,7.1675,7.1675,4140441
2025-05-21,7.1675,7.2366,7.1181,7.128,1652241
2025-05-22,7.128,7.1774,7.0786,7.1181,1042974
2025-05-25,7.1181,7.4637,7.1082,7.4242,6833990
2025-05-26,7.4242,7.5525,7.3748,7.3748,5409015
2025-05-27,7.3748,7.5525,7.3551,7.5525,3316906
2025-05-28,7.5525,7.6414,7.4834,7.5624,3953675
2025-05-29,7.5624,7.6216,7.3945,7.5031,2319601
2025-06-01,7.5031,7.7302,7.4834,7.6512,4692732
2025-06-02,7.6512,7.7006,7.5723,7.6019,2712241
2025-06-03,7.6019,8.1942,7.6216,8.1449,6936693
2025-06-04,8.1449,8.2535,7.8783,8.0461,5229270
2025-06-10,8.0461,8.1844,8.0165,8.056,3491347
2025-06-11,8.056,8.135,7.7598,7.8191,2972723
2025-06-12,7.8191,7.8092,7.4735,7.5031,2785700
2025-06-15,7.5031,6.9996,6.4764,6.9503,1209431
2025-06-16,6.9503,7.2267,6.8713,6.9503,2462254
2025-06-17,6.9503,7.0391,6.664,6.664,1491289
2025-06-18,6.664,6.8516,6.5751,6.7528,1588853
2025-06-19,6.7528,6.8318,6.506,6.5949,1141605
2025-06-22,6.5949,6.7331,6.4665,6.7133,1194465
2025-06-23,6.7133,6.9996,6.7824,6.9898,1744256
2025-06-24,4.6598,4.8376,4.673,4.7915,8052061
2025-06-25,4.7915,4.877,4.752,4.8573,4733503
2025-06-29,7.2859,7.5328,7.3254,7.4143,4196304
2025-06-30,7.4143,7.6019,7.3254,7.3748,5819832
2025-07-01,7.3748,7.4735,7.2563,7.2859,2471626
2025-07-02,7.3356,7.435,7.2661,7.3555,2264940
2025-07-06,7.3555,7.9519,7.6239,7.6637,10600681
2025-07-07,7.6637,7.7531,7.4947,7.5543,2173579
2025-07-09,7.5543,7.7034,7.5444,7.5643,1743274
2025-07-10,7.5643,7.6438,7.5146,7.5643,1572322
2025-07-13,7.5643,7.6637,7.4748,7.604,1497993
2025-07-14,7.604,7.6637,7.5344,7.6537,2332114
2025-07-15,7.6537,7.7233,7.614,7.6239,3723290
2025-07-16,7.6239,7.6736,7.5146,7.5146,2284085
2025-07-17,7.5146,7.8525,7.5643,7.773,9282433
2025-07-20,7.773,7.932,7.8028,7.8028,7378127
2025-07-21,7.8028,7.8525,7.6438,7.6637,3662546
2025-07-22,7.6637,7.6835,7.4649,7.5046,1600828
2025-07-23,7.5046,7.5046,7.5046,7.5046,0
2025-07-27,7.3953,7.5046,7.3754,7.3754,1275370
2025-07-28,7.3754,7.445,6.9579,7.1567,2163379
2025-07-29,7.1567,7.2064,7.0076,7.1567,1529680
2025-07-30,7.1567,7.2959,6.9579,6.9579,1500455
2025-07-31,6.9579,7.1766,6.9679,7.0872,1645613
2025-08-03,7.0872,7.0872,7.0872,7.0872,0
2025-08-04,7.0872,7.0872,7.0872,7.0872,0
2025-08-05,7.0872,7.0872,7.0872,7.0872,0
2025-08-06,7.0872,7.0872,7.0872,7.0872,0
2025-08-07,7.0872,7.0872,7.0872,7.0872,0
2025-08-10,7.6637,7.7432,7.5543,7.5941,2057153
2025-08-11,7.5941,7.6438,7.3853,7.4052,3721459
2025-08-12,7.4052,7.4549,7.3257,7.4251,3136707
2025-08-13,7.4251,7.5046,7.2561,7.3158,1811065
2025-08-14,7.3158,7.3754,7.2164,7.276,1123902
2025-08-17,7.276,7.3555,7.2263,7.2859,1195863
2025-08-18,7.2859,7.3754,7.2561,7.276,1593891
2025-08-19,7.276,7.3158,7.2362,7.2859,1658988
2025-08-20,7.2859,7.3555,7.2263,7.2561,1269840
2025-08-21,7.2561,7.3158,7.2064,7.2263,1065527
2025-08-24,7.2263,7.3158,7.2561,7.2661,981132
2025-08-25,7.2661,7.6239,7.3158,7.4748,5384812
2025-08-26,7.4748,7.5344,7.3754,7.4251,1667896
2025-08-27,7.4251,7.7531,7.4152,7.6637,7736045
2025-08-28,7.6637,7.7829,7.5543,7.6239,2739035
2025-08-31,7.6239,7.7134,7.3655,7.3853,2137525
2025-09-01,7.3853,7.7034,7.3555,7.7034,3535107
2025-09-02,7.7034,7.9221,7.7332,7.9022,5554830
2025-09-03,7.9022,8.1706,7.9221,7.9519,8472669
2025-09-07,7.9519,8.1209,7.7531,7.7829,4065416
2025-09-08,7.7829,7.932,7.7531,7.7929,2122472
