date,open,high,low,close,volume
2025-03-10,8.39,8.5,8.35,8.42,4621314
2025-03-11,8.42,8.48,8.35,8.46,3567384
2025-03-12,8.46,8.66,8.46,8.62,12539465
2025-03-13,8.62,8.99,8.64,8.9,14915600
2025-03-16,8.9,9.29,8.85,9.14,10900267
2025-03-17,9.14,9.37,9.0,9.26,6792636
2025-03-18,9.26,9.4,9.25,9.38,3005939
2025-03-19,9.38,9.47,9.09,9.25,3734966
2025-03-20,9.25,9.32,9.09,9.09,18527388
2025-03-23,9.09,9.35,9.11,9.3,1976524
2025-03-24,9.3,9.35,9.16,9.25,1157210
2025-03-25,9.25,9.33,9.2,9.2,1478925
2025-03-26,9.2,9.35,9.17,9.35,1407257
2025-03-27,9.35,9.66,9.36,9.6,4524433
2025-04-03,9.6,9.8,9.55,9.8,3734985
2025-04-06,9.8,9.58,9.01,9.07,7216966
2025-04-07,9.07,9.07,8.65,8.81,10478972
2025-04-08,8.81,9.13,8.92,9.08,5753960
2025-04-09,9.08,9.27,8.85,8.9,5591648
2025-04-10,8.9,9.34,9.02,9.19,7187464
2025-04-13,9.19,9.34,9.19,9.32,1731572
2025-04-14,9.32,9.63,9.33,9.6,5762841
2025-04-15,9.6,9.77,9.47,9.77,3750577
2025-04-16,9.77,9.76,9.64,9.7,3422831
2025-04-17,9.7,9.69,9.43,9.5,1878017
2025-04-22,9.5,9.65,9.43,9.58,2280653
2025-04-23,9.58,10.25,9.6,10.2,9813429
2025-04-27,10.2,10.39,10.1,10.2,4766511
2025-04-28,10.2,10.48,10.06,10.35,4995370
2025-04-29,10.35,10.89,10.36,10.66,12958073
2025-04-30,10.66,10.8,10.5,10.66,5507526
2025-05-04,10.66,10.91,10.61,10.66,1479313
2025-05-05,10.66,10.75,10.47,10.6,1493344
2025-05-06,10.6,10.8,10.5,10.71,5317104
2025-05-07,10.71,11.07,9.82,10.23,7430154
2025-05-08,10.23,10.44,10.07,10.22,3148848
2025-05-11,10.22,10.44,9.8,9.8,4465427
2025-05-12,9.8,10.1,9.82,9.9,3282149
2025-05-13,9.9,10.05,9.68,9.7,6982353
2025-05-14,9.7,10.0,9.7,9.92,2073739
2025-05-15,9.92,10.15,9.93,10.14,5272702
2025-05-18,10.14,10.23,9.9,9.95,2312159
2025-05-19,9.95,10.0,9.9,9.9,6012553
2025-05-20,9.9,10.69,9.9,10.67,19235980
2025-05-21,10.67,11.2,10.51,11.2,10992870
2025-05-22,11.2,11.66,10.92,11.5,5984402
2025-05-25,11.5,11.76,11.37,11.65,9277130
2025-05-26,11.65,11.66,11.0,11.21,5606719
2025-05-27,11.21,11.7,11.12,11.31,6537777
2025-05-28,11.31,11.95,11.5,11.54,16677000
2025-05-29,11.54,11.63,11.2,11.41,7721710
2025-06-01,11.41,11.56,11.26,11.4,5296936
2025-06-02,11.4,11.44,11.08,11.19,10796138
2025-06-03,11.19,11.28,10.85,10.93,10364916
2025-06-04,10.93,11.19,10.9,11.06,3349775
2025-06-10,11.06,11.58,11.03,11.45,7888239
2025-06-11,11.45,11.6,11.16,11.2,2974185
2025-06-12,11.2,11.39,11.0,11.1,7909616
2025-06-15,11.1,11.2,10.02,11.0,12981026
2025-06-16,11.0,11.2,10.7,10.9,5433196
2025-06-17,10.9,10.95,10.55,10.62,8786148
2025-06-18,10.62,11.2,10.25,11.06,6714396
2025-06-19,11.06,11.4,10.7,11.06,30894460
2025-06-22,11.06,11.79,10.93,11.71,9377232
2025-06-23,11.71,12.01,11.36,12.01,13186253
2025-06-24,12.01,12.53,11.9,12.35,16146041
2025-06-25,12.35,12.65,12.15,12.65,6593882
2025-06-29,12.65,12.77,12.21,12.47,6325307
2025-06-30,12.47,12.5,12.05,12.05,13062241
2025-07-01,12.05,12.17,11.87,12.05,4496811
2025-07-02,12.05,12.32,12.06,12.2,3011559
2025-07-06,12.2,12.6,12.2,12.56,8310697
2025-07-07,12.56,12.97,12.4,12.86,10606162
2025-07-09,12.86,13.7,12.55,13.01,8671550
2025-07-10,13.01,13.27,12.86,13.02,6344969
2025-07-13,13.02,13.6,12.96,13.25,7968348
2025-07-14,13.25,13.64,12.93,13.13,10766314
2025-07-15,13.13,13.26,12.65,12.65,7280383
2025-07-16,12.65,12.84,12.21,12.29,6107260
2025-07-17,12.29,13.06,12.3,12.45,7322972
2025-07-20,12.45,12.79,12.56,12.69,4405707
2025-07-21,12.69,13.0,12.53,12.53,4784446
2025-07-22,12.53,12.68,12.41,12.5,2517182
2025-07-23,12.5,12.5,12.5,12.5,0
2025-07-27,12.39,13.1,12.39,13.01,8777250
2025-07-28,13.01,13.29,12.7,13.05,5293741
2025-07-29,13.05,13.05,12.73,13.04,3501102
2025-07-30,13.04,13.29,12.3,12.5,7769343
2025-07-31,12.5,12.85,12.6,12.85,1540267
2025-08-03,12.85,12.85,12.85,12.85,0
2025-08-04,12.85,12.85,12.85,12.85,0
2025-08-05,12.85,12.85,12.85,12.85,0
2025-08-06,12.85,12.85,12.85,12.85,0
2025-08-07,12.85,12.85,12.85,12.85,0
2025-08-10,13.02,13.5,13.02,13.34,5450015
2025-08-11,13.34,13.55,13.35,13.38,3832341
2025-08-12,13.38,13.47,13.17,13.4,6706361
2025-08-13,13.4,13.45,13.03,13.13,4382502
2025-08-14,13.13,13.3,12.97,13.2,4667983
2025-08-17,13.2,13.33,13.01,13.29,1564151
2025-08-18,13.29,13.5,13.14,13.49,2539987
2025-08-19,13.49,13.85,13.1,13.78,6536057
2025-08-20,13.78,13.85,13.5,13.66,5924204
2025-08-21,13.66,13.73,13.35,13.59,2309707
2025-08-24,13.59,13.79,13.5,13.72,2106503
2025-08-25,13.72,13.82,13.65,13.72,1046602
2025-08-26,13.72,13.8,13.25,13.4,2644599
2025-08-27,13.4,13.49,13.15,13.49,1292240
2025-08-28,13.49,13.8,13.32,13.8,2073736
2025-08-31,13.8,13.85,13.3,13.32,3132249
2025-09-01,13.32,13.5,13.23,13.3,2620846
2025-09-02,13.3,13.49,13.3,13.32,1438439
2025-09-03,13.32,13.4,13.0,13.05,4493316
