date,open,high,low,close,volume
2025-03-10,16.7713,16.8402,16.6236,16.7516,341241
2025-03-11,16.7516,16.8304,16.5448,16.7418,473589
2025-03-12,16.7418,18.8985,16.7418,18.219,3965569
2025-03-13,18.219,18.8985,17.9728,18.219,1214271
2025-03-16,18.219,18.6621,18.1303,18.1894,63859
2025-03-17,18.1894,18.5144,17.825,18.1205,239822
2025-03-18,18.1205,18.3667,17.4804,18.0811,1197048
2025-03-19,18.0811,18.219,17.7069,17.7561,1130545
2025-03-20,17.7561,19.2038,17.7069,19.2038,1034864
2025-03-23,19.2038,19.4401,18.3174,18.4159,540002
2025-03-24,18.4159,18.6129,17.8349,18.347,565098
2025-03-25,18.347,18.5932,17.9826,18.4947,866895
2025-03-26,18.4947,20.878,18.2288,19.2038,5773055
2025-03-27,19.2038,20.0803,19.2038,19.9424,2789408
2025-04-03,19.9424,21.4196,19.9424,21.2916,1288726
2025-04-06,21.2916,22.0597,19.4992,20.5825,2410817
2025-04-07,20.5825,21.1734,19.8144,20.6908,3601070
2025-04-08,20.6908,21.4196,20.7007,20.8386,1143586
2025-04-09,20.8386,21.656,20.2871,20.3166,2565697
2025-04-10,20.3166,21.6461,20.8878,21.1734,1889274
2025-04-13,21.1734,21.4294,20.7007,20.7499,2023582
2025-04-14,20.7499,22.8968,20.8287,22.5226,3140754
2025-04-15,22.5226,22.6998,22.109,22.6506,888876
2025-04-16,22.6506,22.8968,21.9612,22.0105,531702
2025-04-17,22.0105,22.8476,21.6658,22.6408,1209274
2025-04-22,22.6408,23.3892,22.2764,22.3453,2270048
2025-04-23,22.3453,22.6605,22.3552,22.4143,786885
2025-04-27,22.4143,23.143,22.4536,22.69,627633
2025-04-28,23.04,23.2,22.45,22.86,607013
2025-04-29,22.86,23.0,22.35,22.49,1121271
2025-04-30,22.49,22.67,22.3,22.36,243096
2025-05-04,22.36,22.7,22.3,22.65,222436
2025-05-05,22.65,22.94,22.09,22.26,283824
2025-05-06,22.26,22.6,21.91,21.96,406781
2025-05-07,21.96,22.0,21.58,21.6,1494350
2025-05-08,21.6,21.79,21.03,21.5,598865
2025-05-11,21.5,21.7,21.0,21.01,270184
2025-05-12,21.01,21.59,21.01,21.22,266607
2025-05-13,21.22,21.6,21.22,21.56,104701
2025-05-14,21.56,21.8,21.5,21.73,677083
2025-05-15,21.73,21.85,20.92,20.99,921719
2025-05-18,20.99,21.35,20.51,20.53,385822
2025-05-19,20.53,20.8,20.26,20.31,173401
2025-05-20,20.31,21.3,20.34,21.26,190977
2025-05-21,21.26,22.0,21.0,21.85,631318
2025-05-22,21.85,22.2,21.13,21.4,465585
2025-05-25,21.4,21.86,21.0,21.0,588819
2025-05-26,21.0,21.85,21.01,21.6,974078
2025-05-27,21.6,23.1,21.68,22.96,5014691
2025-05-28,22.96,23.19,22.4,22.5,1535073
2025-05-29,22.5,22.67,22.26,22.45,317441
2025-06-01,22.45,24.0,22.46,23.71,2639295
2025-06-02,23.71,24.09,22.81,23.02,1056609
2025-06-03,23.02,23.02,22.25,22.37,1387583
2025-06-04,22.37,24.0,22.5,24.0,546747
2025-06-10,24.0,23.95,23.0,23.54,299259
2025-06-11,23.54,24.49,23.2,24.49,307449
2025-06-12,24.49,24.09,23.12,24.09,636289
2025-06-15,24.09,23.14,21.6,21.82,1094927
2025-06-16,21.82,22.7,20.75,22.0,2947227
2025-06-17,22.0,21.86,21.0,21.86,798728
2025-06-18,21.86,21.93,20.83,21.88,733922
2025-06-19,21.88,21.99,21.02,21.8,666960
2025-06-22,21.8,22.89,20.83,22.64,1693349
2025-06-23,22.64,23.7,22.11,22.5,979693
2025-06-24,22.5,23.5,22.7,22.8,939788
2025-06-25,22.8,23.69,22.55,23.69,666168
2025-06-29,23.69,23.6,22.94,23.49,3329482
2025-06-30,23.49,23.5,22.9,22.9,1128511
2025-07-01,22.9,23.13,21.55,21.55,994984
2025-07-02,21.55,22.18,21.57,21.9,961921
2025-07-06,21.9,22.29,21.95,22.2,727342
2025-07-07,22.2,22.31,21.93,21.94,378052
2025-07-09,21.94,23.17,21.88,23.0,3395174
2025-07-10,23.0,23.97,23.0,23.56,2738088
2025-07-13,23.56,24.5,23.55,23.75,3278031
2025-07-14,23.75,23.98,23.11,23.5,797696
2025-07-15,23.5,24.25,23.3,24.0,1195938
2025-07-16,24.0,24.25,23.8,24.13,2599984
2025-07-17,24.13,25.0,24.0,24.81,2731336
2025-07-20,24.81,25.24,24.6,24.88,1074770
2025-07-21,24.88,25.0,24.0,24.01,1935806
2025-07-22,24.01,24.28,23.36,23.41,1705800
2025-07-23,23.41,23.41,23.41,23.41,0
2025-07-27,23.43,23.8,23.26,23.6,544949
2025-07-28,23.6,24.3,23.61,24.1,2301402
2025-07-29,24.1,25.17,23.83,24.5,1788569
2025-07-30,24.5,24.7,24.0,24.3,931439
2025-07-31,24.3,25.49,24.18,25.49,2297794
2025-08-03,25.49,25.49,25.49,25.49,0
2025-08-04,25.49,25.49,25.49,25.49,0
2025-08-05,25.49,25.49,25.49,25.49,0
2025-08-06,25.49,25.49,25.49,25.49,0
2025-08-07,25.49,25.49,25.49,25.49,0
2025-08-10,24.5,24.9,24.41,24.5,358175
2025-08-11,24.5,25.2,24.3,24.8,1679136
2025-08-12,24.8,25.0,24.51,24.9,1032228
2025-08-13,24.9,25.44,24.36,24.51,1265829
2025-08-14,24.51,25.15,24.31,24.98,734213
2025-08-17,24.98,25.35,24.62,25.3,1352088
2025-08-18,25.3,26.97,25.4,26.51,3242203
2025-08-19,26.51,26.8,25.86,26.47,1201074
2025-08-20,26.47,26.5,25.15,25.79,1278348
2025-08-21,25.79,26.09,25.25,26.09,584343
2025-08-24,26.09,26.45,25.6,26.0,1121027
2025-08-25,26.0,26.0,25.5,25.8,246741
2025-08-26,25.8,25.9,25.2,25.59,946623
2025-08-27,25.59,25.5,24.8,25.17,1149371
2025-08-28,25.17,25.51,24.9,25.5,445915
2025-08-31,25.5,25.7,24.9,24.97,484037
2025-09-01,24.97,25.2,24.4,24.99,603116
2025-09-02,24.99,25.1,24.6,24.94,505420
2025-09-03,24.94,24.95,23.88,24.17,1093849
2025-09-07,24.17,24.48,23.25,23.6,764902
2025-09-08,23.6,24.05,23.26,23.26,460273
2025-09-09,23.26,23.5,23.25,23.5,390351
2025-09-10,23.5,23.68,23.33,23.46,362077
2025-09-11,23.46,24.0,23.41,23.78,736639
2025-09-14,23.78,23.87,23.5,23.6,939522
2025-09-15,23.6,23.77,19.1,22.27,1068330
2025-09-16,22.27,22.77,21.3,22.0,1007718
2025-09-17,22.0,22.1,21.6,22.0,1161891
2025-09-18,22.0,22.3,21.03,22.0,1617586
2025-09-21,22.0,22.13,21.3,21.6,893372
2025-09-22,21.6,21.86,21.42,21.83,329253
2025-09-23,21.83,21.83,21.3,21.45,1498299
2025-09-24,21.45,21.58,21.25,21.5,380047
2025-09-25,21.5,21.85,21.36,21.85,1061960
2025-09-28,21.85,22.17,21.61,22.15,570465
2025-09-29,22.15,22.7,21.85,22.7,892166
2025-09-30,22.7,22.73,22.38,22.4,1023252
2025-10-01,22.4,23.0,21.92,22.86,1302364
2025-10-02,22.86,23.0,22.5,22.5,237754
2025-10-05,22.5,23.46,22.51,23.0,916442
2025-10-06,23.0,23.2,22.7,22.7,502257
2025-10-07,22.7,22.9,22.52,22.61,450352
2025-10-08,22.61,22.79,22.51,22.79,840397
2025-10-12,22.79,23.46,22.7,23.46,577568
2025-10-13,23.46,23.5,22.92,22.95,1252554
2025-10-14,22.95,23.25,22.9,22.91,620446
2025-10-15,22.91,23.0,22.6,23.0,988460
2025-10-16,23.0,23.3,22.8,23.19,6790813
2025-10-19,23.19,23.94,23.2,23.9,2506971
2025-10-20,23.9,24.61,23.9,24.5,10247735
2025-10-21,24.5,24.6,24.1,24.47,1898132
2025-10-22,24.47,25.0,24.18,24.8,2201133
2025-10-23,24.8,25.18,24.5,25.17,14515106
2025-10-26,25.17,25.5,24.96,25.34,1434780
2025-10-27,25.34,25.33,24.63,24.93,479422
2025-10-28,24.93,24.92,24.04,24.43,2041893
2025-10-29,24.43,24.62,24.24,24.51,2534830
2025-10-30,24.51,24.85,24.5,24.59,845109
2025-11-02,24.59,24.9,24.4,24.82,544542
2025-11-03,24.82,25.5,24.57,25.03,5365122
2025-11-04,25.03,25.71,25.03,25.69,865283
2025-11-05,25.69,25.95,24.5,25.91,1506986
2025-11-06,25.91,26.15,25.3,26.0,2602232
2025-11-09,26.0,28.0,26.07,27.47,4671045
2025-11-10,27.47,27.94,26.51,27.14,3621823
2025-11-11,27.14,27.9,26.8,27.31,2178683
2025-11-12,27.31,27.97,27.16,27.31,1328444
2025-11-13,27.31,28.05,27.33,27.75,1905664
2025-11-16,27.75,28.5,27.75,28.09,3220644
2025-11-17,28.09,28.48,27.43,27.82,789195
2025-11-18,27.82,27.98,26.5,26.69,1584601
2025-11-19,26.69,26.99,26.14,26.56,1388948
2025-11-20,26.56,27.25,26.25,26.5,891348
2025-11-23,26.5,27.39,26.4,26.83,758070
2025-11-24,26.83,26.99,26.46,26.85,974811
2025-11-25,26.85,27.0,26.48,26.6,922998
2025-11-26,26.6,26.85,25.8,26.19,1149687
2025-11-27,26.19,26.8,25.5,26.14,626662
2025-11-30,26.14,26.75,25.94,26.01,196056
2025-12-01,26.01,26.45,25.51,25.6,982094
2025-12-02,25.6,25.95,25.32,25.33,786911
2025-12-03,25.33,25.48,24.91,25.0,1458626
2025-12-04,25.0,26.27,24.68,26.26,669139
2025-12-07,26.26,26.26,25.53,25.99,1212920
2025-12-08,25.99,26.47,26.0,26.05,554707
2025-12-09,26.05,26.28,25.78,26.0,1114192
2025-12-10,26.0,26.2,25.79,25.89,386569
2025-12-11,25.89,26.4,25.8,26.3,1257660
2025-12-14,26.3,27.05,26.18,26.49,1858724
2025-12-15,26.49,27.66,26.4,27.64,3052551
2025-12-16,27.64,27.79,27.0,27.4,2643988
2025-12-17,27.4,27.49,26.8,26.95,183150
2025-12-18,26.95,27.1,26.0,26.99,344230
2025-12-21,26.99,27.0,26.25,26.92,851838
2025-12-22,26.92,27.3,26.5,26.51,866816
2025-12-23,26.51,27.0,26.1,27.0,894446
2025-12-24,27.0,27.55,26.7,26.8,2115854
2025-12-25,26.8,27.14,26.91,26.99,812049
2025-12-28,26.99,27.39,26.5,27.2,621031
2025-12-29,27.2,27.25,26.7,27.0,879365
2025-12-30,27.0,27.15,26.4,26.49,1217572
2025-12-31,26.49,27.0,26.32,27.0,2165111
2026-01-04,27.0,27.15,25.72,26.0,1435246
2026-01-05,26.0,26.3,25.34,25.83,1476426
2026-01-06,25.83,26.75,25.75,26.6,1243001
2026-01-08,26.6,26.8,26.1,26.2,920795
2026-01-11,26.2,26.55,25.9,26.07,995318
2026-01-12,26.07,27.88,26.11,27.11,4487516
2026-01-13,27.11,29.25,27.2,28.0,6558973
2026-01-14,28.0,28.25,26.83,27.32,1480427
2026-01-15,27.32,27.49,25.7,26.0,2316314
2026-01-18,26.0,26.95,26.1,26.89,623960
2026-01-19,26.89,28.2,26.66,28.0,3722998
2026-01-20,28.0,30.44,28.0,29.31,8197306
2026-01-21,29.31,30.25,28.6,28.91,4106463
2026-01-22,28.91,30.25,28.5,29.36,6286801
2026-01-25,29.36,30.18,29.5,30.0,2283754
2026-01-26,30.0,31.8,30.0,31.6,9393486
2026-01-27,31.6,31.9,30.89,31.4,1871728
2026-01-28,31.4,31.75,30.6,31.03,3058735
2026-02-01,31.03,31.38,30.12,30.4,1449848
2026-02-02,30.4,31.0,29.8,31.0,2055216
2026-02-03,31.0,33.4,31.0,31.79,4245961
2026-02-04,31.79,32.5,31.11,31.5,1321027
2026-02-05,31.5,31.9,30.1,30.76,2125602
2026-02-08,30.76,31.05,29.37,29.7,3107374
2026-02-09,29.7,31.2,29.8,31.14,6513097
2026-02-10,31.14,31.58,30.2,31.4,5572750
2026-02-11,31.4,31.45,30.52,30.6,1776054
2026-02-12,30.6,31.2,30.01,30.42,2225281
2026-02-15,30.42,31.13,30.32,30.72,3306416
2026-02-16,30.72,31.3,30.2,30.5,1941959
2026-02-17,30.5,30.85,30.4,30.66,358539
2026-02-18,30.66,31.6,30.45,31.03,6026232
2026-02-19,31.03,31.61,30.2,30.57,2930146
2026-02-22,30.57,30.93,28.63,29.15,3610917
2026-02-23,29.15,30.3,29.2,30.2,2296633
2026-02-24,30.2,30.35,29.56,30.01,638275
2026-02-25,30.01,30.0,28.7,28.92,950630
2026-02-26,28.92,29.28,28.55,28.55,970288
2026-03-01,28.55,28.27,26.1,27.8,2593355
2026-03-02,27.8,28.2,27.52,28.17,876978
2026-03-03,28.17,28.17,27.25,27.82,1178114
2026-03-04,27.82,27.98,25.99,26.84,3620924
2026-03-05,26.84,27.85,26.85,27.0,3425889
2026-03-08,27.0,27.24,25.51,25.69,4069567
2026-03-09,25.69,25.83,23.95,24.64,11468145
2026-03-10,24.64,25.9,24.82,25.9,12562103
2026-03-11,25.9,26.46,25.61,25.99,2213935
2026-03-12,25.99,26.0,24.81,25.26,5046989
2026-03-15,25.26,25.38,24.55,24.6,2931443
2026-03-16,24.6,24.79,23.92,24.05,3027185
2026-03-17,24.05,24.5,24.01,24.42,5705160
2026-03-18,24.42,25.14,24.38,24.92,5375414
2026-03-19,24.92,24.92,24.92,24.92,0
2026-03-24,24.92,25.87,24.65,24.81,3517021
2026-03-25,24.81,24.99,24.42,24.76,4411752
2026-03-26,24.76,24.84,24.56,24.8,1275772
2026-03-29,24.8,24.79,24.1,24.24,2073430
2026-03-30,24.24,24.87,24.03,24.45,3511857
2026-03-31,24.45,24.55,24.1,24.1,2005631
2026-04-01,24.1,25.09,24.15,25.0,4933426
2026-04-02,25.0,25.0,24.56,24.6,3411396
2026-04-05,24.6,24.84,24.3,24.55,1829848
2026-04-06,24.55,24.93,24.5,24.51,2315045
2026-04-07,24.51,24.68,24.31,24.33,1547158
2026-04-08,24.33,26.19,24.91,26.05,8436884
2026-04-09,26.05,26.05,25.52,25.65,4052768
2026-04-14,25.65,26.5,25.25,26.16,2921327
2026-04-15,26.16,27.25,26.2,26.99,5398935
2026-04-16,26.99,28.73,26.75,27.7,6970284
2026-04-19,27.7,28.7,27.4,27.85,3486809
2026-04-20,27.85,27.8,27.01,27.22,1544091
2026-04-21,27.22,28.08,27.01,27.8,3406534
2026-04-22,27.8,27.99,27.02,27.25,3186020
2026-04-23,27.25,28.55,27.27,27.8,8231002
2026-04-26,27.8,28.1,26.85,27.1,3730005
2026-04-27,27.1,27.19,26.75,27.05,1887567
2026-04-28,27.05,27.2,26.4,26.42,2342639
2026-04-29,26.42,27.0,26.12,26.99,1824063
2026-04-30,26.99,27.04,26.45,26.45,1380688
2026-05-03,26.45,26.8,26.45,26.6,2251528
2026-05-04,26.6,27.41,26.26,26.88,4978536
2026-05-05,26.88,26.88,26.3,26.6,1324593
2026-05-06,26.6,27.65,26.7,27.59,3478081
2026-05-10,27.59,28.7,27.6,28.5,10906280
2026-05-11,28.5,28.85,28.11,28.7,4600715
2026-05-12,28.7,29.3,28.64,29.3,5127339
2026-05-13,29.3,29.5,28.75,28.8,5876252
2026-05-14,28.8,29.19,28.23,29.19,3127901
2026-05-17,29.19,29.17,27.42,27.5,6201590
2026-05-18,27.5,27.79,25.8,26.5,6870138
2026-05-19,26.5,26.71,26.06,26.15,5758846
2026-05-20,26.15,26.33,25.25,25.5,3932759
2026-05-21,25.5,26.18,25.3,25.52,3030301
2026-05-24,25.52,26.14,25.6,25.88,2938852
2026-05-25,25.88,26.6,25.9,26.6,3795390
2026-06-01,26.6,26.99,26.45,26.69,2079902
2026-06-02,26.69,26.75,26.25,26.33,2268097
2026-06-03,26.33,26.44,25.9,25.98,4554373
2026-06-04,25.98,26.41,25.91,26.33,2352085
2026-06-07,26.33,26.29,25.61,25.7,2261734
2026-06-08,25.7,26.61,25.25,26.5,3356466
2026-06-09,26.5,28.13,27.13,27.9,8790983
2026-06-10,27.9,28.49,27.5,27.69,6485596
2026-06-11,27.69,27.99,26.62,27.99,3240034
