date,open,high,low,close,volume
2025-03-10,48.4199,49.0305,48.3014,48.6568,36424
2025-03-11,48.6568,48.9029,48.3105,48.8209,52379
2025-03-12,48.8209,49.8507,48.9302,49.7778,52031
2025-03-13,49.7778,50.7438,49.6593,50.6071,73237
2025-03-16,50.6071,52.0471,50.2517,51.0355,169362
2025-03-17,51.0355,51.5823,51.0355,51.1175,29390
2025-03-18,51.1175,51.4456,50.6983,51.0446,298660
2025-03-19,51.0446,51.4911,50.8623,50.9717,20930
2025-03-20,50.9717,51.4182,50.3064,51.0628,9620
2025-03-23,51.0628,51.0628,50.4887,51.0355,63555
2025-03-24,51.0355,52.8582,50.2335,50.4157,32145
2025-03-25,50.4157,51.0355,50.2152,50.4704,18935
2025-03-26,50.4704,51.9559,50.2699,50.3246,32278
2025-03-27,50.3246,51.9104,50.279,51.4091,30835
2025-04-03,51.4091,52.7579,51.0628,52.6668,59014
2025-04-06,52.6668,51.4365,50.279,50.8076,83013
2025-04-07,50.8076,50.8076,49.6684,50.6254,50278
2025-04-08,50.6254,51.719,50.4431,51.2177,40063
2025-04-09,51.2177,51.482,50.1515,50.2152,42366
2025-04-10,50.2152,51.5002,50.7074,51.4,172108
2025-04-13,56.4,52.58,50.07,50.18,79044
2025-04-14,50.18,50.9,50.25,50.35,56723
2025-04-15,50.35,51.1,50.29,50.53,22981
2025-04-16,50.53,50.91,50.36,50.84,23567
2025-04-17,50.84,51.48,50.46,51.02,24194
2025-04-22,51.02,52.88,50.68,52.82,69085
2025-04-23,52.82,53.0,52.29,52.95,35108
2025-04-27,52.95,53.0,52.01,53.0,34687
2025-04-28,53.0,53.1,52.4,53.0,26925
2025-04-29,53.0,53.1,52.0,52.2,22564
2025-04-30,52.2,52.79,51.8,51.99,12876
2025-05-04,51.99,52.93,51.91,51.97,21018
2025-05-05,51.97,52.49,51.25,51.8,37662
2025-05-06,51.8,52.0,51.5,51.77,23035
2025-05-07,51.77,51.95,51.0,51.16,32094
2025-05-08,51.16,51.93,50.8,51.02,24610
2025-05-11,51.02,51.92,50.95,50.99,15111
2025-05-12,50.99,51.87,50.9,51.62,17768
2025-05-13,51.62,52.0,51.65,51.95,19351
2025-05-14,51.95,54.2,52.0,54.0,1963402
2025-05-15,54.0,55.97,53.6,55.94,353206
2025-05-18,55.94,58.3,55.95,57.0,155152
2025-05-19,57.0,57.0,56.04,56.81,51317
2025-05-20,56.81,58.5,56.0,58.37,135416
2025-05-21,58.37,58.5,57.08,57.42,26984
2025-05-22,57.42,57.99,56.53,56.63,891892
2025-05-25,56.63,57.99,56.4,57.05,34478
2025-05-26,57.05,58.0,56.6,57.51,30923
2025-05-27,57.51,58.25,57.31,58.0,267350
2025-05-28,58.0,58.3,57.28,58.01,199093
2025-05-29,58.01,60.0,58.01,59.95,242627
2025-06-01,59.95,62.5,59.33,61.94,72914
2025-06-02,61.94,63.44,61.5,62.7,35188
2025-06-03,62.7,65.9,62.7,65.25,56476
2025-06-04,65.25,66.4,65.0,65.8,28958
2025-06-10,65.8,67.99,60.2,67.09,1095410
2025-06-11,67.09,67.88,65.0,66.56,90898
2025-06-12,66.56,66.0,64.5,65.28,40564
2025-06-15,65.28,64.0,60.11,63.09,33110
2025-06-16,63.09,64.4,62.62,63.11,49114
2025-06-17,63.11,64.49,62.0,62.44,10797
2025-06-18,62.44,63.5,61.9,62.91,17944
2025-06-19,62.91,63.49,60.73,61.2,69644
2025-06-22,61.2,62.0,59.12,61.98,65279
2025-06-23,61.98,63.1,61.52,62.63,53425
2025-06-24,62.63,64.25,62.75,63.0,120290
2025-06-25,63.0,64.09,62.8,62.91,86279
2025-06-29,62.91,63.24,62.76,63.0,228364
2025-06-30,63.0,64.22,62.32,62.96,28583
2025-07-01,62.96,64.0,60.8,60.92,140575
2025-07-02,60.92,62.5,60.01,61.44,100640
2025-07-06,61.44,63.75,61.82,63.5,126682
2025-07-07,63.5,64.0,62.5,62.53,57371
2025-07-09,62.53,63.99,61.5,61.5,53736
2025-07-10,61.5,62.98,61.65,61.98,13045
2025-07-13,61.98,62.92,61.0,61.03,56871
2025-07-14,61.03,62.5,61.15,62.01,76550
2025-07-15,62.01,62.85,61.4,61.5,103523
2025-07-16,61.5,62.49,61.5,61.52,21026
2025-07-17,61.52,62.5,60.8,61.0,155684
2025-07-20,61.0,62.0,60.7,60.9,163668
