date,open,high,low,close,volume
2025-03-10,27.8,27.99,27.15,27.55,9320061
2025-03-11,27.55,27.93,27.1,27.8,8532323
2025-03-12,27.8,28.51,27.72,27.85,9631233
2025-03-13,27.85,27.9,27.04,27.35,5520336
2025-03-16,27.35,28.3,27.6,27.8,8175719
2025-03-17,27.8,28.37,27.73,28.2,9582309
2025-03-18,28.2,28.65,28.2,28.3,8182754
2025-03-19,28.3,28.89,27.96,28.0,15315312
2025-03-20,28.0,28.7,28.0,28.46,8369811
2025-03-23,28.46,28.69,28.03,28.1,3570797
2025-03-24,28.1,28.38,28.0,28.0,3550213
2025-03-25,28.0,28.2,27.8,27.8,4420824
2025-03-26,27.8,27.8,27.3,27.32,6708981
2025-03-27,27.32,27.73,27.32,27.5,5468262
2025-04-03,27.5,27.5,27.12,27.5,1541082
2025-04-06,27.5,27.01,25.6,26.15,3872130
2025-04-07,26.15,26.7,25.61,26.7,4582284
2025-04-08,26.7,27.48,26.55,27.23,4521461
2025-04-09,27.23,27.08,26.03,26.11,3422897
2025-04-10,26.11,26.99,26.53,26.53,3713749
2025-04-13,26.53,28.18,26.68,27.96,3369299
2025-04-14,27.96,29.09,28.01,28.62,17303350
2025-04-15,28.62,29.0,28.3,28.64,4860965
2025-04-16,28.64,28.65,27.9,28.06,3305839
2025-04-17,28.06,28.38,27.6,28.2,6378872
2025-04-22,28.2,28.2,27.66,27.76,1929620
2025-04-23,27.76,28.5,27.8,28.45,2496497
2025-04-27,28.45,29.19,28.57,28.57,3838900
2025-04-28,28.57,29.3,28.5,29.19,10054672
2025-04-29,29.19,29.4,28.85,28.85,6207776
2025-04-30,28.85,29.04,28.51,28.51,1850261
2025-05-04,28.51,28.9,28.55,28.7,1782707
2025-05-05,28.7,28.9,28.45,28.5,3013883
2025-05-06,28.5,28.56,28.1,28.25,5145003
2025-05-07,28.25,28.59,27.9,28.0,3421104
2025-05-08,28.0,28.23,27.8,27.8,1767804
2025-05-11,27.8,28.4,27.62,27.7,2081854
2025-05-12,27.7,28.33,27.76,27.93,4464762
2025-05-13,27.93,28.29,27.86,28.0,5342487
2025-05-14,28.0,28.17,27.8,28.0,3489745
2025-05-15,28.0,28.75,28.0,28.75,4049253
2025-05-18,28.75,30.45,28.81,29.55,12398551
2025-05-19,29.55,30.5,29.4,29.7,10004581
2025-05-20,29.7,30.57,29.8,30.3,7146587
2025-05-21,30.3,31.2,30.14,30.81,9047929
2025-05-22,30.81,31.75,30.66,31.75,6521390
2025-05-25,31.75,31.89,31.0,31.11,2100666
2025-05-26,31.11,31.5,30.03,30.31,4315363
2025-05-27,30.31,30.69,30.17,30.35,11406004
2025-05-28,30.35,30.9,30.14,30.82,8944964
2025-05-29,30.82,31.33,30.6,31.33,8884276
2025-06-01,31.33,31.5,30.25,30.35,4881599
2025-06-02,30.35,30.48,29.4,29.87,8432941
2025-06-03,29.87,30.3,29.55,29.7,5620107
2025-06-04,29.7,30.1,29.64,30.0,3298015
2025-06-10,30.0,30.84,30.3,30.61,11060966
2025-06-11,30.61,30.8,30.5,30.58,7708939
2025-06-12,30.58,30.8,29.98,30.7,14366965
2025-06-15,30.7,28.55,24.56,26.9,11893839
2025-06-16,26.9,27.4,26.32,26.48,4871656
2025-06-17,26.48,26.7,25.23,25.23,4264277
2025-06-18,25.23,25.42,24.6,24.73,3229359
2025-06-19,24.73,24.9,23.85,24.06,17759008
2025-06-22,24.06,25.65,23.51,25.65,7264124
