date,open,high,low,close,volume
2025-03-10,0.374,0.377,0.365,0.374,77783802
2025-03-11,0.374,0.393,0.367,0.393,250370000
2025-03-12,0.393,0.402,0.385,0.386,227901053
2025-03-13,0.386,0.388,0.372,0.374,84745195
2025-03-16,0.374,0.39,0.371,0.381,115840399
2025-03-17,0.381,0.401,0.384,0.394,224852737
2025-03-18,0.394,0.409,0.392,0.392,195345420
2025-03-19,0.392,0.399,0.36,0.36,120707707
2025-03-20,0.36,0.376,0.352,0.376,92471988
2025-03-23,0.376,0.382,0.368,0.368,70453094
2025-03-24,0.368,0.373,0.347,0.35,53205965
2025-03-25,0.35,0.36,0.346,0.348,89714920
2025-03-26,0.348,0.367,0.35,0.351,98573142
2025-03-27,0.351,0.373,0.353,0.359,169536637
2025-04-03,0.359,0.377,0.357,0.373,95173182
2025-04-06,0.373,0.356,0.334,0.35,74059808
2025-04-07,0.35,0.358,0.346,0.357,56514778
2025-04-08,0.357,0.363,0.355,0.356,55066143
2025-04-09,0.356,0.358,0.337,0.338,57396548
2025-04-10,0.338,0.357,0.345,0.346,52342678
2025-04-13,0.346,0.352,0.347,0.348,27438440
2025-04-14,0.348,0.36,0.35,0.355,60491449
2025-04-15,0.355,0.361,0.355,0.355,40251208
2025-04-16,0.355,0.359,0.348,0.35,17649915
2025-04-17,0.35,0.354,0.348,0.349,18397000
2025-04-22,0.349,0.353,0.349,0.35,15887943
2025-04-23,0.35,0.356,0.351,0.354,17739317
2025-04-27,0.354,0.368,0.354,0.363,80642703
2025-04-28,0.363,0.366,0.359,0.36,39917899
2025-04-29,0.36,0.367,0.358,0.361,55903626
2025-04-30,0.361,0.363,0.358,0.359,16898697
2025-05-04,0.359,0.361,0.357,0.36,20265883
2025-05-05,0.36,0.368,0.361,0.363,64371390
2025-05-06,0.363,0.375,0.365,0.375,57575506
2025-05-07,0.375,0.38,0.368,0.37,112243950
2025-05-08,0.37,0.373,0.365,0.365,20824655
2025-05-11,0.365,0.37,0.36,0.361,28516137
2025-05-12,0.361,0.369,0.36,0.363,35746475
2025-05-13,0.363,0.37,0.36,0.37,25592814
2025-05-14,0.37,0.376,0.364,0.372,76343434
2025-05-15,0.372,0.386,0.374,0.377,211074737
2025-05-18,0.377,0.38,0.363,0.363,66901313
2025-05-19,0.363,0.364,0.353,0.354,42695953
2025-05-20,0.354,0.36,0.351,0.352,26073638
2025-05-21,0.352,0.358,0.349,0.35,25266968
2025-05-22,0.35,0.354,0.35,0.353,15219945
2025-05-25,0.353,0.357,0.352,0.352,18160130
2025-05-26,0.352,0.356,0.35,0.35,14362521
2025-05-27,0.35,0.355,0.349,0.352,14872649
2025-05-28,0.352,0.355,0.345,0.348,23198129
2025-05-29,0.348,0.349,0.337,0.338,22285390
2025-06-01,0.338,0.343,0.338,0.339,9376752
2025-06-02,0.339,0.341,0.332,0.336,16717603
2025-06-03,0.336,0.34,0.336,0.337,9657959
2025-06-04,0.337,0.339,0.335,0.338,18316504
2025-06-10,0.338,0.344,0.339,0.34,9431418
2025-06-11,0.34,0.346,0.339,0.34,22425910
2025-06-12,0.34,0.34,0.327,0.33,16910594
2025-06-15,0.33,0.315,0.3,0.307,9547692
2025-06-16,0.307,0.316,0.3,0.304,14579968
2025-06-17,0.304,0.308,0.294,0.295,14517026
2025-06-18,0.295,0.298,0.29,0.295,11841129
2025-06-19,0.295,0.298,0.285,0.287,9823650
2025-06-22,0.287,0.294,0.275,0.292,12069726
2025-06-23,0.292,0.298,0.292,0.295,11876099
2025-06-24,0.295,0.316,0.302,0.314,19972970
2025-06-25,0.314,0.324,0.31,0.319,18086374
2025-06-29,0.319,0.329,0.32,0.325,24254702
2025-06-30,0.325,0.332,0.325,0.327,16351099
2025-07-01,0.327,0.329,0.32,0.321,17012332
2025-07-02,0.321,0.34,0.322,0.336,30561490
2025-07-06,0.336,0.345,0.33,0.333,36614237
2025-07-07,0.333,0.34,0.33,0.335,21738738
2025-07-09,0.335,0.337,0.33,0.331,7229531
2025-07-10,0.331,0.343,0.333,0.339,23850984
2025-07-13,0.339,0.354,0.338,0.347,80645228
2025-07-14,0.347,0.357,0.348,0.349,89346039
2025-07-15,0.349,0.35,0.34,0.34,27415163
2025-07-16,0.34,0.342,0.333,0.334,22439757
2025-07-17,0.334,0.339,0.332,0.333,15088192
2025-07-20,0.333,0.339,0.334,0.335,6293895
2025-07-21,0.335,0.342,0.336,0.337,23662062
2025-07-22,0.337,0.346,0.334,0.335,36966738
2025-07-23,0.335,0.335,0.335,0.335,0
2025-07-27,0.335,0.341,0.335,0.335,13894665
2025-07-28,0.335,0.338,0.325,0.326,17849031
2025-07-29,0.326,0.329,0.323,0.327,7121747
2025-07-30,0.327,0.331,0.321,0.322,13130584
2025-07-31,0.322,0.327,0.322,0.324,6603834
2025-08-03,0.324,0.324,0.324,0.324,0
2025-08-04,0.324,0.324,0.324,0.324,0
2025-08-05,0.324,0.324,0.324,0.324,0
2025-08-06,0.324,0.324,0.324,0.324,0
2025-08-07,0.324,0.324,0.324,0.324,0
2025-08-10,0.321,0.325,0.321,0.324,10860585
2025-08-11,0.324,0.329,0.323,0.324,18450319
2025-08-12,0.324,0.327,0.323,0.324,7223069
2025-08-13,0.324,0.34,0.324,0.334,57596624
2025-08-14,0.334,0.346,0.334,0.341,37898889
2025-08-17,0.341,0.353,0.346,0.35,46112598
2025-08-18,0.35,0.353,0.346,0.346,20731710
2025-08-19,0.346,0.349,0.338,0.34,20216948
2025-08-20,0.34,0.344,0.332,0.333,19579259
2025-08-21,0.333,0.335,0.33,0.333,9803172
2025-08-24,0.333,0.344,0.333,0.336,23538776
2025-08-25,0.336,0.341,0.335,0.335,11635628
2025-08-26,0.335,0.338,0.33,0.33,15606689
2025-08-27,0.33,0.34,0.329,0.334,22638240
2025-08-28,0.334,0.347,0.334,0.346,39766348
2025-08-31,0.346,0.348,0.331,0.331,21019123
2025-09-01,0.331,0.334,0.329,0.331,8515408
2025-09-02,0.331,0.334,0.327,0.329,8248971
2025-09-03,0.329,0.338,0.33,0.33,14266624
2025-09-07,0.33,0.336,0.331,0.332,10676966
2025-09-08,0.332,0.337,0.33,0.331,10624905
2025-09-09,0.331,0.352,0.333,0.346,99184376
2025-09-10,0.346,0.359,0.344,0.355,44971054
2025-09-11,0.355,0.363,0.35,0.352,41001157
2025-09-14,0.352,0.357,0.348,0.348,24110776
2025-09-15,0.348,0.35,0.335,0.338,24751442
2025-09-16,0.338,0.344,0.327,0.329,18862965
2025-09-17,0.329,0.33,0.32,0.326,13770438
2025-09-18,0.326,0.33,0.322,0.323,11941041
2025-09-21,0.323,0.327,0.323,0.324,7592504
2025-09-22,0.324,0.327,0.322,0.325,7169211
2025-09-23,0.325,0.331,0.323,0.325,14850144
2025-09-24,0.325,0.337,0.324,0.33,37034683
2025-09-25,0.33,0.34,0.33,0.338,15484404
2025-09-28,0.338,0.343,0.333,0.337,6919466
2025-09-29,0.337,0.341,0.334,0.335,8525749
2025-09-30,0.335,0.336,0.33,0.33,9044710
2025-10-01,0.33,0.333,0.328,0.329,9847525
2025-10-02,0.329,0.333,0.326,0.329,6338147
2025-10-05,0.329,0.339,0.328,0.339,15974256
2025-10-06,0.339,0.348,0.338,0.343,41100365
2025-10-07,0.343,0.352,0.344,0.346,27658663
2025-10-08,0.346,0.349,0.34,0.34,11787670
2025-10-12,0.34,0.342,0.336,0.337,7766883
2025-10-13,0.337,0.339,0.334,0.335,12520160
2025-10-14,0.335,0.337,0.333,0.334,17464200
2025-10-15,0.334,0.356,0.332,0.355,56465488
2025-10-16,0.355,0.358,0.345,0.347,45458649
2025-10-19,0.347,0.353,0.347,0.348,18441497
2025-10-20,0.348,0.356,0.347,0.348,50644753
2025-10-21,0.348,0.35,0.341,0.345,14243106
2025-10-22,0.345,0.349,0.338,0.342,12930878
2025-10-23,0.342,0.344,0.34,0.342,12836335
2025-10-26,0.342,0.349,0.343,0.346,10812888
2025-10-27,0.346,0.356,0.347,0.354,36201491
2025-10-28,0.354,0.369,0.352,0.364,109538505
2025-10-29,0.364,0.369,0.358,0.358,40036523
2025-10-30,0.358,0.367,0.358,0.36,26294357
2025-11-02,0.36,0.363,0.351,0.351,25036838
2025-11-03,0.351,0.355,0.346,0.35,15341036
2025-11-04,0.35,0.359,0.351,0.353,10255983
2025-11-05,0.353,0.355,0.335,0.341,24765308
2025-11-06,0.341,0.35,0.34,0.346,22681346
2025-11-09,0.346,0.352,0.344,0.348,17647573
2025-11-10,0.348,0.349,0.34,0.344,11109088
2025-11-11,0.344,0.35,0.34,0.341,19312662
2025-11-12,0.341,0.348,0.341,0.342,9946323
2025-11-13,0.342,0.358,0.343,0.346,47961532
2025-11-16,0.346,0.355,0.347,0.354,22651993
2025-11-17,0.354,0.364,0.353,0.364,34566840
2025-11-18,0.364,0.385,0.367,0.379,169670024
2025-11-19,0.379,0.418,0.38,0.4,248264226
2025-11-20,0.4,0.426,0.402,0.412,134827959
2025-11-23,0.412,0.419,0.399,0.41,57294133
2025-11-24,0.41,0.437,0.415,0.416,105059279
2025-11-25,0.416,0.424,0.395,0.396,64009278
2025-11-26,0.396,0.403,0.385,0.39,65053299
2025-11-27,0.39,0.398,0.389,0.391,50713383
2025-11-30,0.391,0.415,0.393,0.411,107601617
2025-12-01,0.411,0.421,0.402,0.405,72397545
2025-12-02,0.405,0.417,0.406,0.412,37950461
2025-12-03,0.412,0.425,0.412,0.418,76432731
2025-12-04,0.418,0.429,0.411,0.412,69914082
2025-12-07,0.412,0.423,0.413,0.416,38396697
2025-12-08,0.416,0.445,0.417,0.439,195140654
2025-12-09,0.439,0.453,0.432,0.434,150995224
2025-12-10,0.434,0.44,0.432,0.436,41857760
2025-12-11,0.436,0.458,0.444,0.446,98910048
2025-12-14,0.446,0.458,0.446,0.455,66299235
2025-12-15,0.455,0.457,0.446,0.449,43736158
2025-12-16,0.449,0.456,0.445,0.449,28317173
2025-12-17,0.449,0.45,0.437,0.437,36942347
2025-12-18,0.437,0.446,0.435,0.437,45786498
2025-12-21,0.437,0.476,0.438,0.464,161795575
2025-12-22,0.464,0.469,0.456,0.456,35548112
2025-12-23,0.456,0.469,0.453,0.464,43719640
2025-12-24,0.464,0.485,0.462,0.483,87689383
2025-12-25,0.483,0.494,0.484,0.486,74836206
2025-12-28,0.486,0.491,0.476,0.476,34607183
2025-12-29,0.476,0.483,0.473,0.473,26957097
2025-12-30,0.473,0.48,0.471,0.474,19279289
2025-12-31,0.474,0.494,0.474,0.484,64149419
2026-01-04,0.484,0.49,0.476,0.478,22593190
2026-01-05,0.478,0.485,0.453,0.463,26695829
2026-01-06,0.463,0.474,0.463,0.465,12452980
2026-01-08,0.465,0.48,0.461,0.462,21944632
2026-01-11,0.462,0.484,0.464,0.483,38430796
2026-01-12,0.483,0.485,0.464,0.466,31343722
2026-01-13,0.466,0.477,0.465,0.467,25322650
2026-01-14,0.467,0.472,0.452,0.457,26849642
2026-01-15,0.457,0.476,0.46,0.463,33197837
2026-01-18,0.463,0.475,0.465,0.47,8438331
2026-01-19,0.47,0.482,0.467,0.478,38631641
2026-01-20,0.478,0.501,0.478,0.491,169903261
2026-01-21,0.491,0.492,0.483,0.488,43536847
2026-01-22,0.488,0.493,0.478,0.48,37319230
2026-01-25,0.48,0.492,0.475,0.486,37817294
2026-01-26,0.486,0.49,0.476,0.477,27781304
2026-01-27,0.477,0.488,0.473,0.479,44581447
2026-01-28,0.479,0.48,0.464,0.466,34945804
2026-02-01,0.466,0.469,0.458,0.459,51019721
2026-02-02,0.459,0.473,0.459,0.473,37747576
2026-02-03,0.473,0.491,0.473,0.49,57255977
2026-02-04,0.49,0.496,0.485,0.485,34403895
2026-02-05,0.485,0.526,0.487,0.518,225027797
2026-02-08,0.518,0.545,0.521,0.542,167541261
2026-02-09,0.542,0.545,0.519,0.526,102119926
2026-02-10,0.526,0.53,0.515,0.517,126120813
2026-02-11,0.517,0.523,0.489,0.498,253342547
2026-02-12,0.498,0.496,0.476,0.487,163971044
2026-02-15,0.487,0.494,0.478,0.483,80097068
2026-02-16,0.483,0.489,0.461,0.463,108934370
2026-02-17,0.463,0.476,0.461,0.471,124688259
2026-02-18,0.471,0.476,0.464,0.464,56626267
2026-02-19,0.464,0.468,0.451,0.451,51161791
2026-02-22,0.451,0.458,0.421,0.426,43490706
2026-02-23,0.426,0.438,0.426,0.432,61990499
2026-02-24,0.432,0.433,0.423,0.423,49704043
2026-02-25,0.423,0.427,0.404,0.405,66931443
2026-02-26,0.405,0.414,0.4,0.412,60951924
2026-03-01,0.412,0.395,0.367,0.393,41757573
2026-03-02,0.393,0.398,0.389,0.39,22659118
2026-03-03,0.39,0.392,0.382,0.386,18506210
2026-03-04,0.386,0.397,0.383,0.391,27799675
2026-03-05,0.391,0.418,0.393,0.417,42665319
2026-03-08,0.417,0.43,0.422,0.426,23062003
2026-03-09,0.426,0.429,0.419,0.421,17505067
2026-03-10,0.421,0.431,0.423,0.427,15758518
2026-03-11,0.427,0.436,0.427,0.432,15601740
2026-03-12,0.432,0.435,0.424,0.426,10711154
2026-03-15,0.426,0.428,0.41,0.413,23260317
2026-03-16,0.413,0.415,0.403,0.405,10344827
2026-03-17,0.405,0.414,0.406,0.412,4552604
2026-03-18,0.412,0.418,0.412,0.415,6705114
2026-03-19,0.415,0.415,0.415,0.415,0
2026-03-24,0.415,0.427,0.411,0.417,29047116
