date,open,high,low,close,volume
2025-03-10,9.39,9.47,9.26,9.28,343654
2025-03-11,9.28,9.34,9.05,9.2,305117
2025-03-12,9.2,9.45,9.12,9.2,147841
2025-03-13,9.2,9.37,9.19,9.22,406924
2025-03-16,9.22,9.35,9.2,9.22,168732
2025-03-17,9.22,9.3,9.0,9.05,560256
2025-03-18,9.05,9.33,9.06,9.2,617591
2025-03-19,9.2,9.38,9.18,9.2,388639
2025-03-20,9.2,9.25,9.1,9.15,141680
2025-03-23,9.15,9.2,9.12,9.14,166848
2025-03-24,9.14,9.67,9.15,9.21,1489913
2025-03-25,9.21,9.6,9.2,9.22,773351
2025-03-26,9.22,9.49,9.24,9.28,137754
2025-03-27,9.28,9.37,9.26,9.28,88973
2025-04-03,9.28,9.34,9.2,9.23,102344
2025-04-06,9.23,8.96,8.0,8.77,332761
2025-04-07,8.77,8.85,8.5,8.8,183148
2025-04-08,8.8,9.19,8.81,9.02,458853
2025-04-09,9.02,9.55,8.71,8.79,1151579
2025-04-10,8.79,9.26,9.02,9.06,261075
2025-04-13,9.06,9.27,9.06,9.25,501125
2025-04-14,9.25,9.31,9.14,9.18,553713
2025-04-15,9.18,9.35,9.15,9.2,424782
2025-04-16,9.2,9.35,9.15,9.29,400061
2025-04-17,9.29,9.39,9.18,9.2,291802
2025-04-22,9.2,9.48,9.2,9.41,990368
2025-04-23,9.41,9.69,9.48,9.5,2421168
2025-04-27,9.5,9.66,9.5,9.54,1058495
2025-04-28,9.54,9.72,9.51,9.6,1035506
2025-04-29,9.6,9.66,9.42,9.46,502445
2025-04-30,9.46,9.5,9.37,9.42,452267
2025-05-04,9.42,9.73,9.49,9.73,1434124
2025-05-05,9.73,10.47,9.9,10.04,6063071
2025-05-06,10.04,11.98,9.92,11.98,4978037
2025-05-07,11.98,11.69,11.0,11.0,6276625
2025-05-08,11.0,11.75,10.8,11.32,4179892
2025-05-11,11.32,11.5,10.82,10.85,3120011
2025-05-12,10.85,11.07,10.65,10.72,1361749
2025-05-13,10.72,11.05,10.3,10.5,1098508
2025-05-14,10.5,10.6,10.23,10.35,963563
2025-05-15,10.35,10.89,10.1,10.89,1434413
2025-05-18,10.89,11.44,10.75,10.87,2153353
2025-05-19,10.87,11.11,10.66,10.71,1159298
2025-05-20,10.71,10.88,10.57,10.6,658588
2025-05-21,10.6,10.62,10.38,10.44,590828
2025-05-22,10.44,10.72,10.26,10.6,785873
2025-05-25,10.6,10.79,10.45,10.52,341869
2025-05-26,10.52,10.72,10.44,10.54,488934
2025-05-27,10.54,10.69,10.45,10.46,672029
2025-05-28,10.46,10.51,10.17,10.19,907772
2025-05-29,10.19,10.21,9.9,9.99,834274
2025-06-01,9.99,10.2,9.96,9.99,329362
2025-06-02,9.99,10.4,9.95,10.21,581048
2025-06-03,10.21,10.25,10.02,10.08,397492
2025-06-04,10.08,10.25,10.05,10.08,286243
2025-06-10,10.08,10.18,10.05,10.1,324662
2025-06-11,10.1,10.23,10.05,10.1,359270
2025-06-12,10.1,10.14,9.74,9.76,539724
2025-06-15,9.76,9.21,8.43,8.98,491722
2025-06-16,8.98,9.19,9.05,9.1,217467
2025-06-17,9.1,9.18,8.81,8.85,252153
2025-06-18,8.85,8.97,8.5,8.9,133633
2025-06-19,8.9,9.08,8.45,8.62,216359
2025-06-22,8.62,9.45,8.12,9.2,1074324
2025-06-23,9.2,9.65,9.2,9.47,638831
2025-06-24,9.47,9.74,9.45,9.59,798192
2025-06-25,9.59,10.16,9.47,10.1,1439664
2025-06-29,10.1,10.36,10.12,10.18,522575
