date,open,high,low,close,volume
2025-03-10,34.7636,35.15,34.6843,34.9617,281546
2025-03-11,34.9617,34.9914,34.5258,34.8428,625963
2025-03-12,34.8428,35.7345,34.7735,35.467,1237017
2025-03-13,35.467,35.9524,35.1896,35.1995,909918
2025-03-16,35.1995,35.6552,34.8726,35.249,233001
2025-03-17,35.249,35.467,33.6738,33.7035,1832982
2025-03-18,33.7035,33.9809,32.594,32.7822,991217
2025-03-19,32.7822,33.0695,32.0491,32.3958,951246
2025-03-20,32.3958,32.6831,31.1079,31.207,1579251
2025-03-23,31.207,31.95,31.207,31.207,673745
2025-03-24,31.207,31.5933,30.563,30.9098,700388
2025-03-25,30.9098,32.168,30.6126,32.158,614084
2025-03-26,32.158,32.584,30.88,31.1773,1419835
2025-03-27,31.1773,32.693,31.207,32.693,1515142
2025-04-03,32.693,33.3865,31.7618,33.0893,1128416
2025-04-06,33.0893,33.0398,31.1773,32.4454,1090279
2025-04-07,32.4453,32.2472,30.3649,31.207,2935968
2025-04-08,31.207,31.5834,30.9395,31.0187,1022633
2025-04-09,31.0187,31.2763,29.8695,29.9191,959216
2025-04-10,29.9191,31.4051,30.5729,31.0584,877466
2025-04-13,31.0584,31.6825,31.207,31.3556,498442
2025-04-14,31.3556,32.9407,31.3556,32.6534,1394906
2025-04-15,32.6534,32.6534,31.9599,31.9995,835965
2025-04-16,31.9995,32.0491,31.1178,31.2763,351853
2025-04-17,31.2763,31.6429,30.7017,30.9098,1566860
2025-04-22,30.9098,31.1079,30.7116,30.8107,1588723
2025-04-23,30.8107,31.306,30.4045,30.6225,1463540
2025-04-27,30.6225,31.7023,30.6522,31.1079,2731676
2025-04-28,31.1079,31.5735,31.2466,31.3655,4157059
2025-04-29,31.3655,31.8906,31.207,31.2169,2628624
2025-04-30,31.2169,31.3952,31.0584,31.1079,994944
2025-05-04,31.1079,31.316,30.9593,31.0088,672678
2025-05-05,31.0088,31.1971,30.4937,30.5135,1666977
2025-05-06,30.5135,30.6126,29.6714,29.711,6124999
2025-05-07,29.711,29.7209,27.8782,27.9971,5796274
2025-05-08,27.9971,28.334,26.9569,27.9179,5067283
2025-05-11,27.9179,28.2844,27.7395,27.7593,1149903
2025-05-12,27.7593,28.1358,27.4423,27.5414,1747324
2025-05-13,27.5414,27.7197,27.1451,27.3532,2381185
2025-05-14,27.3532,27.4919,26.8281,26.8479,2034043
2025-05-15,26.8479,29.1067,26.8479,28.1754,10951856
2025-05-18,28.1754,28.5321,27.2442,27.4126,1333865
2025-05-19,27.4126,27.7395,27.046,27.2739,665517
2025-05-20,27.2739,27.7395,27.0956,27.155,1227753
2025-05-21,27.155,27.4225,26.6597,26.8578,1626377
2025-05-22,26.8578,27.0361,26.5903,26.8677,879600
2025-05-25,26.8677,27.5216,26.8974,27.046,734761
2025-05-26,27.046,27.6405,26.8578,26.9073,1400954
2025-05-27,26.9073,27.6306,26.8182,27.5315,1546521
2025-05-28,27.5315,27.8881,27.046,27.2343,3387620
2025-05-29,27.2343,27.4324,26.947,27.0064,1120112
2025-06-01,27.0064,27.264,26.7885,26.8083,752064
2025-06-02,26.8083,26.9767,26.4417,26.7488,990131
2025-06-03,26.7488,27.3433,26.7488,27.0956,1181328
