date,open,high,low,close,volume
2025-03-10,4.4227,4.4398,4.2003,4.32,955379
2025-03-11,4.32,4.3885,4.2687,4.2773,293858
2025-03-12,4.2773,4.3799,4.2345,4.2602,971859
2025-03-13,4.2602,4.4141,4.2773,4.4056,896591
2025-03-16,4.4056,4.4997,4.3885,4.4484,582381
2025-03-17,4.4484,4.705,4.3372,4.6708,946831
2025-03-18,4.67,5.39,4.95,5.0,3036745
2025-03-19,5.0,5.07,4.9,4.93,145919
2025-03-20,4.93,5.0,4.8,4.91,440137
2025-03-23,4.91,4.94,4.65,4.76,84219
2025-03-24,4.76,4.76,4.55,4.63,2960094
2025-03-25,4.63,4.71,4.46,4.5,225853
2025-03-26,4.5,4.51,4.11,4.5,577527
2025-03-27,4.5,4.89,4.36,4.87,989757
2025-04-03,4.87,4.87,4.58,4.6,1555947
2025-04-06,4.6,4.58,4.34,4.4,1465977
2025-04-07,4.4,4.47,4.31,4.41,263540
2025-04-08,4.41,4.68,4.4,4.65,1036303
2025-04-09,4.65,4.75,4.31,4.45,2338333
2025-04-10,4.45,4.66,4.47,4.51,882463
2025-04-13,4.51,4.65,4.5,4.58,169538
2025-04-14,4.58,4.79,4.58,4.7,700627
2025-04-15,4.7,4.95,4.68,4.92,5031396
2025-04-16,4.92,5.02,4.86,4.94,2358953
2025-04-17,4.94,5.3,4.9,5.08,8351745
2025-04-22,5.08,5.43,5.11,5.33,4845200
2025-04-23,5.33,5.9,5.4,5.78,5676674
2025-04-27,5.78,6.05,5.71,5.75,2781597
2025-04-28,5.75,6.9,5.7,5.77,3876011
2025-04-29,5.77,5.77,5.77,5.77,0
2025-04-30,5.77,6.0,5.31,6.0,2278468
2025-05-04,6.0,6.11,5.87,5.96,3361751
2025-05-05,5.96,6.16,5.95,6.12,4507403
2025-05-06,6.12,6.3,6.11,6.24,2692207
2025-05-07,6.24,6.32,6.11,6.17,1593703
2025-05-08,6.17,6.24,6.02,6.02,996481
2025-05-11,6.02,6.27,6.04,6.12,1368729
2025-05-12,6.12,6.16,5.82,5.87,1207341
2025-05-13,5.87,6.1,5.85,5.92,1309907
2025-05-14,5.92,6.18,5.95,6.02,4934856
2025-05-15,6.02,6.2,5.98,6.19,1867354
2025-05-18,6.19,6.51,6.29,6.31,5266349
2025-05-19,6.31,6.42,6.19,6.25,3605446
2025-05-20,6.25,6.35,6.0,6.23,933946
2025-05-21,6.23,6.28,6.12,6.15,1258804
2025-05-22,6.15,6.19,6.02,6.05,1124271
2025-05-25,6.05,6.21,5.85,6.21,2739716
2025-05-26,6.21,6.27,6.1,6.11,1769668
2025-05-27,6.11,6.21,6.05,6.15,390414
2025-05-28,6.15,6.2,6.1,6.16,799491
2025-05-29,6.16,6.2,6.0,6.11,1411645
2025-06-01,6.11,6.23,6.04,6.15,1136425
2025-06-02,6.15,6.21,6.09,6.13,354746
2025-06-03,6.13,6.19,5.9,6.14,2163572
2025-06-04,6.14,6.21,6.08,6.2,576892
2025-06-10,6.2,6.27,6.15,6.2,1142878
2025-06-11,6.2,6.36,6.19,6.24,2758350
2025-06-12,6.24,6.28,6.06,6.13,2232061
2025-06-15,6.13,5.94,5.4,5.88,641369
2025-06-16,5.88,6.01,5.89,5.89,440031
2025-06-17,5.89,5.97,5.77,5.81,230128
2025-06-18,5.81,5.87,5.72,5.75,360285
2025-06-19,5.75,5.85,5.52,5.59,363133
2025-06-22,5.59,6.1,5.15,6.0,1383280
2025-06-23,6.0,6.14,5.95,6.12,1491193
2025-06-24,6.12,6.25,6.06,6.13,4498872
2025-06-25,6.13,6.19,6.07,6.19,1032472
2025-06-29,6.19,6.33,6.2,6.29,2725444
2025-06-30,6.29,6.39,6.15,6.37,1503294
2025-07-01,6.37,6.36,6.1,6.13,1818480
2025-07-02,6.13,6.19,6.0,6.07,941361
2025-07-06,6.07,6.15,5.92,5.92,1166562
2025-07-07,5.92,6.06,5.87,5.92,404870
2025-07-09,5.92,6.0,5.8,5.85,346401
2025-07-10,5.85,5.94,5.8,5.85,456524
2025-07-13,5.85,5.87,5.82,5.83,184870
2025-07-14,5.83,5.9,5.75,5.77,317892
2025-07-15,5.77,5.85,5.69,5.7,682172
2025-07-16,5.7,5.79,5.47,5.49,1382099
2025-07-17,5.49,5.64,5.28,5.3,734041
2025-07-20,5.3,5.49,5.21,5.46,1315017
2025-07-21,5.46,5.39,5.03,5.28,3512264
2025-07-22,5.28,5.33,5.1,5.31,2676228
2025-07-23,5.31,5.31,5.31,5.31,0
2025-07-27,5.28,5.29,5.15,5.19,359397
2025-07-28,5.19,5.25,5.04,5.05,1129881
2025-07-29,5.05,5.33,5.07,5.3,1405092
2025-07-30,5.3,5.36,5.16,5.19,1674200
2025-07-31,5.19,5.28,5.17,5.2,478632
2025-08-03,5.2,5.2,5.2,5.2,0
2025-08-04,5.2,5.2,5.2,5.2,0
2025-08-05,5.2,5.2,5.2,5.2,0
2025-08-06,5.2,5.2,5.2,5.2,0
2025-08-07,5.2,5.2,5.2,5.2,0
2025-08-10,5.0,5.07,4.96,4.96,580294
2025-08-11,4.96,5.07,4.91,5.03,4659544
2025-08-12,5.03,5.29,5.04,5.1,9008713
2025-08-13,5.1,5.18,5.03,5.05,4482701
2025-08-14,5.05,5.11,4.96,4.96,10915256
2025-08-17,4.96,5.07,4.93,4.94,1166803
2025-08-18,4.94,5.02,4.94,4.95,657160
2025-08-19,4.95,5.0,4.91,4.92,599429
2025-08-20,4.92,4.97,4.84,4.85,1604459
2025-08-21,4.85,4.92,4.8,4.85,572523
2025-08-24,4.85,4.93,4.83,4.89,287899
2025-08-25,4.89,4.92,4.8,4.8,491984
2025-08-26,4.8,4.86,4.66,4.71,1205165
2025-08-27,4.71,4.95,4.63,4.92,1277817
2025-08-28,4.92,5.01,4.85,5.0,1792014
2025-08-31,5.0,5.08,4.92,4.95,681002
2025-09-01,4.95,5.0,4.84,4.93,883338
2025-09-02,4.93,5.04,4.93,5.03,1222336
2025-09-03,5.03,5.1,5.0,5.0,1219723
2025-09-07,5.0,5.11,5.0,5.07,1394220
2025-09-08,5.07,5.11,5.05,5.06,977536
2025-09-09,5.06,5.45,5.09,5.22,11884545
2025-09-10,5.22,5.37,5.14,5.21,2526857
2025-09-11,5.21,5.33,5.12,5.28,3390435
2025-09-14,5.28,5.37,5.21,5.35,3293391
2025-09-15,5.35,5.39,5.25,5.35,1674731
2025-09-16,5.35,5.38,5.15,5.2,2723797
2025-09-17,5.2,5.27,5.1,5.16,1534154
2025-09-18,5.16,5.33,5.15,5.31,2085482
2025-09-21,5.31,5.32,5.18,5.18,2603268
2025-09-22,5.18,5.22,4.99,5.12,2711093
2025-09-23,5.12,5.23,5.01,5.04,884547
2025-09-24,5.04,5.1,4.95,5.08,1349645
2025-09-25,5.08,5.22,5.07,5.13,1222584
2025-09-28,5.13,5.23,5.1,5.17,1225426
2025-09-29,5.17,5.22,5.11,5.15,816153
2025-09-30,5.15,5.69,5.17,5.51,18373647
2025-10-01,5.51,5.6,5.34,5.43,3201997
2025-10-02,5.43,5.5,5.29,5.33,1301353
2025-10-05,5.33,5.65,5.32,5.54,5310281
2025-10-06,5.54,5.63,5.54,5.62,5693521
2025-10-07,5.62,5.7,5.52,5.53,3561211
2025-10-08,5.53,5.55,5.44,5.44,1766630
2025-10-12,5.44,5.48,5.39,5.44,1008494
2025-10-13,5.44,5.57,5.42,5.46,6478608
2025-10-14,5.46,5.51,5.39,5.39,1477605
2025-10-15,5.39,5.48,5.37,5.38,1096603
2025-10-16,5.38,5.68,5.4,5.65,5123101
2025-10-19,5.65,5.77,5.62,5.63,3492660
2025-10-20,5.63,5.74,5.61,5.73,1959196
2025-10-21,5.73,5.9,5.72,5.81,7238054
2025-10-22,5.81,6.06,5.76,6.0,10611071
2025-10-23,6.0,6.18,6.0,6.01,8452018
2025-10-26,6.01,6.35,6.01,6.27,5332474
2025-10-27,6.27,6.65,6.27,6.64,9384164
2025-10-28,6.64,6.7,6.43,6.51,7449071
2025-10-29,6.51,6.62,6.47,6.53,2027094
2025-10-30,6.53,6.83,6.53,6.82,8671239
2025-11-02,6.82,6.95,6.66,6.73,2323199
2025-11-03,6.73,6.86,6.66,6.73,1404437
2025-11-04,6.73,6.94,6.7,6.72,3421452
2025-11-05,6.72,6.82,6.41,6.78,2460655
2025-11-06,6.78,6.78,6.56,6.67,888453
2025-11-09,6.67,6.74,6.58,6.62,1438130
2025-11-10,6.62,6.86,6.58,6.64,10537002
2025-11-11,6.64,6.9,6.66,6.9,3972702
2025-11-12,6.9,7.1,6.81,6.97,7130891
2025-11-13,6.97,7.0,6.85,6.86,1026185
2025-11-16,6.86,6.99,6.72,6.72,2209277
2025-11-17,6.72,6.8,6.55,6.69,2756237
2025-11-18,6.69,6.85,6.61,6.61,757230
2025-11-19,6.61,6.98,6.63,6.97,3018457
2025-11-20,6.97,7.3,6.85,7.1,3425332
2025-11-23,7.1,7.2,7.05,7.13,4008735
2025-11-24,7.13,7.15,6.61,6.7,3779943
2025-11-25,6.7,6.8,6.4,6.4,1103348
2025-11-26,6.4,6.51,6.03,6.29,539356
2025-11-27,6.29,6.44,6.25,6.41,393718
2025-11-30,6.41,6.49,6.31,6.34,287199
2025-12-01,6.34,6.4,6.26,6.28,732037
2025-12-02,6.28,6.55,6.27,6.35,1357433
2025-12-03,6.35,6.46,6.3,6.35,786209
2025-12-04,6.35,6.6,6.32,6.38,1941613
2025-12-07,6.38,6.69,6.4,6.62,1667590
2025-12-08,6.62,6.83,6.58,6.68,2181674
2025-12-09,6.68,6.72,6.63,6.69,1662546
2025-12-10,6.69,6.75,6.55,6.59,837440
2025-12-11,6.59,6.65,6.5,6.58,402156
2025-12-14,6.58,6.66,6.5,6.5,1796639
2025-12-15,6.5,6.57,6.12,6.38,549081
2025-12-16,6.38,6.47,6.3,6.4,814171
2025-12-17,6.4,6.45,6.27,6.34,151611
2025-12-18,6.34,6.38,6.2,6.34,448703
2025-12-21,6.34,6.4,6.24,6.27,410214
2025-12-22,6.27,6.37,6.29,6.34,230836
2025-12-23,6.34,6.45,6.24,6.39,680807
2025-12-24,6.39,6.53,6.34,6.49,1251697
2025-12-25,6.49,6.55,6.41,6.42,467269
2025-12-28,6.42,6.5,6.35,6.35,401954
2025-12-29,6.35,6.45,6.33,6.33,602991
2025-12-30,6.33,6.53,6.35,6.46,1147166
2025-12-31,6.46,6.6,6.4,6.4,1897398
2026-01-04,6.4,6.48,6.2,6.32,814671
2026-01-05,6.32,6.36,5.9,6.0,2317102
2026-01-06,6.0,6.1,5.93,6.08,713349
2026-01-08,6.08,6.05,5.83,5.88,725058
2026-01-11,5.88,5.95,5.84,5.93,256980
2026-01-12,5.93,6.3,5.92,6.0,2720542
2026-01-13,6.0,6.09,5.85,5.87,980667
2026-01-14,5.87,6.21,5.8,6.08,2205582
2026-01-15,6.08,6.54,6.08,6.29,6769141
2026-01-18,6.29,6.65,6.42,6.47,2400528
2026-01-19,6.47,6.57,6.4,6.42,1846349
2026-01-20,6.42,7.0,6.42,6.9,7352904
2026-01-21,6.9,7.08,6.77,7.05,6895234
2026-01-22,7.05,7.01,6.71,6.79,2430131
2026-01-25,6.79,6.9,6.56,6.62,1413386
2026-01-26,6.62,6.95,6.62,6.7,3226298
2026-01-27,6.7,6.87,6.6,6.7,2632191
2026-01-28,6.7,6.7,6.34,6.54,745755
2026-02-01,6.54,6.54,6.3,6.43,5803650
2026-02-02,6.43,6.5,6.41,6.49,284972
2026-02-03,6.49,6.6,6.46,6.59,331533
2026-02-04,6.59,6.79,6.53,6.74,772518
2026-02-05,6.74,6.85,6.62,6.63,2233820
2026-02-08,6.63,6.7,6.59,6.61,199260
2026-02-09,6.61,6.8,6.5,6.76,1142079
2026-02-10,6.76,6.94,6.75,6.78,3539237
2026-02-11,6.78,7.15,6.63,6.85,6292954
2026-02-12,6.85,6.94,6.75,6.76,1464973
2026-02-15,6.76,6.8,6.54,6.6,2818531
2026-02-16,6.6,6.61,6.45,6.49,2911830
2026-02-17,6.49,6.78,6.45,6.45,2578258
2026-02-18,6.45,6.54,6.35,6.38,1055314
2026-02-19,6.38,6.41,6.11,6.14,1023134
2026-02-22,6.14,6.22,5.88,6.11,998833
2026-02-23,6.11,6.23,6.09,6.11,286829
2026-02-24,6.11,6.18,6.0,6.06,1075124
2026-02-25,6.06,6.08,5.82,5.86,384142
2026-02-26,5.86,6.0,5.73,5.85,331682
2026-03-01,5.85,5.65,5.01,5.49,394788
2026-03-02,5.49,5.8,5.5,5.51,491414
2026-03-03,5.51,5.61,5.3,5.4,247192
2026-03-04,5.4,5.64,5.4,5.6,421301
2026-03-05,5.6,5.68,5.56,5.6,215609
2026-03-08,5.6,5.9,5.61,5.78,454702
2026-03-09,5.78,6.19,5.73,6.14,1432243
2026-03-10,6.14,6.2,5.85,5.93,1070599
2026-03-11,5.93,6.0,5.86,6.0,1816325
2026-03-12,6.0,6.06,5.95,5.99,126738
2026-03-15,5.99,6.09,5.97,6.03,237217
2026-03-16,6.03,6.05,5.86,5.91,311247
2026-03-17,5.91,6.09,5.94,6.0,515372
2026-03-18,6.0,6.06,5.92,6.05,287800
2026-03-19,6.05,6.05,6.05,6.05,0
2026-03-24,6.05,6.1,5.85,5.98,1171153
2026-03-25,5.98,6.0,5.87,5.98,204761
2026-03-26,5.98,6.0,5.88,5.91,266029
2026-03-29,5.91,5.94,5.77,5.8,368289
2026-03-30,5.8,5.87,5.71,5.81,165495
2026-03-31,5.81,5.89,5.72,5.85,174610
2026-04-01,5.85,6.04,5.85,5.93,431340
2026-04-02,5.93,5.96,5.87,5.89,201859
2026-04-05,5.89,6.29,5.89,6.24,2396927
2026-04-06,6.24,6.3,6.1,6.15,1066227
2026-04-07,6.15,6.16,6.0,6.0,1664774
2026-04-08,6.0,6.1,5.95,6.0,874445
2026-04-09,6.0,6.0,5.88,5.91,660837
2026-04-14,5.91,5.98,5.88,5.88,1744469
2026-04-15,5.88,6.01,5.89,5.9,1483185
2026-04-16,5.9,5.98,5.9,5.96,1367410
2026-04-19,5.96,6.01,5.93,5.97,663203
2026-04-20,5.97,6.0,5.9,5.98,603548
2026-04-21,5.98,6.0,5.91,5.94,661473
2026-04-22,5.94,6.21,5.92,6.1,2134193
2026-04-23,6.1,6.17,5.99,6.13,2167893
2026-04-26,6.13,6.15,6.02,6.07,3716298
2026-04-27,6.07,6.18,6.09,6.1,703571
2026-04-28,6.1,6.14,6.03,6.04,625028
2026-04-29,6.04,6.1,5.98,6.0,797914
2026-04-30,6.0,6.1,5.96,6.08,570271
