date,open,high,low,close,volume
2025-03-10,3.9424,4.018,3.9235,3.9897,10591281
2025-03-11,3.9897,4.0369,3.9424,4.018,9052562
2025-03-12,4.018,4.0275,3.9424,3.9424,12967774
2025-03-13,3.9424,3.9802,3.9235,3.9329,6735407
2025-03-16,3.9329,3.9802,3.9329,3.9424,3718888
2025-03-17,3.9424,3.9897,3.9424,3.9424,7163212
2025-03-18,3.9424,4.0747,3.9329,4.018,18034063
2025-03-19,4.018,4.0936,3.9897,4.0275,11681552
2025-03-20,4.0275,4.1976,4.0464,4.1409,18105239
2025-03-23,4.1409,4.2449,4.1598,4.1976,14332070
2025-03-24,4.1976,4.2355,4.122,4.1504,8525297
2025-03-25,4.1504,4.226,4.1315,4.226,6654488
2025-03-26,4.2358,4.2831,4.1884,4.2642,8596910
2025-03-27,4.2642,4.359,4.2642,4.321,10173971
2025-04-03,4.321,4.3305,4.2358,4.3305,3831635
2025-04-06,4.3305,4.2642,4.0747,4.1979,17517633
2025-04-07,4.1979,4.2168,4.0557,4.2073,12688354
2025-04-08,4.2073,4.2831,4.1979,4.2642,15102633
2025-04-09,4.2642,4.2737,4.0747,4.1221,5787523
2025-04-10,4.1221,4.2547,4.1505,4.1505,5787582
2025-04-13,4.1505,4.2168,4.16,4.2073,2625681
2025-04-14,4.2073,4.2547,4.2073,4.2168,4493332
2025-04-15,4.2168,4.321,4.2168,4.2831,12465010
2025-04-16,4.2831,4.4632,4.2737,4.34,18439726
2025-04-17,4.34,4.4063,4.3021,4.3116,5977612
2025-04-22,4.3116,4.4442,4.3305,4.3779,3789332
2025-04-23,4.3779,4.5485,4.3684,4.4916,17317892
2025-04-27,4.4916,4.5295,4.4158,4.4821,10907722
2025-04-28,4.4821,4.5674,4.4253,4.5579,15257903
2025-04-29,4.5579,4.6243,4.5106,4.5106,10424214
2025-04-30,4.5106,4.539,4.3779,4.4063,16630406
2025-05-04,4.4063,4.5295,4.4158,4.52,10669700
2025-05-05,4.52,4.5485,4.4063,4.4348,13380118
2025-05-06,4.4348,4.4537,4.4158,4.4442,3816519
2025-05-07,4.4442,4.5011,4.3969,4.4158,7186945
2025-05-08,4.4158,4.4537,4.3305,4.4348,5911873
2025-05-11,4.4348,4.4537,4.359,4.3684,3333553
2025-05-12,4.3684,4.3874,4.3116,4.321,4285001
2025-05-13,4.321,4.3874,4.34,4.3874,4056732
2025-05-14,4.3874,4.4063,4.34,4.34,2091025
2025-05-15,4.34,4.3779,4.3021,4.3116,1703577
2025-05-18,4.3116,4.359,4.2926,4.2926,2644855
2025-05-19,4.2926,4.2926,4.2358,4.2452,3228070
2025-05-20,4.2452,4.2737,4.2263,4.2547,1709752
2025-05-21,4.2547,4.321,4.2642,4.2737,6032070
2025-05-22,4.2737,4.3495,4.2642,4.3495,9063794
2025-05-25,4.3495,4.4158,4.34,4.34,5764283
2025-05-26,4.34,4.3874,4.321,4.34,6813231
2025-05-27,4.58,4.5,4.38,4.5,11017813
2025-05-28,4.5,4.65,4.49,4.65,20760585
2025-05-29,4.65,4.68,4.55,4.6,11283424
2025-06-01,4.6,4.67,4.57,4.6,6528761
2025-06-02,4.6,4.63,4.47,4.53,4649398
2025-06-03,4.53,4.56,4.47,4.54,5108955
2025-06-04,4.54,4.57,4.51,4.54,2859832
2025-06-10,4.54,4.65,4.55,4.63,6005689
2025-06-11,4.63,4.75,4.63,4.64,14434161
2025-06-12,4.64,4.63,4.48,4.5,5171073
2025-06-15,4.5,4.4,4.15,4.23,5737109
2025-06-16,4.23,4.3,4.23,4.24,2752332
2025-06-17,4.24,4.25,4.16,4.17,4131944
2025-06-18,4.17,4.19,4.08,4.13,2517227
2025-06-19,4.13,4.16,4.02,4.05,3491886
2025-06-22,4.05,4.11,3.92,4.1,3689787
2025-06-23,4.1,4.25,4.11,4.21,4624841
2025-06-24,4.21,4.41,4.26,4.41,5473544
2025-06-25,4.41,4.48,4.38,4.47,5640410
2025-06-29,4.47,4.56,4.44,4.55,6900632
2025-06-30,4.55,4.58,4.46,4.54,5010193
2025-07-01,4.54,4.55,4.47,4.54,3673134
2025-07-02,4.54,4.63,4.51,4.55,6347535
2025-07-06,4.55,4.58,4.53,4.54,2866543
2025-07-07,4.54,4.56,4.49,4.54,3528376
2025-07-09,4.54,4.63,4.5,4.63,8212744
2025-07-10,4.63,4.8,4.61,4.8,17811909
2025-07-13,4.8,4.87,4.72,4.79,7034139
2025-07-14,4.79,4.8,4.72,4.72,3422370
2025-07-15,4.72,4.83,4.71,4.8,10139694
2025-07-16,4.8,4.8,4.71,4.71,2996308
2025-07-17,4.71,4.81,4.72,4.79,3699921
2025-07-20,4.79,4.89,4.75,4.84,6169837
2025-07-21,4.84,4.9,4.74,4.78,7238421
2025-07-22,4.78,4.8,4.63,4.65,9326453
2025-07-23,4.65,4.65,4.65,4.65,0
2025-07-27,4.7,4.75,4.68,4.68,4185627
2025-07-28,4.68,4.7,4.54,4.55,3419367
2025-07-29,4.55,4.58,4.51,4.56,1250076
2025-07-30,4.56,4.6,4.47,4.6,2341775
2025-07-31,4.6,4.65,4.56,4.59,1966637
2025-08-03,4.59,4.59,4.59,4.59,0
2025-08-04,4.59,4.59,4.59,4.59,0
2025-08-05,4.59,4.59,4.59,4.59,0
2025-08-06,4.59,4.59,4.59,4.59,0
2025-08-07,4.59,4.59,4.59,4.59,0
2025-08-10,4.55,4.59,4.52,4.55,2849469
2025-08-11,4.55,4.57,4.52,4.53,1442531
2025-08-12,4.53,4.56,4.48,4.52,2899243
2025-08-13,4.52,4.54,4.36,4.38,5891436
2025-08-14,4.38,4.39,4.26,4.31,2730723
2025-08-17,4.31,4.34,4.19,4.34,5506052
2025-08-18,4.34,4.39,4.32,4.32,2526792
2025-08-19,4.32,4.35,4.28,4.29,1838688
2025-08-20,4.29,4.36,4.28,4.28,3251371
2025-08-21,4.28,4.32,4.26,4.27,2304860
2025-08-24,4.27,4.3,4.25,4.28,2086867
2025-08-25,4.28,4.34,4.26,4.28,3116547
2025-08-26,4.28,4.32,4.25,4.25,2389637
2025-08-27,4.25,4.28,4.24,4.26,1301273
2025-08-28,4.26,4.31,4.23,4.3,4142104
2025-08-31,4.3,4.35,4.18,4.21,3395227
2025-09-01,4.21,4.26,4.19,4.25,2466235
2025-09-02,4.25,4.28,4.2,4.22,2638812
2025-09-03,4.22,4.25,4.18,4.19,4358738
2025-09-07,4.19,4.24,4.18,4.18,2320120
2025-09-08,4.18,4.21,4.13,4.15,4251502
2025-09-09,4.15,4.18,4.11,4.11,2913309
2025-09-10,4.11,4.15,4.09,4.1,2089456
2025-09-11,4.1,4.15,4.1,4.11,2414528
2025-09-14,4.11,4.25,4.12,4.24,4514869
2025-09-15,4.24,4.25,4.14,4.15,2967260
2025-09-16,4.15,4.2,4.11,4.12,2496668
2025-09-17,4.12,4.13,4.07,4.11,2302314
2025-09-18,4.11,4.16,4.01,4.01,2573114
2025-09-21,4.01,4.13,4.03,4.06,2441756
2025-09-22,4.06,4.09,4.04,4.05,880597
2025-09-23,4.05,4.11,4.04,4.05,1413751
2025-09-24,4.05,4.11,4.03,4.11,1661483
2025-09-25,4.11,4.11,4.08,4.1,681683
2025-09-28,4.1,4.16,4.1,4.15,1555496
2025-09-29,4.15,4.18,4.14,4.14,1288007
2025-09-30,4.14,4.18,4.13,4.14,1404577
2025-10-01,4.14,4.18,4.1,4.12,1830563
2025-10-02,4.12,4.15,4.1,4.11,1031972
2025-10-05,4.11,4.17,4.13,4.16,1453572
2025-10-06,4.16,4.18,4.13,4.15,1363341
2025-10-07,4.15,4.16,4.13,4.13,1411993
2025-10-08,4.13,4.15,4.11,4.12,1697280
2025-10-12,4.12,4.14,4.1,4.13,1596010
2025-10-13,4.13,4.17,4.12,4.14,2081018
2025-10-14,4.14,4.18,4.12,4.12,4251278
2025-10-15,4.12,4.16,4.12,4.16,2526886
2025-10-16,4.16,4.22,4.16,4.22,4064963
2025-10-19,4.22,4.32,4.24,4.31,6342641
2025-10-20,4.31,4.34,4.22,4.25,4226648
2025-10-21,4.25,4.26,4.22,4.22,1850090
2025-10-22,4.22,4.26,4.22,4.23,2262475
2025-10-23,4.23,4.3,4.22,4.26,2988110
2025-10-26,4.26,4.33,4.27,4.3,5009692
2025-10-27,4.3,4.37,4.3,4.32,5151944
2025-10-28,4.32,4.35,4.27,4.33,1694440
2025-10-29,4.33,4.36,4.28,4.35,1656368
2025-10-30,4.35,4.35,4.29,4.3,1229858
2025-11-02,4.3,4.32,4.24,4.26,1580698
2025-11-03,4.26,4.34,4.24,4.27,3510022
2025-11-04,4.27,4.34,4.28,4.31,2664625
2025-11-05,4.31,4.35,4.26,4.29,5349026
2025-11-06,4.29,4.33,4.27,4.3,5210667
2025-11-09,4.3,4.32,4.29,4.29,2763847
2025-11-10,4.29,4.31,4.25,4.27,2648044
2025-11-11,4.27,4.36,4.26,4.31,4814778
2025-11-12,4.31,4.36,4.31,4.34,3764716
2025-11-13,4.34,4.43,4.35,4.41,7745282
2025-11-16,4.41,4.48,4.39,4.41,7753353
2025-11-17,4.41,4.51,4.42,4.45,7921214
2025-11-18,4.45,4.48,4.33,4.33,4895382
2025-11-19,4.33,4.39,4.33,4.36,2336638
2025-11-20,4.36,4.45,4.36,4.37,3943850
2025-11-23,4.37,4.48,4.35,4.47,9472954
2025-11-24,4.47,4.5,4.35,4.35,5549089
2025-11-25,4.35,4.42,4.29,4.3,3342732
2025-11-26,4.3,4.36,4.28,4.28,2323093
2025-11-27,4.28,4.32,4.28,4.29,3922310
2025-11-30,4.29,4.38,4.3,4.32,2135649
2025-12-01,4.32,4.37,4.22,4.26,5018754
2025-12-02,4.26,4.29,4.2,4.22,5544338
2025-12-03,4.22,4.31,4.22,4.23,5722391
2025-12-04,4.23,4.28,4.23,4.27,3929679
2025-12-07,4.27,4.35,4.28,4.34,3006858
2025-12-08,4.34,4.4,4.33,4.38,4893678
2025-12-09,4.38,4.41,4.35,4.36,2262596
2025-12-10,4.36,4.42,4.35,4.35,3001200
2025-12-11,4.35,4.52,4.36,4.44,43430870
2025-12-14,4.44,4.57,4.46,4.47,22001058
2025-12-15,4.47,4.54,4.44,4.48,8799597
2025-12-16,4.48,4.5,4.38,4.39,6151948
2025-12-17,4.39,4.41,4.31,4.33,6816324
2025-12-18,4.33,4.33,4.25,4.28,7262379
2025-12-21,4.28,4.31,4.21,4.24,5308712
2025-12-22,4.24,4.3,4.23,4.24,2656049
2025-12-23,4.24,4.28,4.18,4.21,5067093
2025-12-24,4.21,4.27,4.22,4.27,3273392
2025-12-25,4.27,4.29,4.22,4.24,5174980
2025-12-28,4.24,4.29,4.24,4.28,2770653
2025-12-29,4.28,4.3,4.25,4.27,2404947
2025-12-30,4.27,4.3,4.22,4.23,8299521
2025-12-31,4.23,4.25,4.22,4.23,4961567
2026-01-04,4.23,4.24,4.15,4.19,4194896
2026-01-05,4.19,4.21,4.14,4.15,3595227
2026-01-06,4.15,4.18,4.15,4.16,3376494
2026-01-08,4.16,4.2,4.15,4.16,2025191
2026-01-11,4.16,4.33,4.16,4.33,8766727
2026-01-12,4.33,4.35,4.28,4.32,8806449
2026-01-13,4.32,4.36,4.25,4.34,6504446
2026-01-14,4.34,4.35,4.27,4.31,9058995
2026-01-15,4.31,4.33,4.29,4.31,6642830
2026-01-18,4.31,4.36,4.28,4.32,3088027
2026-01-19,4.32,4.53,4.34,4.53,21032745
2026-01-20,4.53,4.82,4.51,4.75,24827239
2026-01-21,4.75,4.91,4.62,4.85,16005014
2026-01-22,4.85,4.96,4.8,4.85,11409380
2026-01-25,4.85,4.87,4.75,4.77,4696443
2026-01-26,4.77,4.94,4.78,4.86,9867046
2026-01-27,4.86,4.93,4.73,4.73,6796578
2026-01-28,4.73,4.91,4.65,4.82,9641752
2026-02-01,4.82,4.89,4.68,4.69,4850882
2026-02-02,4.69,5.1,4.7,5.05,17468997
2026-02-03,5.05,5.19,5.05,5.18,17724750
2026-02-04,5.18,5.23,5.03,5.04,5243496
2026-02-05,5.04,5.2,4.96,5.17,9663411
2026-02-08,5.17,5.42,5.12,5.32,11604380
2026-02-09,5.32,5.38,5.19,5.27,15077177
2026-02-10,5.27,5.5,5.25,5.43,21968735
2026-02-11,5.43,5.51,5.33,5.48,17298839
2026-02-12,5.48,5.63,5.38,5.62,13644115
2026-02-15,5.62,5.7,5.55,5.64,7852329
2026-02-16,5.64,5.71,5.58,5.6,13647575
2026-02-17,5.6,5.81,5.53,5.8,11177076
2026-02-18,5.8,5.86,5.76,5.79,6572138
2026-02-19,5.79,5.82,5.44,5.53,7444044
2026-02-22,5.53,5.55,5.25,5.33,7484645
2026-02-23,5.33,5.66,5.25,5.64,5236093
2026-02-24,5.64,5.75,5.55,5.6,5112855
2026-02-25,5.6,5.63,5.21,5.33,6855295
2026-02-26,5.33,5.6,5.21,5.6,5022588
2026-03-01,5.6,5.48,5.12,5.45,4674446
