date,open,high,low,close,volume
2025-03-10,39.6282,41.1056,39.9952,40.6163,2686982
2025-03-11,40.6163,40.6539,40.0893,40.4657,1057831
2025-03-12,40.4657,40.701,40.2304,40.3528,464653
2025-03-13,40.3528,40.4657,40.1928,40.2304,558592
2025-03-16,40.2304,40.3716,40.0046,40.0516,477511
2025-03-17,40.0516,40.748,40.0046,40.0046,672795
2025-03-18,40.0046,40.0234,39.3082,39.6188,721187
2025-03-19,39.6188,39.6093,38.5554,38.6683,810114
2025-03-20,38.6683,39.0447,38.593,38.7342,270989
2025-03-23,38.7342,39.3929,38.5836,38.9506,679805
2025-03-24,38.9506,39.0447,38.2072,38.3201,659317
2025-03-25,38.3201,38.4895,37.9248,37.9813,403131
2025-03-26,37.9813,38.0095,37.7084,37.8966,561145
2025-03-27,37.8966,38.5836,37.9248,38.3671,298926
2025-04-03,38.3671,38.5554,38.1789,38.3954,293242
2025-04-06,38.3954,37.6896,36.7109,37.3602,838442
2025-04-07,37.3602,37.4073,36.5132,37.3508,538181
2025-04-08,37.3508,38.2542,37.6425,38.0472,365536
2025-04-09,38.0472,38.0472,37.3602,37.6331,406176
2025-04-10,37.6331,38.5836,37.6896,38.3107,438816
2025-04-13,38.3107,39.327,38.8847,39.1012,795241
2025-04-14,39.1012,39.44,39.0071,39.3364,540044
2025-04-15,39.3364,39.4305,39.2235,39.2517,345539
2025-04-16,39.2517,39.3364,38.8753,39.0541,533676
2025-04-17,39.0541,39.2423,38.9318,38.9506,331310
2025-04-22,38.9506,39.4305,38.9694,39.0729,321477
2025-04-23,39.0729,39.4305,39.1294,39.4305,226857
2025-04-27,39.4305,39.8917,39.4305,39.807,669991
2025-04-28,39.807,40.4469,39.8634,40.4469,1010891
2025-04-29,40.4469,40.701,40.2775,40.701,1413265
2025-04-30,40.701,40.8421,40.381,40.5692,1371622
2025-05-04,40.5692,40.6163,40.2304,40.5128,1764929
2025-05-05,43.05,40.28,39.61,40.12,1467038
2025-05-06,40.12,40.2,39.8,39.83,585812
2025-05-07,39.83,39.93,39.5,39.5,416666
2025-05-08,39.5,39.54,39.0,39.4,471967
2025-05-11,39.4,39.59,39.01,39.15,287162
2025-05-12,39.15,39.39,39.0,39.0,321269
2025-05-13,39.0,39.09,38.4,38.51,588418
2025-05-14,38.51,38.6,37.92,38.4,739152
2025-05-15,38.4,39.39,38.3,39.39,435432
2025-05-18,39.39,39.38,38.8,38.82,239902
2025-05-19,38.82,39.0,38.43,38.56,241176
2025-05-20,38.56,38.7,38.0,38.19,417636
2025-05-21,38.19,38.44,37.52,38.3,374895
2025-05-22,38.3,38.4,37.86,37.9,342304
2025-05-25,37.9,38.04,37.74,37.75,213284
2025-05-26,37.75,38.38,37.77,38.06,281622
2025-05-27,38.06,38.32,38.0,38.1,215145
2025-05-28,38.1,38.24,37.93,37.95,313225
2025-05-29,37.95,38.0,37.48,37.5,514882
2025-06-01,37.5,37.83,37.5,37.59,140141
2025-06-02,37.59,37.94,37.55,37.8,190024
2025-06-03,37.8,37.98,37.55,37.72,324542
2025-06-04,37.72,37.85,37.6,37.78,333937
2025-06-10,37.78,38.47,37.79,38.4,418145
2025-06-11,38.4,38.66,38.4,38.5,387397
2025-06-12,38.5,38.31,37.76,37.8,393741
2025-06-15,37.8,36.66,32.0,35.49,526583
2025-06-16,35.49,36.0,35.0,35.0,615262
2025-06-17,35.0,35.4,34.61,34.69,316797
2025-06-18,34.69,34.67,33.5,34.01,366781
2025-06-19,34.01,34.5,34.0,34.13,315911
2025-06-22,34.13,35.0,33.03,34.52,326244
2025-06-23,34.52,34.85,34.35,34.54,404258
2025-06-24,34.54,36.5,35.2,36.39,489622
2025-06-25,36.39,36.89,36.39,36.89,357990
2025-06-29,36.89,37.69,37.25,37.6,308923
2025-06-30,37.6,37.7,37.35,37.57,238043
2025-07-01,37.57,37.67,37.06,37.42,284205
