date,open,high,low,close,volume
2025-03-10,7.34,7.64,7.36,7.56,4460996
2025-03-11,7.56,7.6,7.4,7.44,5460222
2025-03-12,7.44,7.78,7.45,7.59,15515844
2025-03-13,7.59,7.72,7.53,7.54,3453010
2025-03-16,7.54,7.9,7.55,7.74,14183333
2025-03-17,7.74,7.94,7.6,7.61,6823441
2025-03-18,7.61,7.72,7.46,7.5,3231015
2025-03-19,7.5,7.66,7.45,7.59,5270127
2025-03-20,7.59,7.7,7.5,7.7,2720954
2025-03-23,7.7,7.94,7.7,7.85,5697245
2025-03-24,7.85,7.95,7.65,7.69,4965295
2025-03-25,7.69,7.8,7.66,7.78,1684159
2025-03-26,7.78,7.79,7.6,7.65,1785549
2025-03-27,7.65,7.69,7.53,7.61,1612956
2025-04-03,7.61,7.65,7.52,7.59,819156
2025-04-06,7.59,7.4,7.04,7.1,2364320
2025-04-07,7.1,7.21,6.9,7.2,2239243
2025-04-08,7.2,7.3,7.11,7.15,2708535
2025-04-09,7.15,7.3,6.91,6.94,3628396
2025-04-10,6.94,7.33,7.09,7.22,2670594
2025-04-13,7.22,7.3,7.19,7.27,1678135
2025-04-14,7.27,7.53,7.29,7.44,3323294
2025-04-15,7.44,7.65,7.5,7.63,4526101
2025-04-16,7.63,7.67,7.5,7.56,2216561
2025-04-17,7.56,7.72,7.51,7.6,2211665
2025-04-22,7.6,7.67,7.57,7.62,2076232
2025-04-23,7.62,7.85,7.57,7.85,11782242
2025-04-27,7.85,8.17,7.85,8.0,14845682
2025-04-28,8.0,8.11,7.92,7.98,6605955
2025-04-29,7.98,8.1,7.85,7.9,3714151
2025-04-30,7.9,8.59,7.81,8.46,19452677
2025-05-04,8.46,9.03,8.33,8.46,19250667
2025-05-05,8.46,8.55,8.32,8.35,6558582
2025-05-06,8.35,8.55,8.37,8.42,2215133
2025-05-07,8.42,8.75,8.37,8.4,6724398
2025-05-08,8.4,8.5,8.32,8.41,1125789
2025-05-11,8.41,8.8,8.33,8.34,9610909
2025-05-12,8.34,8.44,8.07,8.11,3765193
2025-05-13,8.11,8.37,8.15,8.15,2627581
2025-05-14,8.15,8.26,8.1,8.19,2166193
2025-05-15,8.19,8.25,8.1,8.13,1825761
2025-05-18,8.13,8.18,7.92,7.92,1695954
2025-05-19,7.92,7.98,7.65,7.7,7114941
2025-05-20,7.7,7.97,7.69,7.87,16709774
2025-05-21,7.87,8.07,7.76,7.83,8313790
2025-05-22,7.83,8.18,7.81,8.12,6025588
