date,open,high,low,close,volume
2025-03-10,3.68,3.75,3.67,3.69,896332
2025-03-11,3.69,3.69,3.61,3.62,472968
2025-03-12,3.62,3.68,3.6,3.61,322906
2025-03-13,3.61,3.66,3.59,3.62,903838
2025-03-16,3.62,3.68,3.6,3.62,668385
2025-03-17,3.62,3.64,3.6,3.62,443907
2025-03-18,3.62,3.68,3.61,3.65,601537
2025-03-19,3.65,3.75,3.65,3.68,1259427
2025-03-20,3.68,3.74,3.65,3.69,1257068
2025-03-23,3.69,3.75,3.67,3.67,826647
2025-03-24,3.67,3.73,3.61,3.63,1071936
2025-03-25,3.63,4.14,3.63,3.85,11957934
2025-03-26,3.85,3.96,3.79,3.8,3296717
2025-03-27,3.8,3.86,3.76,3.77,1262326
2025-04-03,3.77,3.96,3.7,3.84,3408250
2025-04-06,3.84,3.7,3.55,3.61,1658273
2025-04-07,3.61,3.65,3.5,3.63,1515478
2025-04-08,3.63,3.78,3.63,3.77,2433343
2025-04-09,3.77,4.17,3.76,3.78,21841332
2025-04-10,3.78,3.97,3.83,3.83,5526334
2025-04-13,3.83,4.05,3.84,3.96,5482817
2025-04-14,3.96,4.1,3.92,3.94,8843909
2025-04-15,3.94,3.96,3.86,3.87,1945465
2025-04-16,3.87,3.95,3.87,3.92,1211174
2025-04-17,3.92,3.94,3.87,3.88,823545
2025-04-22,3.88,3.93,3.88,3.88,987268
2025-04-23,3.88,3.92,3.87,3.89,710894
2025-04-27,3.89,3.98,3.89,3.91,884205
2025-04-28,3.91,3.96,3.9,3.91,646962
2025-04-29,3.91,3.97,3.91,3.93,1009984
2025-04-30,3.93,3.96,3.9,3.92,784582
2025-05-04,3.92,4.45,3.95,4.39,13615117
2025-05-05,4.39,5.19,4.35,4.86,27425262
2025-05-06,4.86,5.24,4.7,4.71,18785833
2025-05-07,4.71,4.82,4.48,4.59,8412852
2025-05-08,4.59,4.59,4.42,4.54,2218875
2025-05-11,4.54,4.73,4.47,4.66,4352913
2025-05-12,4.66,4.94,4.7,4.79,8608210
2025-05-13,4.79,4.88,4.72,4.82,3527491
2025-05-14,4.82,5.25,4.77,5.13,8266370
2025-05-15,5.13,5.47,5.13,5.32,9139832
2025-05-18,5.32,5.45,5.1,5.19,5169256
2025-05-19,5.19,5.2,5.02,5.15,3123884
2025-05-20,5.15,5.29,5.08,5.15,5256691
2025-05-21,5.15,5.19,4.8,4.99,7864673
2025-05-22,4.99,5.02,4.88,4.97,2939680
2025-05-25,4.97,4.98,4.85,4.95,1955797
2025-05-26,4.95,5.27,4.98,5.18,3861551
2025-05-27,5.18,5.28,5.09,5.1,1481466
2025-05-28,5.1,5.25,4.96,4.97,1397565
2025-05-29,4.97,5.06,4.7,4.81,2456781
2025-06-01,4.81,4.88,4.6,4.61,3635616
2025-06-02,4.61,4.8,4.62,4.69,1350265
2025-06-03,4.69,4.8,4.7,4.79,1747003
