date,open,high,low,close,volume
2025-03-10,7.79,7.88,7.63,7.71,55310
2025-03-11,7.71,7.77,7.5,7.7,125968
2025-03-12,7.7,7.74,7.51,7.6,124267
2025-03-13,7.6,7.8,7.6,7.6,32288
2025-03-16,7.6,8.16,7.7,8.0,368462
2025-03-17,8.0,8.1,7.67,7.72,712391
2025-03-18,7.72,7.92,7.76,7.79,426895
2025-03-19,7.79,8.69,7.99,8.43,1582062
2025-03-20,8.43,8.55,8.35,8.49,599954
2025-03-23,8.49,9.14,8.51,9.0,1458808
2025-03-24,9.0,10.8,9.15,10.8,4996542
2025-03-25,10.8,12.4,11.07,11.25,4587370
2025-03-26,11.25,11.89,10.53,11.4,3198470
2025-03-27,11.4,11.7,10.8,10.85,2907660
2025-04-03,10.85,11.79,10.68,11.33,3928592
2025-04-06,11.33,10.94,10.51,10.65,1883751
2025-04-07,10.65,12.05,10.56,11.99,4177829
2025-04-08,11.99,12.45,11.62,11.71,2673473
2025-04-09,11.71,12.8,11.53,11.87,4294937
2025-04-10,11.87,13.3,12.42,12.81,5779436
2025-04-13,12.81,13.13,12.46,12.51,1855044
2025-04-14,12.51,12.83,12.34,12.47,1848420
2025-04-15,12.47,13.99,12.13,13.99,3681837
2025-04-16,13.99,14.16,13.35,13.7,3708355
2025-04-17,13.7,13.87,13.0,13.06,2786994
2025-04-22,13.06,13.37,12.72,12.88,1076531
2025-04-23,12.88,13.72,12.94,13.28,2237082
2025-04-27,13.28,13.44,12.63,12.65,1320813
2025-04-28,12.65,13.79,12.76,12.88,2430749
2025-04-29,12.88,13.25,12.66,12.77,838890
2025-04-30,12.77,12.88,12.5,12.51,1112449
2025-05-04,12.51,12.65,12.2,12.2,1199508
2025-05-05,12.2,12.37,11.71,11.75,1515328
2025-05-06,11.75,12.2,11.58,11.61,2110534
2025-05-07,11.61,11.85,11.13,11.32,1379643
2025-05-08,11.32,11.43,11.03,11.1,1139954
2025-05-11,11.1,11.3,10.75,10.78,1121860
2025-05-12,10.78,11.79,10.85,11.65,3864440
2025-05-13,11.65,11.89,11.33,11.4,1273556
2025-05-14,11.4,11.52,11.15,11.28,775927
2025-05-15,11.28,11.6,11.21,11.3,608280
2025-05-18,11.3,11.42,10.81,10.85,799482
2025-05-19,10.85,10.85,10.44,10.53,741880
2025-05-20,10.53,10.86,10.3,10.76,973214
2025-05-21,10.76,10.85,10.53,10.61,370751
2025-05-22,10.61,10.85,10.54,10.6,565508
2025-05-25,10.6,10.7,10.6,10.61,360574
2025-05-26,10.61,11.5,10.63,11.32,2292544
2025-05-27,11.32,11.48,11.1,11.18,691000
2025-05-28,11.18,11.38,10.8,10.86,621091
2025-05-29,10.86,10.9,10.51,10.63,527561
2025-06-01,10.63,10.97,10.6,10.69,234096
2025-06-02,10.69,10.75,10.48,10.52,422097
2025-06-03,10.52,10.62,10.41,10.45,275366
2025-06-04,10.45,11.2,10.5,10.87,1311357
2025-06-10,10.87,11.11,10.75,10.81,679307
2025-06-11,10.81,11.3,10.77,11.02,802466
2025-06-12,11.02,11.02,10.55,10.58,549406
2025-06-15,10.58,9.98,8.47,9.74,403470
2025-06-16,9.74,9.98,9.41,9.6,485245
2025-06-17,9.6,9.81,9.01,9.04,510340
2025-06-18,9.04,9.25,8.74,9.06,417051
2025-06-19,9.06,9.22,8.67,8.73,271959
2025-06-22,8.73,9.3,8.36,9.2,1285949
2025-06-23,9.2,9.65,9.1,9.3,1403775
2025-06-24,9.3,9.8,9.46,9.61,963416
2025-06-25,9.61,9.75,9.62,9.69,588682
2025-06-29,9.69,10.18,9.74,9.88,1075291
2025-06-30,9.88,10.09,9.71,9.71,813412
2025-07-01,9.71,10.11,9.73,9.91,560911
2025-07-02,9.91,10.4,9.99,10.22,1108882
2025-07-06,10.22,10.39,10.02,10.12,432430
2025-07-07,10.12,10.24,9.86,10.03,1139499
2025-07-09,10.03,10.16,9.91,9.93,280474
2025-07-10,9.93,10.16,9.96,10.07,373014
2025-07-13,10.07,10.17,9.93,9.96,358111
2025-07-14,9.96,11.01,10.0,10.8,3159655
2025-07-15,10.8,11.1,10.5,10.56,1710463
2025-07-16,10.56,10.7,10.35,10.42,1064110
2025-07-17,10.42,11.09,10.43,10.61,1931295
2025-07-20,10.61,10.8,10.5,10.52,544789
2025-07-21,10.52,10.77,10.42,10.46,522291
2025-07-22,10.46,10.57,10.13,10.25,470562
2025-07-23,10.25,10.25,10.25,10.25,0
2025-07-27,10.32,10.5,10.22,10.25,228048
2025-07-28,10.25,10.33,9.99,10.01,381567
2025-07-29,10.01,10.18,9.95,10.1,295199
2025-07-30,10.1,10.3,9.92,9.94,305767
2025-07-31,9.94,10.28,9.91,10.26,280698
2025-08-03,10.26,10.26,10.26,10.26,0
2025-08-04,10.26,10.26,10.26,10.26,0
2025-08-05,10.26,10.26,10.26,10.26,0
2025-08-06,10.26,10.26,10.26,10.26,0
2025-08-07,10.26,10.26,10.26,10.26,0
2025-08-10,11.41,11.7,11.35,11.5,1154910
2025-08-11,11.5,12.0,11.37,12.0,1693478
2025-08-12,12.0,12.44,11.93,12.42,1273617
2025-08-13,12.42,12.89,12.35,12.85,1256114
2025-08-14,12.85,13.04,12.75,12.87,593758
2025-08-17,12.87,12.93,12.22,12.37,480736
2025-08-18,12.37,13.9,12.4,13.9,2584335
