date,open,high,low,close,volume
2025-03-10,23.3646,23.7376,22.8247,22.9817,3301182
2025-03-11,22.9817,23.2468,22.5792,22.8737,3190154
2025-03-12,22.8737,24.7881,22.9719,24.2579,8498004
2025-03-13,24.2579,25.328,24.4936,24.8371,4084416
2025-03-16,24.8371,25.2298,23.8947,24.5426,3487322
2025-03-17,24.5426,25.0433,24.0518,25.0433,3035338
2025-03-18,25.0433,26.9969,25.0826,25.1709,6293333
2025-03-19,25.1709,25.4753,24.3267,24.3267,3921209
2025-03-20,24.3267,25.1218,24.3365,24.523,3734396
2025-03-23,24.523,24.739,24.15,24.3463,1757186
2025-03-24,24.3463,24.5132,23.4628,23.8554,2788314
2025-03-25,23.8554,24.199,23.3646,23.4628,2236476
2025-03-26,23.4628,23.8751,23.3155,23.4628,1719668
2025-03-27,23.4628,23.8554,23.021,23.0701,3213046
2025-04-03,23.0701,24.1009,22.589,24.0518,2176009
2025-04-06,24.0518,23.6591,22.1865,22.5792,4734856
2025-04-07,22.5792,22.9621,21.1067,22.6676,6750560
2025-04-08,22.6676,23.1683,22.6872,22.7068,2181931
2025-04-09,22.7068,22.7756,21.2048,21.3521,3534095
2025-04-10,21.3521,22.5792,21.892,21.892,5239328
2025-04-13,21.892,22.3829,21.6859,22.1473,2769848
2025-04-14,22.1473,22.4516,21.8135,21.892,3490634
2025-04-15,21.892,23.0603,21.9411,22.6578,7507014
2025-04-16,22.6578,22.9326,22.216,22.3829,3411131
2025-04-17,22.3829,22.7756,22.2945,22.6774,2195431
2025-04-22,22.6774,22.8737,22.2553,22.3829,1301178
2025-04-23,22.3829,23.0504,22.4418,22.8737,3430409
2025-04-27,22.8737,23.7573,22.9719,23.6787,6437196
2025-04-28,23.6787,23.8849,23.5118,23.7671,5059047
2025-04-29,23.7671,24.0518,23.3646,23.3646,2134502
2025-04-30,23.3646,23.8653,23.2664,23.5609,1973865
2025-05-04,23.5609,24.6408,23.6689,24.3463,5983951
2025-05-05,24.3463,24.7881,24.199,24.2187,3818283
2025-05-06,24.2187,24.5426,24.199,24.307,4043699
2025-05-07,24.307,24.4052,23.0995,23.3744,4735923
2025-05-08,23.3744,23.3646,22.5105,22.8737,3590096
2025-05-11,22.8737,23.0701,22.2258,22.2847,2707263
2025-05-12,22.2847,22.5498,22.0589,22.1865,1970735
2025-05-13,22.1865,22.9719,22.2356,22.9719,4124737
2025-05-14,22.9719,23.3646,22.7068,22.8443,3185144
2025-05-15,22.8443,23.0112,22.5792,22.6774,1213971
2025-05-18,22.6774,23.0701,22.3338,22.432,2472423
2025-05-19,22.432,22.5792,22.0982,22.2356,1842623
2025-05-20,22.2356,22.5792,22.2847,22.4811,930549
2025-05-21,22.4811,22.7265,22.3829,22.3829,7447852
2025-05-22,22.3829,22.4712,22.0393,22.108,2362547
2025-05-25,22.108,22.54,22.108,22.4516,1652572
2025-05-26,22.4516,23.1388,22.4909,22.7756,9159234
2025-05-27,22.7756,23.1093,22.7854,23.0504,4465777
2025-05-28,23.0504,23.3253,22.9425,23.3253,9579780
2025-05-29,23.3253,23.61,23.2173,23.3646,6008781
2025-06-01,23.3646,23.5609,22.8737,23.1192,1854529
2025-06-02,23.1192,23.2664,22.2553,22.3829,3852630
2025-06-03,22.3829,22.5792,22.1178,22.2454,5462670
2025-06-04,22.2454,22.3829,22.1375,22.3633,1456065
2025-06-10,22.3633,22.6283,22.2651,22.5301,2234090
2025-06-11,22.5301,22.8737,22.3829,22.8737,5372863
2025-06-12,22.8737,23.0014,22.2945,22.2945,1976856
2025-06-15,22.2945,21.4012,19.1923,19.8305,9505629
2025-06-16,19.8305,20.2231,19.1334,19.1923,6075853
2025-06-17,19.1923,19.5752,18.4561,18.5248,4326874
2025-06-18,18.5248,19.0353,18.0339,19.0353,2502420
2025-06-19,19.0353,19.1433,18.3579,18.6524,2910333
2025-06-22,18.6524,19.1433,17.7689,19.0451,4680269
2025-06-23,19.0451,19.6341,19.0451,19.2905,4167277
2025-06-24,19.2905,21.0772,19.8403,21.0085,13057996
2025-06-25,21.0085,21.4012,20.6649,21.0085,3772147
2025-06-29,21.0085,21.5681,20.9103,21.0183,5569915
2025-06-30,21.0183,21.1459,20.3704,21.0772,4899553
2025-07-01,21.0772,21.0772,20.5471,20.7042,2922652
2025-07-02,20.7042,21.4012,20.6256,21.3226,6816132
2025-07-06,21.3226,21.8822,21.303,21.411,5535981
2025-07-07,21.411,21.6957,21.1165,21.2048,3195607
2025-07-09,21.2048,21.303,20.8612,21.0576,2294286
2025-07-10,21.0576,21.2932,21.0085,21.0576,1959804
2025-07-13,21.0576,21.4895,20.7827,20.7827,1326837
2025-07-14,20.7827,21.1361,20.7238,20.8416,1698556
2025-07-15,20.8416,21.0281,20.8122,20.9103,2584306
2025-07-16,20.9103,21.0576,20.6355,20.6355,3043800
2025-07-17,20.6355,21.0085,20.606,20.9496,2713110
2025-07-20,20.9496,21.9902,21.0281,21.892,7203329
2025-07-21,21.892,22.2553,21.7939,21.8135,4828235
2025-07-22,21.8135,21.9608,21.2834,21.3619,2025673
2025-07-23,21.3619,21.3619,21.3619,21.3619,0
2025-07-27,22.1865,22.7756,22.1865,22.2454,4351684
2025-07-28,22.2454,22.432,21.5975,21.5975,3759461
2025-07-29,21.5975,22.2847,21.3128,22.0884,3970079
2025-07-30,22.0884,22.4222,21.4306,21.6859,3526633
2025-07-31,21.6859,22.1276,21.5484,22.0884,1577414
2025-08-03,22.0884,22.0884,22.0884,22.0884,0
2025-08-04,22.0884,22.0884,22.0884,22.0884,0
2025-08-05,22.0884,22.0884,22.0884,22.0884,0
2025-08-06,22.0884,22.0884,22.0884,22.0884,0
2025-08-07,22.0884,22.0884,22.0884,22.0884,0
2025-08-10,21.7939,23.0112,21.9018,22.9719,7933210
2025-08-11,22.9719,23.3548,22.5203,22.6774,3697435
2025-08-12,22.6774,23.1683,22.7167,22.8345,3012280
2025-08-13,22.8345,23.0603,22.2945,22.3829,2691033
2025-08-14,22.3829,22.805,22.3043,22.697,1980117
2025-08-17,22.697,23.0014,22.589,22.8247,1473272
2025-08-18,22.8247,23.502,22.8345,23.2468,3538424
2025-08-19,23.2468,23.6984,23.1683,23.61,4290563
2025-08-20,23.61,23.7573,23.0799,23.2664,1700265
2025-08-21,23.2664,23.5609,23.0995,23.2173,1578438
2025-08-24,23.2173,23.4137,22.7658,22.8737,2833028
2025-08-25,22.8737,23.0112,22.6283,22.7265,1008713
2025-08-26,22.7265,22.9523,22.3927,22.7756,1932387
2025-08-27,22.7756,22.8737,22.3829,22.432,1762889
2025-08-28,22.432,22.9032,22.4418,22.7559,1127391
2025-08-31,22.7559,23.0603,21.892,21.892,1532079
2025-09-01,21.892,22.3338,21.8822,22.2847,1382772
2025-09-02,22.2847,22.3829,21.7546,21.892,1232155
2025-09-03,21.892,22.0393,21.2736,21.3914,4493373
2025-09-07,21.3914,22.0098,21.4012,21.6957,6511379
2025-09-08,21.6957,22.0491,21.5288,21.6761,3436390
