date,open,high,low,close,volume
2025-03-10,22.8118,22.9887,22.5976,22.7187,779247
2025-03-11,22.7187,22.7094,22.3928,22.5976,782293
2025-03-12,22.5976,22.7652,22.4766,22.5976,1400838
2025-03-13,22.5976,22.7839,22.5325,22.5604,1261877
2025-03-16,22.5604,22.8118,22.5976,22.6721,1021014
2025-03-17,22.6721,22.7559,22.188,22.188,2034903
2025-03-18,22.188,22.3463,22.0017,22.1135,1913296
2025-03-19,22.1135,22.2811,21.4617,21.4617,2182279
2025-03-20,21.4617,22.0204,21.4617,21.5641,2835766
2025-03-23,21.5641,21.7969,21.2476,21.2941,1980759
2025-03-24,21.2941,21.4803,21.0707,21.1358,2124008
2025-03-25,21.1358,21.8155,21.1638,21.3686,2885534
2025-03-26,21.3686,21.6014,21.3686,21.6014,1124377
2025-03-27,21.6014,21.6945,21.3127,21.6945,1826510
2025-04-03,21.6945,21.5828,21.322,21.5176,710685
2025-04-06,21.5176,21.1079,19.3668,20.4841,2620555
2025-04-07,20.4841,20.4561,19.8975,20.2978,1949361
2025-04-08,20.2978,21.3593,20.4841,21.2755,2382692
2025-04-09,21.2755,21.322,20.512,20.512,1037815
2025-04-10,20.512,21.3593,20.9682,21.1545,1142062
2025-04-13,21.1545,21.6945,21.2289,21.6666,1317339
2025-04-14,21.6666,22.1228,21.7038,22.0855,1717583
2025-04-15,22.0855,22.2345,21.7131,21.7969,1332193
2025-04-16,21.7969,21.8807,21.471,21.5083,1185757
2025-04-17,21.5083,21.6945,21.3686,21.3872,594420
2025-04-22,21.3872,21.6479,21.35,21.4152,1146972
2025-04-23,21.4152,21.8807,21.5176,21.8528,3287357
2025-04-27,21.8528,21.8807,21.4896,21.62,2345222
2025-04-28,23.22,22.3,22.02,22.18,1879785
2025-04-29,22.18,22.22,21.9,21.94,1494821
2025-04-30,21.94,22.07,21.8,21.85,1644719
2025-05-04,21.85,22.3,21.85,22.24,1190739
2025-05-05,22.24,23.06,22.3,23.01,4063587
2025-05-06,23.01,23.1,22.85,22.93,606621
2025-05-07,22.93,22.92,22.5,22.54,930539
2025-05-08,22.54,22.79,22.34,22.37,868022
2025-05-11,22.37,22.6,22.19,22.21,324443
2025-05-12,22.21,22.39,22.18,22.19,245409
2025-05-13,22.19,22.38,22.16,22.17,293257
2025-05-14,22.17,22.3,21.93,22.1,492186
2025-05-15,22.1,22.21,21.87,22.0,627828
2025-05-18,22.0,22.11,21.86,21.87,321935
2025-05-19,21.87,21.95,21.65,21.68,433425
2025-05-20,21.68,21.74,21.28,21.56,1304730
2025-05-21,21.56,21.64,21.32,21.35,574526
2025-05-22,21.35,21.5,21.16,21.44,533284
2025-05-25,21.44,22.17,21.44,22.17,1479187
2025-05-26,22.17,22.33,22.0,22.27,1046554
2025-05-27,22.27,22.5,22.03,22.5,963882
2025-05-28,22.5,22.65,22.2,22.2,952670
2025-05-29,22.2,22.45,22.0,22.01,645902
2025-06-01,22.01,22.2,21.8,22.12,805678
2025-06-02,22.12,22.24,21.91,21.98,640375
2025-06-03,21.98,22.22,21.94,22.21,569108
2025-06-04,22.21,22.54,22.26,22.37,727703
2025-06-10,22.37,23.21,22.49,23.1,2751786
2025-06-11,23.1,23.49,22.9,23.21,2542286
2025-06-12,23.21,23.0,22.37,22.6,1506466
2025-06-15,22.6,21.9,20.3,21.41,1235428
2025-06-16,21.41,21.94,21.0,21.32,781709
2025-06-17,21.32,21.47,20.86,21.16,908816
2025-06-18,21.16,22.0,19.66,22.0,1616688
2025-06-19,22.0,21.9,21.0,21.0,592821
2025-06-22,21.0,22.2,20.3,22.2,808747
2025-06-23,22.2,23.0,21.7,23.0,2104028
2025-06-24,23.0,23.78,22.8,23.69,3602032
2025-06-25,23.69,24.25,23.37,24.25,2558121
2025-06-29,24.25,24.35,24.04,24.04,1412719
2025-06-30,24.04,24.36,23.85,23.91,1672348
2025-07-01,23.91,24.05,23.45,23.59,1131237
2025-07-02,23.59,23.7,23.17,23.65,1470201
2025-07-06,23.65,23.9,23.49,23.5,1016467
2025-07-07,23.5,23.65,23.02,23.13,978399
2025-07-09,23.13,23.35,22.88,23.0,796575
2025-07-10,23.0,23.23,22.94,23.11,882871
2025-07-13,23.11,23.7,23.04,23.51,1982036
2025-07-14,23.51,24.3,23.68,23.8,5154810
2025-07-15,23.8,23.97,23.61,23.61,1152396
2025-07-16,23.61,23.75,23.25,23.3,999843
2025-07-17,23.3,23.57,23.2,23.2,811448
2025-07-20,23.2,23.98,23.3,23.55,943896
2025-07-21,23.55,23.76,23.22,23.28,938415
2025-07-22,23.28,23.45,23.06,23.08,528059
2025-07-23,23.08,23.08,23.08,23.08,0
2025-07-27,23.25,23.37,23.11,23.23,642500
2025-07-28,23.23,23.3,22.7,22.7,1169988
2025-07-29,22.7,22.88,22.3,22.49,644860
2025-07-30,22.49,22.81,22.32,22.33,797990
2025-07-31,22.33,22.6,22.01,22.45,981016
2025-08-03,22.45,22.45,22.45,22.45,0
2025-08-04,22.45,22.45,22.45,22.45,0
2025-08-05,22.45,22.45,22.45,22.45,0
2025-08-06,22.45,22.45,22.45,22.45,0
2025-08-07,22.45,22.45,22.45,22.45,0
2025-08-10,22.5,22.9,22.46,22.89,1447026
2025-08-11,22.89,23.19,22.7,22.75,1117482
2025-08-12,22.75,22.84,22.53,22.6,334373
2025-08-13,22.6,23.06,22.55,22.73,1775749
2025-08-14,22.73,23.13,22.5,22.65,667763
2025-08-17,22.65,22.74,22.49,22.7,489839
2025-08-18,22.7,22.82,22.6,22.7,477782
2025-08-19,22.7,23.17,22.6,23.1,1703538
2025-08-20,23.1,23.44,23.04,23.1,1383535
2025-08-21,23.1,23.12,22.75,22.95,524524
2025-08-24,22.95,23.15,22.75,23.1,622314
2025-08-25,23.1,23.2,22.91,23.0,365330
2025-08-26,23.0,23.1,22.71,22.74,350344
2025-08-27,22.74,22.87,22.47,22.6,534943
2025-08-28,22.6,22.86,22.55,22.7,536160
2025-08-31,22.7,23.0,22.25,22.27,910418
2025-09-01,22.27,22.43,22.1,22.29,488657
2025-09-02,22.29,22.39,22.22,22.24,415647
2025-09-03,22.24,22.34,21.92,22.16,460223
2025-09-07,22.16,22.38,21.77,21.77,1238874
2025-09-08,21.77,21.97,21.77,21.8,389880
2025-09-09,21.8,21.97,21.7,21.71,234379
2025-09-10,21.71,21.78,21.48,21.5,452828
2025-09-11,21.5,21.76,21.5,21.73,453302
2025-09-14,21.73,21.86,21.55,21.6,212400
2025-09-15,21.6,21.8,20.82,21.31,807631
2025-09-16,21.31,21.57,21.05,21.07,460875
2025-09-17,21.07,21.27,21.03,21.05,207454
2025-09-18,21.05,21.25,20.9,21.05,865207
2025-09-21,21.05,21.25,20.8,21.1,569921
2025-09-22,21.1,21.44,20.98,21.32,262482
