date,open,high,low,close,volume
2025-03-10,17.89,18.06,17.52,18.0,1771290
2025-03-11,18.0,17.98,17.4,17.74,501497
2025-03-12,17.74,18.18,16.95,16.96,1391324
2025-03-13,16.96,17.45,16.86,17.31,761701
2025-03-16,17.31,17.49,16.96,17.1,722745
2025-03-17,17.1,18.45,17.1,17.5,1240206
2025-03-18,17.5,18.0,17.54,17.64,2500950
2025-03-19,17.64,18.43,17.35,17.45,3185481
2025-03-20,17.45,17.94,17.4,17.58,1307755
2025-03-23,17.58,17.8,17.47,17.5,533440
2025-03-24,17.5,17.94,17.5,17.81,2061251
2025-03-25,17.81,18.29,17.7,17.8,1029706
2025-03-26,17.8,17.97,17.31,17.52,544975
2025-03-27,17.52,17.65,17.45,17.53,520779
2025-04-03,17.53,17.85,17.1,17.8,821271
2025-04-06,17.8,17.45,16.8,17.05,739443
2025-04-07,17.05,17.24,16.6,17.12,647090
2025-04-08,17.12,18.19,17.2,17.75,2012841
2025-04-09,17.75,17.7,16.8,17.17,704219
2025-04-10,17.17,17.89,17.3,17.87,6306707
2025-04-13,17.87,19.2,17.92,19.17,5780535
2025-04-14,19.17,19.31,18.7,19.18,2189789
2025-04-15,19.18,19.58,19.08,19.41,2816351
2025-04-16,19.41,20.2,19.15,19.98,3629311
2025-04-17,19.98,19.97,19.35,19.63,1361274
2025-04-22,19.63,20.33,19.4,19.65,1059555
2025-04-23,19.65,19.7,19.08,19.1,1985806
2025-04-27,19.1,19.29,18.89,19.04,727011
2025-04-28,19.04,19.4,19.04,19.4,1421245
2025-04-29,19.4,19.65,19.25,19.43,1149378
2025-04-30,19.43,20.03,19.2,20.0,1962862
2025-05-04,20.0,20.47,19.87,20.41,1568284
2025-05-05,20.41,20.7,20.15,20.39,1024743
2025-05-06,20.39,21.98,20.19,21.9,3277498
2025-05-07,21.9,21.68,20.92,21.4,2535808
2025-05-08,21.4,21.9,21.07,21.9,1641897
2025-05-11,21.9,22.49,21.24,21.66,1113307
2025-05-12,21.66,21.75,21.18,21.6,313069
2025-05-13,21.6,22.1,21.11,21.92,1357335
2025-05-14,21.92,21.81,21.2,21.2,1166873
2025-05-15,21.2,21.8,21.03,21.64,826025
2025-05-18,21.64,22.44,21.6,22.34,1676823
2025-05-19,22.34,23.88,22.22,22.43,3847985
2025-05-20,22.43,22.5,21.66,22.04,1934285
2025-05-21,22.04,22.34,21.8,21.8,1033434
2025-05-22,21.8,21.99,21.33,21.55,390645
2025-05-25,21.55,22.17,21.26,22.12,787433
2025-05-26,22.12,22.94,21.9,22.68,1034855
2025-05-27,22.68,23.0,22.25,22.3,823484
2025-05-28,22.3,22.49,21.65,21.65,905170
2025-05-29,21.65,23.88,21.3,23.88,1089032
2025-06-01,23.88,23.29,21.84,21.85,1215365
2025-06-02,21.85,22.04,21.03,21.16,1081534
2025-06-03,21.16,21.67,20.7,21.35,16195115
2025-06-04,21.35,21.6,20.6,20.6,1344835
2025-06-10,20.6,20.86,20.36,20.41,738564
2025-06-11,20.41,20.64,19.97,20.13,1321884
2025-06-12,20.13,20.25,19.25,19.43,1197203
2025-06-15,19.43,18.9,17.51,18.43,1243701
2025-06-16,18.43,19.15,18.33,18.39,1014047
2025-06-17,18.39,18.65,18.0,18.03,579736
2025-06-18,18.03,18.04,17.31,17.8,819477
2025-06-19,17.8,18.29,17.2,17.2,1506061
2025-06-22,17.2,18.59,17.0,18.55,1589685
2025-06-23,18.55,18.9,18.04,18.26,1959316
2025-06-24,18.26,19.43,18.44,19.3,1720991
2025-06-25,19.3,20.0,19.25,19.98,1766443
2025-06-29,19.98,20.75,19.99,20.02,2971052
2025-06-30,20.02,21.38,19.6,21.01,13187077
2025-07-01,21.01,21.35,20.04,20.04,2173743
2025-07-02,20.04,20.17,19.75,19.93,1626428
2025-07-06,19.93,20.09,19.33,19.51,1792067
2025-07-07,19.51,19.71,19.12,19.16,2050151
2025-07-09,19.16,19.4,18.92,18.98,1742434
2025-07-10,18.98,19.2,18.84,18.95,2524208
2025-07-13,18.95,19.0,18.5,18.65,1738684
2025-07-14,18.65,18.92,18.6,18.72,2885161
2025-07-15,18.72,18.91,18.5,18.75,8771765
2025-07-16,18.75,19.45,18.78,18.92,2783145
2025-07-17,18.92,19.27,18.83,18.9,1910299
2025-07-20,18.9,19.17,18.85,18.85,1915959
2025-07-21,18.85,18.98,18.44,18.46,1616373
2025-07-22,18.46,18.55,17.88,17.92,2074686
2025-07-23,17.92,17.92,17.92,17.92,0
2025-07-27,17.66,18.32,17.67,18.15,2371132
2025-07-28,18.15,18.35,17.7,17.7,4812621
2025-07-29,17.7,17.84,17.53,17.63,726668
2025-07-30,17.63,17.76,17.22,17.31,1155158
2025-07-31,17.31,17.9,17.11,17.8,772902
2025-08-03,17.8,17.8,17.8,17.8,0
2025-08-04,17.8,17.8,17.8,17.8,0
2025-08-05,17.8,17.8,17.8,17.8,0
2025-08-06,17.8,17.8,17.8,17.8,0
2025-08-07,17.8,17.8,17.8,17.8,0
2025-08-10,20.07,20.64,20.15,20.32,2834938
2025-08-11,20.32,20.9,20.25,20.41,4017120
2025-08-12,20.41,20.41,19.54,19.67,2529782
2025-08-13,19.67,19.75,19.1,19.11,2273828
2025-08-14,19.11,19.4,19.05,19.3,938722
2025-08-17,19.3,19.55,18.78,19.01,1496080
2025-08-18,19.01,19.48,19.11,19.25,1748545
2025-08-19,19.25,20.31,19.3,20.02,4307149
2025-08-20,20.02,20.44,19.82,20.16,1571509
2025-08-21,20.16,20.32,19.95,20.18,1647693
2025-08-24,20.18,20.3,19.67,19.7,2969265
2025-08-25,19.7,19.9,19.6,19.76,1211680
2025-08-26,19.76,19.86,19.0,19.12,2065274
2025-08-27,19.12,19.4,18.92,19.4,688436
2025-08-28,19.4,19.69,19.27,19.33,595317
2025-08-31,19.33,19.57,18.95,19.07,655169
2025-09-01,19.07,19.32,18.9,18.91,957796
2025-09-02,18.91,19.27,18.7,18.99,1069481
2025-09-03,18.99,19.16,18.72,18.85,338960
2025-09-07,18.85,19.09,18.51,18.66,645028
2025-09-08,18.66,19.14,18.57,18.86,1154982
2025-09-09,18.86,19.15,18.88,19.1,1930478
2025-09-10,19.1,19.44,18.94,19.22,937353
2025-09-11,19.22,19.65,19.26,19.5,1632116
2025-09-14,19.5,20.3,19.51,20.2,2060157
2025-09-15,20.2,20.9,20.11,20.57,3176152
2025-09-16,20.57,20.8,19.81,20.35,3307199
2025-09-17,20.35,20.35,19.75,20.0,1215508
2025-09-18,20.0,20.3,19.54,20.25,1030477
2025-09-21,20.25,20.9,19.9,19.93,1027033
2025-09-22,19.93,20.18,19.77,19.77,397093
2025-09-23,19.77,20.35,19.78,19.94,569928
2025-09-24,19.94,20.12,19.81,19.97,325865
2025-09-25,19.97,20.52,20.0,20.3,1487049
2025-09-28,20.3,22.05,20.42,21.89,6929443
2025-09-29,21.89,21.99,21.49,21.92,2689355
2025-09-30,21.92,22.0,21.53,21.58,3533407
2025-10-01,21.58,21.82,20.77,21.0,2963248
2025-10-02,21.0,21.05,20.6,21.0,2662436
2025-10-05,21.0,22.9,21.11,22.51,3255644
2025-10-06,22.51,23.39,22.23,23.0,3610415
2025-10-07,23.0,23.8,22.91,23.37,2480946
2025-10-08,23.37,23.68,22.95,23.26,913802
2025-10-12,23.26,23.3,22.95,23.0,2864750
2025-10-13,23.0,24.3,23.0,23.99,2914525
2025-10-14,23.99,24.3,23.8,23.99,1111425
2025-10-15,23.99,25.3,23.99,25.21,2003762
2025-10-16,25.21,25.8,24.9,25.51,2109477
2025-10-19,25.51,26.25,25.25,26.19,2312754
2025-10-20,26.19,26.5,25.9,26.36,1698596
2025-10-21,26.36,26.4,25.78,26.21,501061
2025-10-22,26.21,26.47,26.09,26.4,626188
2025-10-23,26.4,26.89,26.1,26.69,621534
2025-10-26,26.69,27.8,26.62,27.0,1805302
2025-10-27,27.0,27.47,26.25,26.71,942538
2025-10-28,26.71,27.0,26.51,26.72,1174078
2025-10-29,26.72,26.98,25.51,26.8,846562
2025-10-30,26.8,27.1,26.5,26.6,2875228
2025-11-02,26.6,26.97,26.01,26.01,818196
2025-11-03,26.01,26.8,26.06,26.8,1677091
2025-11-04,26.8,27.24,26.5,26.83,654276
2025-11-05,26.83,27.1,25.9,26.57,706224
2025-11-06,26.57,27.49,26.01,27.01,1203083
2025-11-09,27.01,27.2,26.58,26.63,577505
2025-11-10,26.63,26.89,25.8,25.83,1453253
2025-11-11,25.83,26.19,24.73,24.98,2756676
2025-11-12,24.98,25.2,24.85,25.2,1234323
2025-11-13,25.2,25.75,24.81,25.7,1961772
2025-11-16,25.7,25.94,25.45,25.65,1055345
2025-11-17,25.65,25.74,25.3,25.4,992563
2025-11-18,25.4,25.69,25.0,25.0,444902
2025-11-19,25.0,25.46,24.75,25.33,875978
2025-11-20,25.33,25.69,25.19,25.23,489875
2025-11-23,25.23,28.65,25.2,27.98,3722713
2025-11-24,27.98,28.11,27.14,27.3,2073920
2025-11-25,27.3,28.19,27.02,27.99,1790385
2025-11-26,27.99,27.98,27.16,27.42,2757103
2025-11-27,27.42,27.4,27.1,27.38,879476
2025-11-30,27.38,27.5,27.2,27.37,3343343
2025-12-01,27.37,28.35,25.68,25.8,7951189
2025-12-02,25.8,26.0,24.55,24.62,2097922
2025-12-03,24.62,25.19,24.6,24.7,1079972
2025-12-04,24.7,24.88,23.83,24.0,3253198
2025-12-07,24.0,24.25,23.9,24.03,941894
2025-12-08,24.03,24.36,23.93,24.36,540641
2025-12-09,24.36,24.53,24.14,24.3,648278
2025-12-10,24.3,25.01,24.15,25.01,713201
2025-12-11,25.01,25.35,24.82,24.9,1108653
2025-12-14,24.9,25.76,25.0,25.5,1182399
2025-12-15,25.5,26.08,25.5,25.95,3151140
2025-12-16,25.95,26.49,26.11,26.4,1311702
2025-12-17,26.4,26.57,25.81,26.1,1292950
2025-12-18,26.1,26.3,25.8,25.8,534466
2025-12-21,25.8,26.34,25.76,26.24,544819
2025-12-22,26.24,27.79,26.02,26.8,2563303
2025-12-23,26.8,27.5,26.81,27.48,1620775
2025-12-24,27.48,28.2,26.85,26.94,1121805
2025-12-25,26.94,27.28,26.45,26.56,1490516
2025-12-28,26.56,26.8,26.25,26.39,1317081
2025-12-29,26.39,26.69,25.95,26.16,638868
2025-12-30,26.16,26.4,25.75,25.78,486735
2025-12-31,25.78,26.02,25.54,25.75,679267
2026-01-04,25.75,26.39,25.57,25.65,348294
2026-01-05,25.65,26.0,24.41,24.6,889038
2026-01-06,24.6,25.42,24.65,25.2,903934
