date,open,high,low,close,volume
2025-03-10,2.3797,2.4093,2.3501,2.3698,8017106
2025-03-11,2.3698,2.3599,2.3204,2.3303,5995556
2025-03-12,2.3303,2.3599,2.3106,2.3204,6458849
2025-03-13,2.3204,2.3501,2.3106,2.3106,7513521
2025-03-16,2.3106,2.3599,2.3106,2.3303,11479510
2025-03-17,2.3303,2.3599,2.3204,2.3204,8972770
2025-03-18,2.3204,2.4093,2.3204,2.3599,17065844
2025-03-19,2.3599,2.4192,2.3599,2.3599,11752887
2025-03-20,2.3599,2.3896,2.3402,2.3501,4840993
2025-03-23,2.3501,2.3698,2.3303,2.3303,8545187
2025-03-24,2.3303,2.3599,2.3204,2.3204,6972738
2025-03-25,2.3204,2.3402,2.2711,2.2908,9758389
2025-03-26,2.2908,2.3698,2.3204,2.3303,8718892
2025-03-27,2.3303,2.3501,2.3106,2.3303,3794897
2025-04-03,2.3303,2.3402,2.3106,2.3303,3368489
2025-04-06,2.3303,2.2711,2.2118,2.2316,7296333
2025-04-07,2.2316,2.2414,2.1723,2.2316,5792880
2025-04-08,2.2316,2.2612,2.2414,2.2513,3470011
2025-04-09,2.2513,2.3896,2.2414,2.2612,19599631
2025-04-10,2.2612,2.3402,2.2908,2.3007,6785414
2025-04-13,2.3007,2.5969,2.3402,2.5377,99859664
2025-04-14,2.5377,2.6265,2.5377,2.5772,30169482
2025-04-15,2.5772,2.7648,2.587,2.6858,67114503
2025-04-16,2.6858,2.7154,2.6463,2.6463,24538089
2025-04-17,2.6463,2.7845,2.6364,2.7648,35066725
2025-04-22,2.7648,2.8438,2.7352,2.745,20232333
2025-04-23,2.745,2.8734,2.7154,2.824,38168381
2025-04-27,2.824,2.8635,2.7549,2.8142,24330093
2025-04-28,2.8142,2.9326,2.7845,2.9228,40258960
2025-04-29,2.9228,2.9326,2.8536,2.8833,21462657
2025-04-30,2.8833,2.9425,2.824,2.903,32755565
2025-05-04,2.903,2.9129,2.824,2.8438,19503578
2025-05-05,2.8438,2.8734,2.8142,2.8438,12084754
2025-05-06,2.8438,2.8931,2.824,2.824,11578335
2025-05-07,2.824,2.8734,2.745,2.7747,9869738
2025-05-08,2.7747,2.7944,2.7154,2.7648,10116766
2025-05-11,2.7648,2.8142,2.7154,2.7154,5040924
2025-05-12,2.7154,2.8043,2.7055,2.7845,10470876
2025-05-13,2.7845,2.824,2.7253,2.745,8454792
