date,open,high,low,close,volume
2026-01-28,4.65,4.7,4.36,4.63,1995782
2026-02-01,4.63,4.65,4.47,4.6,650697
2026-02-02,4.6,4.85,4.63,4.76,2951336
2026-02-03,4.76,5.06,4.73,5.01,2775591
2026-02-04,5.01,5.06,4.91,5.02,1712760
2026-02-05,5.02,5.14,4.85,5.04,1628464
2026-02-08,5.04,5.15,5.02,5.12,1207253
2026-02-09,5.12,5.21,5.07,5.1,1336847
2026-02-10,5.1,5.16,4.95,4.99,1104032
2026-02-11,4.99,5.05,4.83,4.85,470105
2026-02-12,4.85,4.92,4.71,4.84,350041
2026-02-15,4.84,5.35,4.89,5.23,6556728
2026-02-16,5.23,5.3,5.0,5.0,2544334
2026-02-17,5.0,5.13,4.96,5.04,1361603
2026-02-18,5.04,5.1,4.97,5.04,827025
2026-02-19,5.04,5.08,4.75,4.79,1249992
2026-02-22,4.79,4.84,4.43,4.59,818906
2026-02-23,4.59,4.72,4.55,4.7,615124
2026-02-24,4.7,4.74,4.54,4.55,514804
2026-02-25,4.55,4.6,4.32,4.35,1471746
2026-02-26,4.35,4.55,4.37,4.47,1008047
2026-03-01,4.47,4.35,4.1,4.29,618725
2026-03-02,4.29,4.39,4.12,4.19,1245795
2026-03-03,4.19,4.24,4.11,4.14,857127
2026-03-04,4.14,4.2,4.1,4.16,577755
2026-03-05,4.16,4.36,4.19,4.31,747211
2026-03-08,4.31,4.33,4.22,4.25,558044
2026-03-09,4.25,4.28,4.21,4.25,386931
2026-03-10,4.25,4.35,4.26,4.3,416707
2026-03-11,4.3,4.55,4.33,4.53,1614188
2026-03-12,4.53,4.64,4.51,4.54,894821
2026-03-15,4.54,4.58,4.35,4.37,723923
2026-03-16,4.37,4.4,4.32,4.35,225025
2026-03-17,4.35,4.39,4.35,4.37,93403
2026-03-18,4.37,4.47,4.37,4.46,220303
2026-03-24,4.46,4.56,4.42,4.48,675095
2026-03-25,4.48,4.53,4.46,4.5,319503
2026-03-26,4.5,4.52,4.4,4.4,531484
2026-03-29,4.4,4.39,4.26,4.29,577945
2026-03-30,4.29,4.33,4.21,4.25,377129
2026-03-31,4.25,4.3,4.22,4.24,489144
2026-04-01,4.24,4.31,4.24,4.27,500665
2026-04-02,4.27,4.41,4.25,4.39,798895
2026-04-05,4.39,4.42,4.31,4.35,356496
2026-04-06,4.35,4.42,4.34,4.4,317742
2026-04-07,4.4,4.48,4.35,4.36,944798
2026-04-08,4.36,4.47,4.38,4.45,304411
2026-04-09,4.45,4.46,4.4,4.43,188910
2026-04-14,4.43,4.45,4.4,4.41,386108
2026-04-15,4.41,4.61,4.41,4.55,1608890
2026-04-16,4.55,5.02,4.59,4.8,8870310
2026-04-19,4.8,4.87,4.65,4.66,1561945
2026-04-20,4.66,4.78,4.63,4.74,1371976
2026-04-21,4.74,4.83,4.62,4.64,1287541
2026-04-22,4.64,4.69,4.61,4.62,608289
2026-04-23,4.62,4.69,4.61,4.66,316273
2026-04-26,4.66,4.76,4.67,4.69,853428
2026-04-27,4.69,4.82,4.66,4.72,952443
2026-04-28,4.72,4.75,4.64,4.67,654401
2026-04-29,4.67,4.76,4.66,4.74,889556
2026-04-30,4.74,4.8,4.69,4.79,1125204
2026-05-03,4.79,5.1,4.83,5.04,5988005
2026-05-04,5.04,5.14,4.84,5.1,1856972
2026-05-05,5.1,5.09,4.85,4.9,1734584
2026-05-06,4.9,5.08,4.89,5.0,1193097
2026-05-10,5.0,5.24,4.93,5.13,3200546
2026-05-11,5.13,5.62,5.1,5.48,7534296
2026-05-12,5.48,5.62,5.36,5.45,2936255
2026-05-13,5.45,5.65,5.44,5.53,3013505
2026-05-14,5.53,5.99,5.56,5.57,4760522
2026-05-17,5.57,5.64,5.05,5.27,2459002
2026-05-18,5.27,5.27,5.03,5.06,1833001
2026-05-19,5.06,5.16,4.89,4.9,2180486
2026-05-20,4.9,4.95,4.66,4.7,1879081
2026-05-21,4.7,4.79,4.64,4.72,1226662
2026-05-24,4.72,4.85,4.77,4.77,642208
2026-05-25,4.77,4.82,4.73,4.79,651959
2026-06-01,4.79,5.06,4.8,4.97,1625838
2026-06-02,4.97,5.15,5.0,5.01,1454398
2026-06-03,5.01,5.08,4.91,4.92,832466
