date,open,high,low,close,volume
2026-01-28,12.7,12.95,12.49,12.53,1888921
2026-02-01,12.53,12.63,12.15,12.45,1696550
2026-02-02,12.45,12.77,12.38,12.74,1725105
2026-02-03,12.74,12.88,12.7,12.8,1008747
2026-02-04,12.8,12.87,12.66,12.8,1161351
2026-02-05,12.8,12.83,12.54,12.63,961993
2026-02-08,12.63,12.76,12.65,12.72,531018
2026-02-09,12.72,13.05,12.74,12.92,2016324
2026-02-10,12.92,13.13,12.9,12.99,1163775
2026-02-11,12.99,13.08,12.79,12.8,734673
2026-02-12,12.8,13.0,12.78,12.9,818723
2026-02-15,12.9,13.17,12.87,13.01,2224830
2026-02-16,13.01,13.15,12.83,12.83,733740
2026-02-17,12.83,13.04,12.8,12.82,1161102
2026-02-18,12.82,12.96,12.84,12.9,395824
2026-02-19,12.9,12.99,12.55,12.67,792110
2026-02-22,12.67,12.79,12.2,12.47,936772
2026-02-23,12.47,12.67,12.47,12.52,1003140
2026-02-24,12.52,12.65,12.48,12.53,472470
2026-02-25,12.53,12.62,12.26,12.44,673914
2026-02-26,12.44,12.63,12.34,12.6,474322
2026-03-01,12.6,12.26,11.6,12.2,938112
2026-03-02,12.2,12.37,12.15,12.17,412280
2026-03-03,12.17,13.13,12.08,12.73,3391926
2026-03-04,12.73,13.38,12.74,13.2,3395702
2026-03-05,13.2,13.42,13.11,13.13,2180814
2026-03-08,13.13,13.67,13.3,13.44,4475716
2026-03-09,13.44,13.74,13.4,13.4,2730971
2026-03-10,13.4,13.68,13.28,13.28,2178190
2026-03-11,13.28,13.39,13.18,13.25,801218
2026-03-12,13.25,13.41,13.2,13.23,764738
2026-03-15,13.23,13.33,12.95,13.01,1323669
2026-03-16,13.01,13.06,12.78,12.88,703742
2026-03-17,12.88,12.95,12.85,12.91,303038
2026-03-18,12.91,13.13,12.91,12.99,717876
2026-03-24,12.99,13.32,12.98,13.21,1840422
2026-03-25,13.21,13.35,13.1,13.12,1165182
2026-03-26,13.12,13.24,13.02,13.07,356300
2026-03-29,13.07,13.24,12.85,13.2,1099964
2026-03-30,13.2,13.63,13.1,13.14,6328102
2026-03-31,13.14,13.52,13.15,13.33,3299445
2026-04-01,13.33,13.43,13.11,13.23,1389829
2026-04-02,13.23,13.46,13.17,13.24,1820323
2026-04-05,13.24,13.33,13.16,13.17,958315
2026-04-06,13.17,13.29,13.13,13.14,605862
2026-04-07,13.14,13.22,13.06,13.12,737422
2026-04-08,13.12,13.26,13.1,13.13,858322
2026-04-09,13.13,13.22,13.0,13.0,1099183
2026-04-14,13.0,13.12,13.04,13.05,427406
2026-04-15,13.05,13.13,12.97,12.97,1621602
2026-04-16,12.97,13.3,12.97,13.1,1911649
2026-04-19,13.1,13.19,13.04,13.06,938206
2026-04-20,13.06,13.12,12.97,12.99,748847
2026-04-21,12.99,13.1,12.95,12.97,1030033
2026-04-22,12.97,13.4,13.02,13.2,3106007
2026-04-23,13.2,13.67,13.23,13.49,5744580
2026-04-26,13.49,13.89,13.57,13.64,4787002
2026-04-27,13.64,13.71,13.51,13.55,1099164
2026-04-28,13.55,13.85,13.54,13.67,2893143
2026-04-29,13.67,13.79,13.6,13.7,1462319
2026-04-30,13.7,13.88,13.6,13.67,2334878
2026-05-03,13.67,14.05,13.7,13.93,4731043
2026-05-04,13.93,14.05,13.71,13.85,1837539
2026-05-05,13.85,13.94,13.4,13.6,1517448
2026-05-06,13.6,13.75,13.46,13.55,1019918
2026-05-10,13.55,13.67,13.49,13.55,676355
2026-05-11,13.55,13.8,13.61,13.77,1474357
2026-05-12,13.77,13.99,13.77,13.77,1806425
2026-05-13,13.77,13.9,13.65,13.65,1405459
2026-05-14,13.65,14.25,13.7,14.07,6162148
2026-05-17,14.07,14.35,14.02,14.02,2603685
2026-05-18,14.02,14.07,13.67,13.67,2055455
2026-05-19,13.67,13.8,13.5,13.55,1198696
2026-05-20,13.55,13.66,13.15,13.22,1167463
2026-05-21,13.22,13.5,13.07,13.32,1288448
2026-05-24,13.32,13.66,13.2,13.59,985407
2026-05-25,13.59,13.69,13.4,13.42,747423
2026-06-01,13.42,13.7,13.45,13.6,794840
2026-06-02,13.6,13.84,13.6,13.75,1537471
2026-06-03,13.75,14.2,13.82,14.02,4041354
2026-06-04,14.02,14.72,14.11,14.72,6119226
2026-06-07,14.72,14.89,14.46,14.53,3305977
2026-06-08,14.53,14.86,14.42,14.5,3119441
2026-06-09,14.5,14.7,14.51,14.55,1824969
2026-06-10,14.55,16.03,14.43,15.38,16939960
2026-06-11,15.38,16.6,15.2,15.65,14982600
2026-06-14,15.65,16.99,15.82,15.82,10729600
2026-06-15,15.82,16.18,15.51,15.6,5405602
2026-06-16,15.6,15.69,15.13,15.3,4436058
2026-06-17,15.3,15.96,15.2,15.59,5296548
2026-06-21,15.59,15.97,15.4,15.43,2899124
2026-06-22,15.43,15.6,15.15,15.27,2333663
2026-06-23,15.27,15.47,14.9,14.95,2445818
2026-06-24,14.95,15.12,14.82,14.84,1578673
2026-06-25,14.84,15.15,14.67,14.81,1602948
2026-06-28,14.81,14.86,14.29,14.31,1622665
2026-06-29,14.31,14.84,14.14,14.72,2508312
2026-06-30,14.72,14.9,14.63,14.7,1117276
2026-07-01,14.7,14.87,14.4,14.52,1654388
2026-07-05,14.52,14.66,14.3,14.5,2050697
2026-07-06,14.5,14.69,14.45,14.48,1245969
2026-07-07,14.48,14.7,14.38,14.46,2140086
2026-07-08,14.46,14.7,14.38,14.59,2054943
2026-07-09,14.59,14.83,14.46,14.51,2263748
2026-07-12,14.51,14.66,14.48,14.6,1846124
2026-07-13,14.6,14.87,14.58,14.87,2285713
2026-07-14,14.87,15.15,14.87,14.88,4394019
2026-07-15,14.88,14.98,14.66,14.69,2272752
2026-07-16,14.69,14.73,14.49,14.55,3057384
2026-07-19,14.55,14.68,14.44,14.6,1816889
2026-07-20,14.6,14.78,14.48,14.5,1889389
2026-07-21,14.5,14.6,14.48,14.54,1347245
2026-07-22,14.54,14.76,14.52,14.54,2584237
2026-07-26,14.54,14.7,14.56,14.6,1496878
2026-07-27,14.6,14.61,14.42,14.46,1349294
2026-07-28,14.46,14.58,14.41,14.47,1119602
2026-07-29,14.47,14.94,14.39,14.9,5040896
2026-07-30,14.9,15.0,14.5,14.71,6461321
2026-08-02,14.71,15.13,14.61,14.91,6928142
2026-08-03,14.91,15.31,14.9,15.23,5061902
2026-08-04,15.23,15.71,15.27,15.29,7593252
2026-08-05,13.2,13.63,13.19,13.52,2969385
2026-08-06,15.32,15.39,15.1,15.11,1820425
