date,open,high,low,close,volume
2025-03-10,0.741,0.889,0.773,0.777,44398006
2025-03-11,0.777,0.868,0.761,0.814,39045971
2025-03-12,0.814,0.828,0.771,0.785,10712164
2025-03-13,0.785,0.845,0.773,0.804,23081649
2025-03-16,0.804,0.81,0.779,0.78,10903228
2025-03-17,0.78,0.794,0.776,0.783,17776568
2025-03-18,0.783,0.788,0.741,0.742,9053024
2025-03-19,0.742,0.798,0.745,0.756,11277874
2025-03-20,0.756,0.77,0.74,0.747,2895854
2025-03-23,0.747,0.78,0.742,0.761,7183173
2025-03-24,0.761,0.77,0.75,0.752,4556916
2025-03-25,0.752,0.87,0.751,0.821,44858867
2025-03-26,0.821,0.836,0.782,0.792,12875166
2025-03-27,0.792,0.808,0.774,0.779,3288570
2025-04-03,0.779,0.798,0.77,0.775,6565109
2025-04-06,0.775,0.746,0.71,0.727,5052791
2025-04-07,0.727,0.765,0.714,0.742,9774664
2025-04-08,0.742,0.774,0.742,0.748,3687947
2025-04-09,0.748,0.767,0.72,0.727,7327481
2025-04-10,0.727,0.758,0.74,0.744,2566481
2025-04-13,0.744,0.78,0.747,0.769,11509955
2025-04-14,0.769,0.804,0.77,0.773,8121648
2025-04-15,0.773,0.799,0.773,0.778,4820776
2025-04-16,0.778,0.787,0.761,0.767,2185390
2025-04-17,0.767,0.774,0.76,0.766,3513436
2025-04-22,0.766,0.774,0.76,0.762,1585222
2025-04-23,0.762,0.798,0.761,0.776,4096879
2025-04-27,0.776,0.783,0.774,0.775,3703321
2025-04-28,0.775,0.777,0.766,0.77,4339863
2025-04-29,0.77,0.81,0.77,0.783,16254297
2025-04-30,0.783,0.802,0.783,0.784,8250303
2025-05-04,0.784,0.83,0.785,0.828,28649677
2025-05-05,0.828,0.867,0.831,0.842,26941524
2025-05-06,0.842,0.993,0.863,0.93,69798555
2025-05-07,0.93,0.99,0.926,0.972,54336995
2025-05-08,0.972,1.14,0.98,1.079,76365058
2025-05-11,1.079,1.17,1.02,1.15,50436910
2025-05-12,1.15,1.26,1.15,1.25,56436101
2025-05-13,1.25,1.29,1.17,1.17,20813234
2025-05-14,1.17,1.23,1.15,1.16,74897104
2025-05-15,1.16,1.28,1.16,1.23,66481444
2025-05-18,1.23,1.24,1.11,1.12,28396115
2025-05-19,1.12,1.16,1.07,1.16,17147465
2025-05-20,1.16,1.23,1.14,1.23,52909539
2025-05-21,1.23,1.25,1.17,1.17,22712743
2025-05-22,1.17,1.31,1.18,1.31,48047813
2025-05-25,1.31,1.36,1.26,1.28,98299675
2025-05-26,1.28,1.3,1.22,1.23,31510058
2025-05-27,1.23,1.28,1.23,1.27,37372388
2025-05-28,1.27,1.31,1.22,1.24,31997277
2025-05-29,1.24,1.3,1.23,1.29,25502863
