date,open,high,low,close,volume
2026-01-28,10.15,10.34,10.05,10.16,3088228
2026-02-01,10.16,10.45,10.01,10.11,561369
2026-02-02,10.11,10.5,10.02,10.3,2024497
2026-02-03,10.3,10.85,10.2,10.52,6393549
2026-02-04,10.52,10.69,10.27,10.44,1171097
2026-02-05,10.44,10.57,10.3,10.38,4081829
2026-02-08,10.38,10.69,10.41,10.6,806249
2026-02-09,10.6,10.85,10.48,10.8,4988697
2026-02-10,10.8,11.48,10.82,11.25,5477357
2026-02-11,11.25,11.49,11.0,11.23,2203999
2026-02-12,11.23,11.54,11.12,11.38,3409132
2026-02-15,11.38,12.15,11.28,11.91,6047020
2026-02-16,11.91,12.3,11.91,12.15,2723502
2026-02-17,12.15,12.45,11.95,12.28,4072758
2026-02-18,12.28,12.7,12.17,12.7,2357395
2026-02-19,12.7,12.8,11.75,11.99,5556793
2026-02-22,11.99,12.18,11.31,11.54,1332275
2026-02-23,11.54,11.88,11.4,11.84,865895
2026-02-24,11.84,11.88,11.5,11.53,351102
2026-02-25,11.53,11.7,10.6,10.86,3269757
2026-02-26,10.86,11.18,10.6,11.1,1225465
2026-03-01,11.1,11.05,10.04,10.93,2139952
2026-03-02,10.93,11.03,10.67,10.82,794706
2026-03-03,10.82,10.97,10.45,10.9,1151635
2026-03-04,10.9,11.0,9.9,10.2,8888513
2026-03-05,10.2,10.59,10.28,10.5,2635144
2026-03-08,10.5,10.95,10.2,10.27,3680252
2026-03-09,10.27,10.43,10.02,10.19,678621
2026-03-10,10.19,10.44,10.21,10.39,284153
2026-03-11,10.39,10.78,10.35,10.7,646906
2026-03-12,10.7,10.75,10.47,10.51,746269
2026-03-15,10.51,10.69,10.15,10.17,1012689
2026-03-16,10.17,10.35,10.08,10.12,398729
2026-03-17,10.12,11.3,10.04,10.9,4219945
2026-03-18,10.9,11.09,10.6,10.65,1695443
2026-03-24,10.65,11.14,10.69,11.14,2431759
2026-03-25,11.14,11.19,10.88,10.89,1151152
2026-03-26,10.89,11.0,10.75,11.0,1531066
2026-03-29,11.0,11.05,10.77,10.9,1067338
2026-03-30,10.9,10.98,10.24,10.25,1446366
2026-03-31,10.25,10.57,10.17,10.4,1250022
2026-04-01,10.4,10.95,10.42,10.95,2087406
2026-04-02,10.95,10.97,10.67,10.9,1514312
2026-04-05,10.9,11.3,10.92,11.28,2744567
2026-04-06,11.28,11.6,11.15,11.6,1584273
2026-04-07,11.6,11.54,11.16,11.35,1166845
2026-04-08,11.35,11.8,11.41,11.61,2581663
2026-04-09,11.61,11.75,11.45,11.5,3296574
2026-04-14,11.5,11.59,11.0,11.21,55038140
2026-04-15,11.21,11.38,11.21,11.26,1866248
2026-04-16,11.26,11.9,11.3,11.78,7298004
2026-04-19,11.78,12.48,11.9,12.21,9605256
2026-04-20,12.21,12.6,12.17,12.43,10456940
2026-04-21,12.43,12.54,12.02,12.19,1454612
2026-04-22,12.19,12.32,12.04,12.11,2267988
2026-04-23,12.11,12.5,12.08,12.5,1759849
2026-04-26,12.5,12.5,12.05,12.07,6182065
2026-04-27,12.07,12.39,12.08,12.25,1238706
2026-04-28,12.25,12.4,12.1,12.4,1695438
2026-04-29,12.4,12.46,11.86,12.0,4499462
2026-04-30,12.0,12.06,11.67,11.8,1152672
2026-05-03,11.8,12.07,11.8,11.97,739492
2026-05-04,11.97,12.48,12.0,12.33,9055735
2026-05-05,12.33,12.39,12.11,12.35,701557
2026-05-06,12.35,12.92,12.6,12.8,9789114
2026-05-10,12.8,13.19,12.75,12.89,2519197
