date,open,high,low,close,volume
2026-01-27,0.698,0.7,0.696,0.699,171841
2026-01-28,0.699,0.704,0.696,0.699,1038070
2026-02-01,0.699,0.7,0.694,0.7,110660
2026-02-02,0.7,0.7,0.695,0.698,83471
2026-02-03,0.698,0.707,0.698,0.7,379437
2026-02-04,0.7,0.707,0.701,0.706,509147
2026-02-05,0.706,0.706,0.701,0.705,166716
2026-02-08,0.705,0.71,0.706,0.708,308842
2026-02-09,0.708,0.71,0.706,0.708,275517
2026-02-10,0.708,0.71,0.707,0.71,325099
2026-02-11,0.71,0.71,0.707,0.708,125901
2026-02-12,0.708,0.71,0.706,0.709,83536
2026-02-15,0.709,0.71,0.707,0.71,168985
2026-02-16,0.71,0.71,0.708,0.709,138842
2026-02-17,0.709,0.71,0.708,0.709,223945
2026-02-18,0.709,0.71,0.709,0.71,206230
2026-02-19,0.71,0.709,0.705,0.706,111730
2026-02-22,0.706,0.706,0.702,0.702,109388
2026-02-23,0.702,0.708,0.702,0.704,63485
2026-02-24,0.704,0.708,0.705,0.707,21442
2026-02-25,0.707,0.709,0.701,0.708,95857
2026-02-26,0.708,0.705,0.701,0.701,86190
2026-03-01,0.701,0.687,0.671,0.686,265111
2026-03-02,0.686,0.694,0.685,0.686,156700
2026-03-03,0.686,0.696,0.684,0.695,1142346
2026-03-04,0.695,0.7,0.695,0.699,115612
2026-03-05,0.699,0.7,0.696,0.7,181440
2026-03-08,0.7,0.709,0.7,0.705,276741
2026-03-09,0.705,0.707,0.704,0.705,303582
2026-03-10,0.705,0.71,0.704,0.71,327856
2026-03-11,0.71,0.71,0.709,0.71,167271
2026-03-12,0.71,0.71,0.709,0.709,117041
2026-03-15,0.709,0.71,0.708,0.708,86674
2026-03-16,0.708,0.709,0.705,0.706,75478
2026-03-17,0.706,0.71,0.706,0.709,255884
2026-03-18,0.709,0.711,0.707,0.709,205489
2026-03-24,0.709,0.711,0.705,0.71,102807
2026-03-25,0.71,0.71,0.707,0.707,92725
2026-03-26,0.707,0.709,0.706,0.707,117179
2026-03-29,0.707,0.709,0.705,0.708,135038
2026-03-30,0.708,0.707,0.701,0.702,319429
2026-03-31,0.702,0.704,0.699,0.699,220861
2026-04-01,0.699,0.701,0.698,0.698,201257
2026-04-02,0.698,0.7,0.697,0.699,95545
2026-04-05,0.699,0.703,0.7,0.7,104609
2026-04-06,0.7,0.706,0.7,0.705,147860
2026-04-07,0.705,0.706,0.697,0.7,181471
2026-04-08,0.7,0.708,0.701,0.705,39658
2026-04-09,0.705,0.705,0.702,0.702,57453
2026-04-14,0.702,0.706,0.702,0.706,70069
2026-04-15,0.706,0.714,0.705,0.713,343555
2026-04-16,0.713,0.73,0.713,0.729,712437
2026-04-19,0.729,0.731,0.725,0.73,312022
2026-04-20,0.73,0.732,0.727,0.732,538781
2026-04-21,0.732,0.732,0.73,0.732,438337
2026-04-22,0.732,0.736,0.732,0.735,315974
